=== OVS Snapshot: post_churn @ 2026-04-19T01:37:37,273358868-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=9026.039s, table=0, n_packets=9666965, n_bytes=12642972728, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=9026.044s, table=0, n_packets=335532, n_bytes=36163800, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0xa00000000a0007a9, duration=31.412s, table=0, n_packets=172, n_bytes=451544, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.17.190,tp_src=51410,tp_dst=5001 actions=set_field:10.0.7.169->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:07:a9:ae->eth_src,set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0xa00000000a001004, duration=31.224s, table=0, n_packets=90, n_bytes=228932, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=7,nw_src=10.0.0.6,nw_dst=10.0.4.183,tp_src=60810,tp_dst=5001 actions=set_field:10.0.16.4->ip_src,set_field:10.0.1.4->ip_dst,set_field:02:a0:55:10:04:14->eth_src,set_field:00:00:00:00:01:02->eth_dst,output:1
 cookie=0xa00000000a0004bc, duration=28.135s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.3.159,tp_src=42022,tp_dst=5001 actions=set_field:10.0.4.188->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:04:bc:b8->eth_src,set_field:00:00:00:00:01:04->eth_dst,output:1
 cookie=0xa00000000a000e0f, duration=27.969s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.8.235,tp_src=38008,tp_dst=5001 actions=set_field:10.0.14.15->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:0e:0f:01->eth_src,set_field:00:00:00:00:01:11->eth_dst,output:1
 cookie=0xa00000000a0007a9, duration=27.781s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.17.190,tp_src=51432,tp_dst=5001 actions=set_field:10.0.7.169->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:07:a9:ae->eth_src,set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0xa00000000a00048b, duration=27.289s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=10,nw_src=10.0.0.9,nw_dst=10.0.11.212,tp_src=43844,tp_dst=5001 actions=set_field:10.0.4.139->ip_src,set_field:10.0.1.7->ip_dst,set_field:02:a0:55:04:8b:8f->eth_src,set_field:00:00:00:00:01:05->eth_dst,output:1
 cookie=0xa00000000a0004bc, duration=26.752s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.3.159,tp_src=42034,tp_dst=5001 actions=set_field:10.0.4.188->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:04:bc:b8->eth_src,set_field:00:00:00:00:01:04->eth_dst,output:1
 cookie=0xa00000000a000e0f, duration=26.646s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.8.235,tp_src=38012,tp_dst=5001 actions=set_field:10.0.14.15->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:0e:0f:01->eth_src,set_field:00:00:00:00:01:11->eth_dst,output:1
 cookie=0xa00000000a001004, duration=26.646s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=7,nw_src=10.0.0.6,nw_dst=10.0.4.183,tp_src=60826,tp_dst=5001 actions=set_field:10.0.16.4->ip_src,set_field:10.0.1.4->ip_dst,set_field:02:a0:55:10:04:14->eth_src,set_field:00:00:00:00:01:02->eth_dst,output:1
 cookie=0xa00000000a0007a9, duration=26.393s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.17.190,tp_src=51448,tp_dst=5001 actions=set_field:10.0.7.169->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:07:a9:ae->eth_src,set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0xa00000000a00048b, duration=26.079s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=10,nw_src=10.0.0.9,nw_dst=10.0.11.212,tp_src=43856,tp_dst=5001 actions=set_field:10.0.4.139->ip_src,set_field:10.0.1.7->ip_dst,set_field:02:a0:55:04:8b:8f->eth_src,set_field:00:00:00:00:01:05->eth_dst,output:1
 cookie=0xa00000000a0004bc, duration=25.598s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.3.159,tp_src=42042,tp_dst=5001 actions=set_field:10.0.4.188->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:04:bc:b8->eth_src,set_field:00:00:00:00:01:04->eth_dst,output:1
 cookie=0xa00000000a0007a9, duration=25.197s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.17.190,tp_src=51456,tp_dst=5001 actions=set_field:10.0.7.169->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:07:a9:ae->eth_src,set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0xa00000000a000e0f, duration=25.127s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.8.235,tp_src=38028,tp_dst=5001 actions=set_field:10.0.14.15->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:0e:0f:01->eth_src,set_field:00:00:00:00:01:11->eth_dst,output:1
 cookie=0xa00000000a001004, duration=25.078s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=7,nw_src=10.0.0.6,nw_dst=10.0.4.183,tp_src=60834,tp_dst=5001 actions=set_field:10.0.16.4->ip_src,set_field:10.0.1.4->ip_dst,set_field:02:a0:55:10:04:14->eth_src,set_field:00:00:00:00:01:02->eth_dst,output:1
 cookie=0xa00000000a00048b, duration=24.279s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=10,nw_src=10.0.0.9,nw_dst=10.0.11.212,tp_src=34796,tp_dst=5001 actions=set_field:10.0.4.139->ip_src,set_field:10.0.1.7->ip_dst,set_field:02:a0:55:04:8b:8f->eth_src,set_field:00:00:00:00:01:05->eth_dst,output:1
