=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Small (~16 hosts, 4-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
------------------------------ --------   --------   --------   --------  
h1->h253                        0.022     254.488    8017.236   0%        
h2->h254                        0.025     260.635    8106.739   0%        
h3->h255                        0.025     255.195    8020.457   0%        
h4->h256                        0.026     254.610    8021.098   0%        
h5->h257                        0.025     302.079    8440.042   0%        
h6->h258                        0.032     354.069    8522.472   0%        
h7->h259                        0.028     370.949    8548.823   0%        
h8->h260                        0.024     382.911    8545.654   0%        
h9->h261                        0.028     371.036    8548.791   0%        
h10->h262                       0.022     327.443    8530.486   0%        
h11->h263                       0.024     281.616    8397.243   0%        
h12->h264                       0.025     266.507    8180.798   0%        
h13->h265                       0.021     272.653    8397.219   0%        
h14->h266                       0.023     288.133    8439.666   0%        
h15->h267                       0.024     308.668    8435.170   0%        
h16->h268                       0.023     315.516    8396.527   0%        
h17->h269                       0.021     253.480    8184.708   0%        
h18->h270                       0.025     341.909    8548.865   0%        
h19->h271                       0.026     308.514    8392.857   0%        
h20->h272                       0.024     238.663    8051.936   0%        
h21->h273                       0.023     272.895    8401.258   0%        
h22->h274                       0.024     382.513    8529.027   0%        
h23->h275                       0.022     315.167    8392.863   0%        
h24->h276                       0.024     341.291    8518.695   0%        
h25->h277                       0.022     272.554    8396.568   0%        
h26->h278                       0.029     355.533    8588.917   0%        
h27->h279                       0.023     265.581    8392.083   0%        
h28->h280                       0.021     239.869    8053.998   0%        
h29->h281                       0.024     239.562    8108.918   0%        
h30->h282                       0.029     383.309    8613.212   0%        
h31->h283                       0.024     287.418    8451.243   0%        
h32->h284                       0.027     355.264    8592.795   0%        
h33->h285                       0.026     301.697    8396.571   0%        
h34->h286                       0.022     377.089    8607.064   0%        
h35->h287                       0.023     334.511    8557.415   0%        
h36->h288                       0.025     308.895    8451.255   0%        
h37->h289                       0.023     315.753    8392.030   0%        
h38->h290                       0.026     390.024    8613.198   0%        
h39->h291                       0.023     383.040    8607.220   0%        
h40->h292                       0.028     348.810    8625.146   0%        
h41->h293                       0.021     327.922    8555.260   0%        
h42->h294                       0.022     335.051    8558.944   0%        
h43->h295                       0.025     327.307    8571.048   0%        
h44->h296                       0.028     348.158    8557.350   0%        
h45->h297                       0.023     348.482    8592.766   0%        
h46->h298                       0.024     286.399    8451.244   0%        
h47->h299                       0.023     315.340    8392.094   0%        
h48->h300                       0.023     389.171    8617.088   0%        
h49->h301                       0.023     316.985    8548.989   0%        
h50->h302                       0.025     247.925    8176.831   0%        
h51->h303                       0.025     347.157    8559.168   0%        
h52->h304                       0.027     310.140    8551.927   0%        
h53->h305                       0.026     288.946    8489.728   0%        
h54->h306                       0.026     308.536    8352.527   0%        
h55->h307                       0.024     234.428    8097.193   0%        
h56->h308                       0.026     233.866    8088.665   0%        
h57->h309                       0.025     240.892    8176.874   0%        
h58->h310                       0.025     260.250    8393.609   0%        
h59->h311                       0.020     348.738    8573.672   0%        
h60->h312                       0.028     354.717    8580.848   0%        
h61->h313                       0.024     327.897    8559.210   0%        
h62->h314                       0.025     368.293    8579.875   0%        
h63->h315                       0.021     361.106    8559.226   0%        
h64->h316                       0.025     356.804    8588.262   0%        
h65->h317                       0.027     288.146    8393.552   0%        
h66->h318                       0.024     316.144    8548.844   0%        
h67->h319                       0.024     328.815    8563.835   0%        
h68->h320                       0.026     287.931    8393.602   0%        
h69->h321                       0.026     371.521    8586.133   0%        
h70->h322                       0.024     260.024    8393.636   0%        
h71->h323                       0.026     340.979    8518.894   0%        
h72->h324                       0.029     371.675    8588.884   0%        
h73->h325                       0.025     234.363    8166.065   0%        
h74->h326                       0.025     342.608    8572.012   0%        
h75->h327                       0.027     356.640    8602.761   0%        
h76->h328                       0.022     382.695    8582.199   0%        
h77->h329                       0.024     241.330    8157.899   0%        
h78->h330                       0.027     341.584    8580.791   0%        
h79->h331                       0.030     384.222    8603.818   0%        
h80->h332                       0.024     288.901    8413.035   0%        
h81->h333                       0.024     241.217    8194.244   0%        
h82->h334                       0.022     371.035    8601.105   0%        
h83->h335                       0.023     341.185    8576.044   0%        
h84->h336                       0.024     342.180    8572.079   0%        
h85->h337                       0.025     324.122    8478.017   0%        
h86->h338                       0.026     335.225    8575.856   0%        
h87->h339                       0.024     255.496    8216.778   0%        
h88->h340                       0.025     383.544    8601.035   0%        
h89->h341                       0.024     367.766    8602.726   0%        
h90->h342                       0.025     312.027    8574.585   0%        
h91->h343                       0.023     354.335    8581.000   0%        
h92->h344                       0.025     318.744    8574.614   0%        
h93->h345                       0.025     372.111    8601.031   0%        
h94->h346                       0.028     395.837    8607.108   0%        
h95->h347                       0.027     302.980    8483.299   0%        
h96->h348                       0.022     288.753    8412.927   0%        
h97->h349                       0.028     354.926    8444.131   0%        
h98->h350                       0.021     248.288    7992.756   0%        
h99->h351                       0.023     242.555    7977.372   0%        
h100->h352                      0.024     303.430    8312.420   0%        
h101->h353                      0.030     241.735    7969.014   0%        
h102->h354                      0.027     248.544    7988.717   0%        
h103->h355                      0.023     229.581    7988.756   0%        
h104->h356                      0.023     303.124    8312.516   0%        
h105->h357                      0.026     269.038    7988.761   0%        
h106->h358                      0.025     303.576    8292.784   0%        
h107->h359                      0.026     281.424    8312.411   0%        
h108->h360                      0.025     311.060    8288.442   0%        
h109->h361                      0.022     234.722    7988.720   0%        
h110->h362                      0.030     382.881    8435.097   0%        
h111->h363                      0.021     371.902    8436.233   0%        
h112->h364                      0.030     371.537    8444.077   0%        
h113->h365                      0.024     342.534    8447.067   0%        
h114->h366                      0.029     302.140    8296.975   0%        
h115->h367                      0.024     348.558    8444.123   0%        
h116->h368                      0.025     267.712    7977.355   0%        
h117->h369                      0.023     341.953    8424.604   0%        
h118->h370                      0.021     335.330    8420.894   0%        
h119->h371                      0.026     303.790    8288.527   0%        
h120->h372                      0.025     371.523    8444.020   0%        
h121->h373                      0.025     255.969    8182.446   0%        
h122->h374                      0.024     281.298    8396.940   0%        
h123->h375                      0.026     256.076    8186.122   0%        
h124->h376                      0.024     281.756    8400.156   0%        
h125->h377                      0.027     289.282    8445.828   0%        
h126->h378                      0.028     289.895    8396.896   0%        
h127->h379                      0.023     318.431    8515.504   0%        
h128->h380                      0.025     383.334    8587.024   0%        
h129->h381                      0.023     336.881    8587.029   0%        
h130->h382                      0.022     336.263    8569.536   0%        
h131->h383                      0.024     363.295    8584.979   0%        
h132->h384                      0.026     337.046    8589.005   0%        
h133->h385                      0.024     303.700    8515.542   0%        
h134->h386                      0.024     367.985    8587.134   0%        
h135->h387                      0.028     390.322    8592.913   0%        
h136->h388                      0.026     336.161    8561.755   0%        
h137->h389                      0.030     344.016    8561.681   0%        
h138->h390                      0.026     303.741    8515.453   0%        
h139->h391                      0.026     304.675    8512.235   0%        
h140->h392                      0.029     369.779    8593.583   0%        
h141->h393                      0.026     389.584    8593.616   0%        
h142->h394                      0.025     337.301    8597.477   0%        
h143->h395                      0.035     396.440    8594.494   0%        
h144->h396                      0.024     383.635    8587.155   0%        
h145->h397                      0.023     343.480    8540.126   0%        
h146->h398                      0.028     343.923    8551.348   0%        
h147->h399                      0.027     256.625    8214.085   0%        
h148->h400                      0.023     271.037    8166.529   0%        
h149->h401                      0.021     256.794    8214.070   0%        
h150->h402                      0.022     383.856    8567.101   0%        
h151->h403                      0.023     303.906    8437.582   0%        
h152->h404                      0.030     385.185    8576.111   0%        
h153->h405                      0.027     373.543    8577.099   0%        
