=== OVS Snapshot: post_churn @ 2026-04-18T22:51:04,076677492-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=819.967s, table=0, n_packets=408773, n_bytes=425675802, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=819.969s, table=0, n_packets=21995, n_bytes=1317612, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0xa00000000a00176a, duration=76.767s, table=0, n_packets=134, n_bytes=336092, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=15,nw_src=10.0.0.14,nw_dst=10.0.24.82,tp_src=55796,tp_dst=5001 actions=set_field:10.0.23.106->ip_src,set_field:10.0.1.12->ip_dst,set_field:02:a0:55:17:6a:7d->eth_src,set_field:00:00:00:00:01:0a->eth_dst,FLOOD
 cookie=0xa00000000a00176a, duration=63.242s, table=0, n_packets=7, n_bytes=398, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=15,nw_src=10.0.0.14,nw_dst=10.0.24.82,tp_src=46840,tp_dst=5001 actions=set_field:10.0.23.106->ip_src,set_field:10.0.1.12->ip_dst,set_field:02:a0:55:17:6a:7d->eth_src,set_field:00:00:00:00:01:0a->eth_dst,FLOOD
 cookie=0xa00000000a0017ce, duration=63.178s, table=0, n_packets=7, n_bytes=398, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=24,nw_src=10.0.0.23,nw_dst=10.0.24.182,tp_src=58304,tp_dst=5001 actions=set_field:10.0.23.206->ip_src,set_field:10.0.1.21->ip_dst,set_field:02:a0:55:17:ce:d9->eth_src,set_field:00:00:00:00:01:13->eth_dst,FLOOD
 cookie=0xa00000000a00181a, duration=63.059s, table=0, n_packets=7, n_bytes=398, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=8,nw_src=10.0.0.7,nw_dst=10.0.24.254,tp_src=40124,tp_dst=5001 actions=set_field:10.0.24.26->ip_src,set_field:10.0.1.5->ip_dst,set_field:02:a0:55:18:1a:02->eth_src,set_field:00:00:00:00:01:03->eth_dst,FLOOD
 cookie=0xa00000000a00176a, duration=62.062s, table=0, n_packets=7, n_bytes=398, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=15,nw_src=10.0.0.14,nw_dst=10.0.24.82,tp_src=46850,tp_dst=5001 actions=set_field:10.0.23.106->ip_src,set_field:10.0.1.12->ip_dst,set_field:02:a0:55:17:6a:7d->eth_src,set_field:00:00:00:00:01:0a->eth_dst,FLOOD
 cookie=0xa00000000a00181a, duration=61.950s, table=0, n_packets=7, n_bytes=398, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=8,nw_src=10.0.0.7,nw_dst=10.0.24.254,tp_src=40126,tp_dst=5001 actions=set_field:10.0.24.26->ip_src,set_field:10.0.1.5->ip_dst,set_field:02:a0:55:18:1a:02->eth_src,set_field:00:00:00:00:01:03->eth_dst,FLOOD
 cookie=0xa00000000a0017ce, duration=61.929s, table=0, n_packets=7, n_bytes=398, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=24,nw_src=10.0.0.23,nw_dst=10.0.24.182,tp_src=58312,tp_dst=5001 actions=set_field:10.0.23.206->ip_src,set_field:10.0.1.21->ip_dst,set_field:02:a0:55:17:ce:d9->eth_src,set_field:00:00:00:00:01:13->eth_dst,FLOOD
 cookie=0xa00000000a001941, duration=15.902s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=12,nw_src=10.0.0.11,nw_dst=10.0.3.178,tp_src=35606,tp_dst=5001 actions=set_field:10.0.25.65->ip_src,set_field:10.0.1.9->ip_dst,set_field:02:a0:55:19:41:58->eth_src,set_field:00:00:00:00:01:07->eth_dst,FLOOD
 cookie=0xa00000000a001999, duration=15.859s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=20,nw_src=10.0.0.19,nw_dst=10.0.3.17,tp_src=48328,tp_dst=5001 actions=set_field:10.0.25.153->ip_src,set_field:10.0.1.17->ip_dst,set_field:02:a0:55:19:99:80->eth_src,set_field:00:00:00:00:01:0f->eth_dst,FLOOD
 cookie=0xa00000000a001a1d, duration=15.643s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.3.145,tp_src=58098,tp_dst=5001 actions=set_field:10.0.26.29->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:1a:1d:07->eth_src,set_field:00:00:00:00:01:04->eth_dst,FLOOD
 cookie=0xa00000000a001936, duration=15.562s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=11,nw_src=10.0.0.10,nw_dst=10.0.3.167,tp_src=45312,tp_dst=5001 actions=set_field:10.0.25.54->ip_src,set_field:10.0.1.8->ip_dst,set_field:02:a0:55:19:36:2f->eth_src,set_field:00:00:00:00:01:06->eth_dst,FLOOD
