=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Large (~500+ hosts, 48-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
------------------------------ --------   --------   --------   --------  
h1->h253                        0.013     0.295      143.083    0%        
h2->h254                        0.023     0.350      143.014    0%        
h3->h255                        0.014     0.304      143.345    0%        
h4->h256                        0.022     0.343      143.061    0%        
h5->h257                        0.014     8.969      1123.167   0%        
h6->h258                        0.015     9.959      1306.320   0%        
h7->h259                        0.013     11.342     1311.908   0%        
h8->h260                        0.014     0.974      348.367    0%        
h9->h261                        0.014     8.996      1130.027   0%        
h10->h262                       0.013     1.438      477.957    0%        
h11->h263                       0.024     4.880      840.156    0%        
h12->h264                       0.012     1.465      470.607    0%        
h13->h265                       0.013     9.770      1275.569   0%        
h14->h266                       0.015     3.177      716.825    0%        
h15->h267                       0.014     1.358      422.871    0%        
h16->h268                       0.012     5.260      841.221    0%        
h17->h269                       0.013     11.788     1420.280   0%        
h18->h270                       0.015     1.354      423.878    0%        
h19->h271                       0.014     9.709      1268.338   0%        
h20->h272                       0.015     3.167      712.866    0%        
h21->h273                       0.014     9.790      1265.561   0%        
h22->h274                       0.014     11.281     1315.274   0%        
h23->h275                       0.015     4.870      841.252    0%        
h24->h276                       0.013     3.180      712.826    0%        
h25->h277                       0.013     9.523      1227.267   0%        
h26->h278                       0.020     5.263      846.781    0%        
h27->h279                       0.015     11.713     1417.960   0%        
h28->h280                       0.013     9.043      1124.352   0%        
h29->h281                       0.014     11.787     1408.981   0%        
h30->h282                       0.014     9.060      1191.585   0%        
h31->h283                       0.013     9.028      1178.140   0%        
h32->h284                       0.015     11.920     1426.759   0%        
h33->h285                       0.013     9.530      1225.785   0%        
h34->h286                       0.015     11.682     1404.039   0%        
h35->h287                       0.013     9.154      1177.002   0%        
h36->h288                       0.019     9.442      1218.617   0%        
h37->h289                       0.013     12.179     1476.184   0%        
h38->h290                       0.015     12.092     1460.695   0%        
h39->h291                       0.014     12.220     1478.880   0%        
h40->h292                       0.015     11.725     1429.426   0%        
h41->h293                       0.014     11.831     1425.393   0%        
h42->h294                       0.013     11.153     1302.251   0%        
h43->h295                       0.014     11.807     1424.271   0%        
h44->h296                       0.013     11.606     1389.581   0%        
h45->h297                       0.014     12.236     1481.195   0%        
h46->h298                       0.014     12.029     1447.944   0%        
h47->h299                       0.014     11.690     1410.456   0%        
h48->h300                       0.015     12.027     1451.212   0%        
h49->h301                       0.015     11.285     1311.763   0%        
h50->h302                       0.015     11.373     1318.167   0%        
h51->h303                       0.013     11.427     1333.561   0%        
h52->h304                       0.030     11.622     1370.246   0%        
h53->h305                       0.013     11.362     1325.677   0%        
h54->h306                       0.013     11.328     1321.122   0%        
h55->h307                       0.015     11.446     1333.501   0%        
