=== OVS Snapshot: mid_churn @ 2026-04-18T23:48:23,620529771-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=2472.393s, table=0, n_packets=2817547, n_bytes=3799322254, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=2472.396s, table=0, n_packets=75759, n_bytes=4830248, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0xa00000000a000e7d, duration=10.359s, table=0, n_packets=196, n_bytes=524080, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=3,nw_src=10.0.0.2,nw_dst=10.0.17.16,tp_src=32816,tp_dst=5001 actions=set_field:10.0.14.125->ip_src,set_field:10.0.0.254->ip_dst,set_field:02:a0:55:0e:7d:73->eth_src,set_field:00:00:00:00:00:fe->eth_dst,FLOOD
 cookie=0xa00000000a00114f, duration=10.348s, table=0, n_packets=145, n_bytes=377362, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=15,nw_src=10.0.0.14,nw_dst=10.0.17.44,tp_src=46770,tp_dst=5001 actions=set_field:10.0.17.79->ip_src,set_field:10.0.1.12->ip_dst,set_field:02:a0:55:11:4f:5e->eth_src,set_field:00:00:00:00:01:0a->eth_dst,output:1
 cookie=0xa00000000a000e9e, duration=10.338s, table=0, n_packets=126, n_bytes=315292, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.15.243,tp_src=42292,tp_dst=5001 actions=set_field:10.0.14.158->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:0e:9e:90->eth_src,set_field:00:00:00:00:01:11->eth_dst,output:1
 cookie=0xa00000000a001139, duration=10.270s, table=0, n_packets=50, n_bytes=126380, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=4,nw_src=10.0.0.3,nw_dst=10.0.14.102,tp_src=40820,tp_dst=5001 actions=set_field:10.0.17.57->ip_src,set_field:10.0.1.1->ip_dst,set_field:02:a0:55:11:39:28->eth_src,set_field:00:00:00:00:00:ff->eth_dst,output:1
 cookie=0xa00000000a0010c6, duration=10.211s, table=0, n_packets=32, n_bytes=78856, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.16.68,tp_src=33786,tp_dst=5001 actions=set_field:10.0.16.198->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:10:c6:d6->eth_src,set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0xa00000000a001165, duration=10.194s, table=0, n_packets=33, n_bytes=83266, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=5,nw_src=10.0.0.4,nw_dst=10.0.15.251,tp_src=47234,tp_dst=5001 actions=set_field:10.0.17.101->ip_src,set_field:10.0.1.2->ip_dst,set_field:02:a0:55:11:65:74->eth_src,set_field:00:00:00:00:01:00->eth_dst,FLOOD
 cookie=0xa00000000a000d9e, duration=10.186s, table=0, n_packets=37, n_bytes=93666, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=7,nw_src=10.0.0.6,nw_dst=10.0.16.81,tp_src=52354,tp_dst=5001 actions=set_field:10.0.13.158->ip_src,set_field:10.0.1.4->ip_dst,set_field:02:a0:55:0d:9e:93->eth_src,set_field:00:00:00:00:01:02->eth_dst,output:1
 cookie=0xa00000000a000df5, duration=10.161s, table=0, n_packets=33, n_bytes=83266, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=18,nw_src=10.0.0.17,nw_dst=10.0.14.82,tp_src=54272,tp_dst=5001 actions=set_field:10.0.13.245->ip_src,set_field:10.0.1.15->ip_dst,set_field:02:a0:55:0d:f5:f8->eth_src,set_field:00:00:00:00:01:0d->eth_dst,output:1
 cookie=0xa00000000a00108c, duration=10.161s, table=0, n_packets=31, n_bytes=78790, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=16,nw_src=10.0.0.15,nw_dst=10.0.13.195,tp_src=49940,tp_dst=5001 actions=set_field:10.0.16.140->ip_src,set_field:10.0.1.13->ip_dst,set_field:02:a0:55:10:8c:9c->eth_src,set_field:00:00:00:00:01:0b->eth_dst,output:1
 cookie=0xa00000000a000e40, duration=10.138s, table=0, n_packets=34, n_bytes=83332, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=19,nw_src=10.0.0.18,nw_dst=10.0.16.223,tp_src=51060,tp_dst=5001 actions=set_field:10.0.14.64->ip_src,set_field:10.0.1.16->ip_dst,set_field:02:a0:55:0e:40:4e->eth_src,set_field:00:00:00:00:01:0e->eth_dst,output:1
 cookie=0xa00000000a000e58, duration=10.138s, table=0, n_packets=40, n_bytes=104000, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=20,nw_src=10.0.0.19,nw_dst=10.0.17.98,tp_src=57904,tp_dst=5001 actions=set_field:10.0.14.88->ip_src,set_field:10.0.1.17->ip_dst,set_field:02:a0:55:0e:58:56->eth_src,set_field:00:00:00:00:01:0f->eth_dst,output:1
