=== UDP Jitter + Packet Loss Summary ===
Topology           : Large (~500+ hosts, 48-port switches)
Pairs available    : 252
Pairs tested       : 252
Rate per pair      : 100K
Aggregate offered  : see per-pair rate
Duration           : 120s

Pair                           Jitter(ms)   Loss(lost/total)   Delivery Status         
------------------------------ ----------   ------------------ ------------------------
h1->h253                       N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h2->h254                       N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h3->h255                       N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h4->h256                       N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h5->h257                       N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h6->h258                       N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h7->h259                       N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h8->h260                       N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h9->h261                       N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h10->h262                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h11->h263                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h12->h264                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h13->h265                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h14->h266                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h15->h267                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h16->h268                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h17->h269                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h18->h270                      14.448       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h19->h271                      11.114       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h20->h272                      13.109       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h21->h273                      13.422       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h22->h274                      12.007       27/1045            SERVER_SUMMARY_OK+ACK_MISSED
h23->h275                      11.980       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h24->h276                      10.862       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h25->h277                      14.658       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h26->h278                      14.410       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h27->h279                      12.837       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h28->h280                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h29->h281                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h30->h282                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h31->h283                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h32->h284                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h33->h285                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h34->h286                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h35->h287                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h36->h288                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h37->h289                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h38->h290                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h39->h291                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h40->h292                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h41->h293                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h42->h294                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h43->h295                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h44->h296                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h45->h297                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h46->h298                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h47->h299                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h48->h300                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h49->h301                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h50->h302                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h51->h303                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h52->h304                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h53->h305                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h54->h306                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h55->h307                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h56->h308                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h57->h309                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h58->h310                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h59->h311                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h60->h312                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h61->h313                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h62->h314                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h63->h315                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h64->h316                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h65->h317                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h66->h318                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h67->h319                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h68->h320                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h69->h321                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h70->h322                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h71->h323                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h72->h324                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h73->h325                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h74->h326                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h75->h327                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h76->h328                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h77->h329                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
h78->h330                      N/A          N/A                NO_SERVER_SUMMARY+ACK_MISSED
