=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Large (~500+ hosts, 48-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
------------------------------ --------   --------   --------   --------  
h1->h253                        0.017     2.956      678.513    0%        
h2->h254                        0.025     2.624      655.862    0%        
h3->h255                        0.024     2.610      655.857    0%        
h4->h256                        0.030     2.605      655.829    0%        
h5->h257                        0.020     2.727      659.781    0%        
h6->h258                        0.020     11.575     1341.459   0%        
h7->h259                        0.026     9.788      1275.428   0%        
h8->h260                        0.017     11.694     1370.742   0%        
h9->h261                        0.029     11.768     1377.615   0%        
h10->h262                       0.017     3.351      716.559    0%        
h11->h263                       0.034     12.646     1479.700   0%        
h12->h264                       0.019     8.800      1121.684   0%        
h13->h265                       0.018     12.208     1445.139   0%        
h14->h266                       0.016     6.693      889.965    0%        
h15->h267                       0.023     11.738     1398.313   0%        
h16->h268                       0.016     3.232      678.503    0%        
h17->h269                       0.026     11.614     1387.936   0%        
h18->h270                       0.016     9.138      1172.621   0%        
h19->h271                       0.043     11.803     1403.670   0%        
h20->h272                       0.037     11.998     1418.858   0%        
h21->h273                       0.016     7.467      1083.259   0%        
h22->h274                       0.015     7.459      1082.530   0%        
h23->h275                       0.016     11.673     1380.467   0%        
h24->h276                       0.028     11.672     1370.756   0%        
h25->h277                       0.018     3.221      678.546    0%        
h26->h278                       0.034     11.502     1320.818   0%        
h27->h279                       0.035     11.448     1312.663   0%        
h28->h280                       0.016     12.282     1461.255   0%        
h29->h281                       0.018     9.813      1285.771   0%        
h30->h282                       0.018     3.234      678.481    0%        
h31->h283                       0.017     9.537      1230.052   0%        
h32->h284                       0.017     11.422     1334.954   0%        
h33->h285                       0.015     9.522      1227.714   0%        
h34->h286                       0.016     12.201     1457.182   0%        
h35->h287                       0.018     12.312     1449.975   0%        
h36->h288                       0.026     9.585      1228.625   0%        
h37->h289                       0.021     7.479      1094.046   0%        
h38->h290                       0.018     9.796      1266.104   0%        
h39->h291                       0.017     9.665      1242.378   0%        
h40->h292                       0.018     9.219      1202.880   0%        
h41->h293                       0.015     12.254     1450.034   0%        
h42->h294                       0.027     9.816      1257.869   0%        
h43->h295                       0.026     9.230      1180.292   0%        
h44->h296                       0.016     9.642      1243.282   0%        
h45->h297                       0.017     9.597      1239.803   0%        
h46->h298                       0.018     9.733      1260.719   0%        
h47->h299                       0.019     12.249     1444.664   0%        
h48->h300                       0.017     12.262     1452.398   0%        
h49->h301                       0.020     11.704     1371.590   0%        
h50->h302                       0.016     11.976     1433.062   0%        
h51->h303                       0.038     12.014     1420.530   0%        
h52->h304                       0.041     11.830     1394.662   0%        
h53->h305                       0.017     11.950     1424.611   0%        
h54->h306                       0.015     13.874     1497.836   0%        
h55->h307                       0.019     11.764     1379.141   0%        
h56->h308                       0.016     12.357     1459.834   0%        
h57->h309                       0.019     11.880     1404.288   0%        
h58->h310                       0.017     12.029     1440.218   0%        
h59->h311                       0.017     15.017     1628.091   0%        
h60->h312                       0.016     12.124     1432.010   0%        
h61->h313                       0.018     11.832     1380.200   0%        
h62->h314                       0.020     14.086     1517.397   0%        
h63->h315                       0.019     14.083     1520.521   0%        
h64->h316                       0.018     12.113     1430.364   0%        
h65->h317                       0.018     12.163     1445.635   0%        
h66->h318                       0.019     14.236     1530.644   0%        
h67->h319                       0.017     14.073     1520.246   0%        
h68->h320                       0.017     12.162     1446.071   0%        
h69->h321                       0.018     13.917     1502.217   0%        
h70->h322                       0.014     14.528     1576.512   0%        
h71->h323                       0.012     12.408     1481.827   0%        
h72->h324                       0.016     12.247     1444.668   0%        
h73->h325                       0.018     11.659     1353.125   0%        
h74->h326                       0.018     14.051     1501.566   0%        
h75->h327                       0.017     12.395     1456.462   0%        
h76->h328                       0.016     14.207     1538.306   0%        
h77->h329                       0.017     9.829      1275.006   0%        
h78->h330                       0.017     12.205     1447.000   0%        
h79->h331                       0.016     9.856      1287.576   0%        
h80->h332                       0.017     15.276     1632.196   0%        
h81->h333                       0.018     11.480     1320.514   0%        
h82->h334                       0.021     11.575     1319.442   0%        
h83->h335                       0.018     15.343     1628.216   0%        
h84->h336                       0.017     12.466     1461.622   0%        
h85->h337                       0.016     12.367     1463.040   0%        
h86->h338                       0.019     12.231     1444.076   0%        
h87->h339                       0.018     12.417     1466.357   0%        
h88->h340                       0.017     12.491     1480.935   0%        
h89->h341                       0.015     14.212     1521.561   0%        
h90->h342                       0.017     14.245     1542.344   0%        
h91->h343                       0.015     12.540     1484.849   0%        
h92->h344                       0.015     15.281     1628.277   0%        
h93->h345                       0.017     14.174     1522.527   0%        
h94->h346                       0.018     12.188     1437.000   0%        
h95->h347                       0.015     12.474     1472.736   0%        
h96->h348                       0.017     13.918     1500.933   0%        
h97->h349                       0.016     14.513     1582.255   0%        
h98->h350                       0.018     17.783     1778.329   0%        
h99->h351                       0.018     14.501     1593.549   0%        
h100->h352                      0.018     16.007     1698.556   0%        
h101->h353                      0.016     15.421     1632.243   0%        
h102->h354                      0.016     15.897     1682.940   0%        
h103->h355                      0.017     15.414     1641.809   0%        
h104->h356                      0.014     15.476     1641.803   0%        
h105->h357                      0.016     15.893     1683.831   0%        
h106->h358                      0.016     15.564     1632.257   0%        
h107->h359                      0.016     15.173     1630.911   0%        
h108->h360                      0.019     14.632     1598.176   0%        
h109->h361                      0.017     18.690     1770.200   0%        
h110->h362                      0.016     15.167     1628.302   0%        
h111->h363                      0.015     15.907     1680.657   0%        
h112->h364                      0.017     18.751     1776.992   0%        
h113->h365                      0.016     18.720     1774.519   0%        
h114->h366                      0.018     18.755     1777.668   0%        
h115->h367                      0.016     18.976     1797.166   0%        
h116->h368                      0.017     18.824     1817.972   0%        
h117->h369                      0.017     18.900     1805.645   0%        
h118->h370                      0.020     15.956     1678.473   0%        
h119->h371                      0.017     19.027     1804.722   0%        
h120->h372                      0.017     18.779     1777.638   0%        
h121->h373                      0.020     13.987     1503.072   0%        
h122->h374                      0.017     15.052     1684.183   0%        
h123->h375                      0.017     19.276     1847.419   0%        
h124->h376                      0.017     17.450     1725.658   0%        
h125->h377                      0.017     17.451     1720.933   0%        
h126->h378                      0.018     15.712     1732.075   0%        
h127->h379                      0.016     15.047     1697.560   0%        
h128->h380                      0.017     19.259     1844.231   0%        
h129->h381                      0.015     17.641     1744.475   0%        
h130->h382                      0.018     17.616     1753.197   0%        
h131->h383                      0.016     15.047     1691.216   0%        
h132->h384                      0.017     15.318     1697.371   0%        
h133->h385                      0.017     19.334     1872.894   0%        
h134->h386                      0.016     17.510     1732.079   0%        
h135->h387                      0.017     14.989     1693.704   0%        
h136->h388                      0.016     15.812     1697.359   0%        
h137->h389                      0.017     21.103     2004.229   0%        
h138->h390                      0.015     15.763     1697.356   0%        
h139->h391                      0.016     19.147     1840.980   0%        
h140->h392                      0.017     15.742     1697.337   0%        
h141->h393                      0.016     15.756     1697.344   0%        
h142->h394                      0.016     19.295     1842.921   0%        
h143->h395                      0.017     21.001     1989.542   0%        
h144->h396                      0.019     15.013     1684.170   0%        
h145->h397                      0.017     16.065     1728.376   0%        
h146->h398                      0.017     18.758     1769.860   0%        
h147->h399                      0.016     15.251     1715.390   0%        
h148->h400                      0.016     15.974     1724.427   0%        
h149->h401                      0.018     16.062     1753.236   0%        
h150->h402                      0.016     12.589     1473.696   0%        
h151->h403                      0.017     14.365     1545.249   0%        
h152->h404                      0.018     18.793     1769.209   0%        
h153->h405                      0.017     15.913     1736.142   0%        
h154->h406                      0.016     19.597     1899.168   0%        
h155->h407                      0.019     18.771     1776.804   0%        
h156->h408                      0.018     18.724     1768.670   0%        
h157->h409                      0.018     19.480     1872.505   0%        
h158->h410                      0.019     20.776     1939.192   0%        
h159->h411                      0.017     14.285     1525.327   0%        
h160->h412                      0.016     19.446     1871.210   0%        
h161->h413                      0.016     19.617     1899.519   0%        
h162->h414                      0.019     14.285     1538.606   0%        
h163->h415                      0.016     20.481     1901.283   0%        
h164->h416                      0.017     19.514     1889.197   0%        
h165->h417                      0.018     19.476     1883.672   0%        
h166->h418                      0.015     20.803     1965.066   0%        
h167->h419                      0.017     15.900     1732.269   0%        
h168->h420                      0.017     18.755     1769.953   0%        
h169->h421                      0.018     16.011     1728.268   0%        
h170->h422                      0.019     16.114     1748.191   0%        
h171->h423                      0.016     20.510     1910.335   0%        
h172->h424                      0.018     16.100     1755.012   0%        
h173->h425                      0.020     16.047     1728.243   0%        
h174->h426                      0.018     19.569     1889.779   0%        
h175->h427                      0.016     18.809     1763.842   0%        
h176->h428                      0.019     21.238     2019.977   0%        
h177->h429                      0.014     18.820     1770.429   0%        
h178->h430                      0.017     21.270     2028.829   0%        
h179->h431                      0.018     18.802     1767.681   0%        
h180->h432                      0.019     21.218     2029.985   0%        
h181->h433                      0.018     21.127     1980.051   0%        
h182->h434                      0.015     15.948     1767.005   0%        
h183->h435                      0.017     20.985     1987.642   0%        
h184->h436                      0.014     18.763     1767.008   0%        
h185->h437                      0.026     18.860     1773.199   0%        
h186->h438                      0.017     19.540     1888.734   0%        
h187->h439                      0.016     19.397     1866.506   0%        
h188->h440                      0.018     21.134     2010.695   0%        
h189->h441                      0.031     21.217     2012.249   0%        
h190->h442                      0.016     21.234     2014.240   0%        
h191->h443                      0.017     19.507     1889.407   0%        
h192->h444                      0.017     21.196     2003.376   0%        
h193->h445                      0.015     21.751     2008.535   0%        
h194->h446                      0.016     19.182     1842.987   0%        
h195->h447                      0.018     17.666     1773.130   0%        
h196->h448                      0.017     20.703     1924.358   0%        
h197->h449                      0.017     17.637     1769.312   0%        
h198->h450                      0.017     19.151     1843.226   0%        
h199->h451                      0.017     18.860     1775.477   0%        
h200->h452                      0.015     17.785     1773.169   0%        
h201->h453                      0.018     19.598     1899.311   0%        
h202->h454                      0.016     17.674     1769.290   0%        
h203->h455                      0.017     21.768     2013.408   0%        
h204->h456                      0.016     19.002     1817.412   0%        
