=== UDP Jitter + Packet Loss Summary ===
Topology           : Large (~500+ hosts, 48-port switches)
Pairs available    : 252
Pairs tested       : 252
Rate per pair      : 100K
Aggregate offered  : see per-pair rate
Duration           : 120s

Pair                           Jitter(ms)   Loss(lost/total)   Delivery Status         
------------------------------ ----------   ------------------ ------------------------
h1->h253                       71.464       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h2->h254                       70.903       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h3->h255                       74.173       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h4->h256                       73.124       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h5->h257                       10.893       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h6->h258                       10.516       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h7->h259                       9.547        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h8->h260                       9.422        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h9->h261                       9.861        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h10->h262                      9.632        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h11->h263                      8.463        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h12->h264                      8.014        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h13->h265                      10.712       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h14->h266                      10.404       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h15->h267                      10.417       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h16->h268                      9.498        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h17->h269                      9.303        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h18->h270                      9.467        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h19->h271                      8.465        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h20->h272                      8.701        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h21->h273                      8.531        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h22->h274                      10.540       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h23->h275                      9.754        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h24->h276                      9.776        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h25->h277                      9.443        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h26->h278                      8.885        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h27->h279                      8.598        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h28->h280                      8.941        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h29->h281                      8.702        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h30->h282                      8.346        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h31->h283                      8.217        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h32->h284                      9.928        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h33->h285                      9.834        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h34->h286                      9.119        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h35->h287                      9.328        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h36->h288                      8.986        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h37->h289                      8.111        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h38->h290                      7.971        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h39->h291                      8.542        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h40->h292                      8.082        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h41->h293                      7.520        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h42->h294                      6.716        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h43->h295                      9.077        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h44->h296                      8.622        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h45->h297                      8.640        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h46->h298                      8.326        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h47->h299                      7.448        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h48->h300                      7.590        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h49->h301                      7.725        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h50->h302                      7.751        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h51->h303                      7.336        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h52->h304                      6.557        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h53->h305                      8.235        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h54->h306                      8.202        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h55->h307                      8.234        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h56->h308                      8.186        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h57->h309                      7.079        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h58->h310                      7.006        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h59->h311                      7.359        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h60->h312                      7.226        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h61->h313                      6.966        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h62->h314                      6.117        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h63->h315                      8.049        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h64->h316                      8.101        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h65->h317                      8.328        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h66->h318                      7.732        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h67->h319                      6.903        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h68->h320                      6.699        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h69->h321                      7.924        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h70->h322                      6.727        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h71->h323                      6.432        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h72->h324                      7.505        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h73->h325                      7.173        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h74->h326                      7.088        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h75->h327                      7.292        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h76->h328                      6.702        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h77->h329                      6.732        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h78->h330                      6.382        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h79->h331                      6.429        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h80->h332                      5.905        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h81->h333                      68.006       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h82->h334                      69.869       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h83->h335                      69.265       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h84->h336                      69.857       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h85->h337                      69.161       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h86->h338                      68.688       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h87->h339                      68.269       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h88->h340                      69.057       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h89->h341                      68.407       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h90->h342                      68.742       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h91->h343                      6.274        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h92->h344                      7.073        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h93->h345                      6.589        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h94->h346                      6.277        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h95->h347                      6.557        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h96->h348                      5.834        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h97->h349                      5.658        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h98->h350                      6.133        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
