=== OVS Snapshot: post_churn @ 2026-04-19T00:02:46,930956298-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=3335.700s, table=0, n_packets=3752869, n_bytes=4958453630, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=3335.711s, table=0, n_packets=104631, n_bytes=6745012, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0xa00000000a000ac8, duration=27.903s, table=0, n_packets=127, n_bytes=306670, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=3,nw_src=10.0.0.2,nw_dst=10.0.11.25,tp_src=49740,tp_dst=5001 actions=set_field:10.0.10.200->ip_src,set_field:10.0.0.254->ip_dst,set_field:02:a0:55:0a:c8:c2->eth_src,set_field:00:00:00:00:00:fe->eth_dst,output:1
 cookie=0xa00000000a0007ea, duration=27.892s, table=0, n_packets=122, n_bytes=286068, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=8,nw_src=10.0.0.7,nw_dst=10.0.8.95,tp_src=42528,tp_dst=5001 actions=set_field:10.0.7.234->ip_src,set_field:10.0.1.5->ip_dst,set_field:02:a0:55:07:ea:ed->eth_src,set_field:00:00:00:00:01:03->eth_dst,output:1
 cookie=0xa00000000a000730, duration=27.885s, table=0, n_packets=135, n_bytes=343398, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=4,nw_src=10.0.0.3,nw_dst=10.0.8.109,tp_src=56626,tp_dst=5001 actions=set_field:10.0.7.48->ip_src,set_field:10.0.1.1->ip_dst,set_field:02:a0:55:07:30:37->eth_src,set_field:00:00:00:00:00:ff->eth_dst,output:1
 cookie=0xa00000000a000774, duration=27.850s, table=0, n_packets=113, n_bytes=284778, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=5,nw_src=10.0.0.4,nw_dst=10.0.3.199,tp_src=34124,tp_dst=5001 actions=set_field:10.0.7.116->ip_src,set_field:10.0.1.2->ip_dst,set_field:02:a0:55:07:74:73->eth_src,set_field:00:00:00:00:01:00->eth_dst,output:1
 cookie=0xa00000000a000a23, duration=27.841s, table=0, n_packets=100, n_bytes=258552, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=11,nw_src=10.0.0.10,nw_dst=10.0.8.168,tp_src=41200,tp_dst=5001 actions=set_field:10.0.10.35->ip_src,set_field:10.0.1.8->ip_dst,set_field:02:a0:55:0a:23:29->eth_src,set_field:00:00:00:00:01:06->eth_dst,output:1
 cookie=0xa00000000a000a30, duration=27.841s, table=0, n_packets=55, n_bytes=126710, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=12,nw_src=10.0.0.11,nw_dst=10.0.6.234,tp_src=45560,tp_dst=5001 actions=set_field:10.0.10.48->ip_src,set_field:10.0.1.9->ip_dst,set_field:02:a0:55:0a:30:3a->eth_src,set_field:00:00:00:00:01:07->eth_dst,output:1
 cookie=0xa00000000a000ada, duration=27.792s, table=0, n_packets=74, n_bytes=171404, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.8.69,tp_src=38314,tp_dst=5001 actions=set_field:10.0.10.218->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:0a:da:d0->eth_src,set_field:00:00:00:00:01:11->eth_dst,output:1
 cookie=0xa00000000a000843, duration=27.731s, table=0, n_packets=74, n_bytes=172852, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=10,nw_src=10.0.0.9,nw_dst=10.0.7.3,tp_src=44764,tp_dst=5001 actions=set_field:10.0.8.67->ip_src,set_field:10.0.1.7->ip_dst,set_field:02:a0:55:08:43:4b->eth_src,set_field:00:00:00:00:01:05->eth_dst,output:1
 cookie=0xa00000000a000a30, duration=23.703s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=12,nw_src=10.0.0.11,nw_dst=10.0.6.234,tp_src=59964,tp_dst=5001 actions=set_field:10.0.10.48->ip_src,set_field:10.0.1.9->ip_dst,set_field:02:a0:55:0a:30:3a->eth_src,set_field:00:00:00:00:01:07->eth_dst,output:1
 cookie=0xa00000000a000ae6, duration=23.361s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=23,nw_src=10.0.0.22,nw_dst=10.0.3.214,tp_src=49070,tp_dst=5001 actions=set_field:10.0.10.230->ip_src,set_field:10.0.1.20->ip_dst,set_field:02:a0:55:0a:e6:ec->eth_src,set_field:00:00:00:00:01:12->eth_dst,output:1
 cookie=0xa00000000a0007ea, duration=23.312s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=8,nw_src=10.0.0.7,nw_dst=10.0.8.95,tp_src=50798,tp_dst=5001 actions=set_field:10.0.7.234->ip_src,set_field:10.0.1.5->ip_dst,set_field:02:a0:55:07:ea:ed->eth_src,set_field:00:00:00:00:01:03->eth_dst,output:1
 cookie=0xa00000000a000a73, duration=23.262s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=16,nw_src=10.0.0.15,nw_dst=10.0.10.59,tp_src=50370,tp_dst=5001 actions=set_field:10.0.10.115->ip_src,set_field:10.0.1.13->ip_dst,set_field:02:a0:55:0a:73:79->eth_src,set_field:00:00:00:00:01:0b->eth_dst,output:1
 cookie=0xa00000000a000b00, duration=22.913s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=25,nw_src=10.0.0.24,nw_dst=10.0.21.80,tp_src=45884,tp_dst=5001 actions=set_field:10.0.11.0->ip_src,set_field:10.0.1.22->ip_dst,set_field:02:a0:55:0b:00:0b->eth_src,set_field:00:00:00:00:01:14->eth_dst,output:1
 cookie=0xa00000000a000774, duration=22.883s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=5,nw_src=10.0.0.4,nw_dst=10.0.3.199,tp_src=60062,tp_dst=5001 actions=set_field:10.0.7.116->ip_src,set_field:10.0.1.2->ip_dst,set_field:02:a0:55:07:74:73->eth_src,set_field:00:00:00:00:01:00->eth_dst,output:1
 cookie=0xa00000000a000a23, duration=22.855s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=11,nw_src=10.0.0.10,nw_dst=10.0.8.168,tp_src=35268,tp_dst=5001 actions=set_field:10.0.10.35->ip_src,set_field:10.0.1.8->ip_dst,set_field:02:a0:55:0a:23:29->eth_src,set_field:00:00:00:00:01:06->eth_dst,output:1
 cookie=0xa00000000a000af1, duration=22.763s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=24,nw_src=10.0.0.23,nw_dst=10.0.7.155,tp_src=59814,tp_dst=5001 actions=set_field:10.0.10.241->ip_src,set_field:10.0.1.21->ip_dst,set_field:02:a0:55:0a:f1:fb->eth_src,set_field:00:00:00:00:01:13->eth_dst,output:1
