=== OVS Snapshot: post_churn @ 2026-04-19T00:17:09,968337453-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=4198.731s, table=0, n_packets=4791585, n_bytes=6331141378, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=4198.734s, table=0, n_packets=132595, n_bytes=8789057, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0xa00000000a000406, duration=27.954s, table=0, n_packets=218, n_bytes=574764, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=14,nw_src=10.0.0.13,nw_dst=10.0.5.92,tp_src=56810,tp_dst=5001 actions=set_field:10.0.4.6->ip_src,set_field:10.0.1.11->ip_dst,set_field:02:a0:55:04:06:02->eth_src,set_field:00:00:00:00:01:09->eth_dst,output:1
 cookie=0xa00000000a000d8e, duration=27.907s, table=0, n_packets=110, n_bytes=288172, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.4.232,tp_src=33046,tp_dst=5001 actions=set_field:10.0.13.142->ip_src,set_field:10.0.0.253->ip_dst,set_field:02:a0:55:0d:8e:83->eth_src,set_field:00:00:00:00:00:fd->eth_dst,output:1
 cookie=0xa00000000a0004ee, duration=27.896s, table=0, n_packets=100, n_bytes=254208, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=4,nw_src=10.0.0.3,nw_dst=10.0.5.76,tp_src=58346,tp_dst=5001 actions=set_field:10.0.4.238->ip_src,set_field:10.0.1.1->ip_dst,set_field:02:a0:55:04:ee:ea->eth_src,set_field:00:00:00:00:00:ff->eth_dst,output:1
 cookie=0xa00000000a00043f, duration=27.886s, table=0, n_packets=130, n_bytes=343068, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=17,nw_src=10.0.0.16,nw_dst=10.0.5.130,tp_src=32914,tp_dst=5001 actions=set_field:10.0.4.63->ip_src,set_field:10.0.1.14->ip_dst,set_field:02:a0:55:04:3f:3b->eth_src,set_field:00:00:00:00:01:0c->eth_dst,output:1
 cookie=0xa00000000a00047f, duration=27.886s, table=0, n_packets=97, n_bytes=245322, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=21,nw_src=10.0.0.20,nw_dst=10.0.5.183,tp_src=34632,tp_dst=5001 actions=set_field:10.0.4.127->ip_src,set_field:10.0.1.18->ip_dst,set_field:02:a0:55:04:7f:7b->eth_src,set_field:00:00:00:00:01:10->eth_dst,output:1
 cookie=0xa00000000a000450, duration=27.843s, table=0, n_packets=98, n_bytes=259868, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=18,nw_src=10.0.0.17,nw_dst=10.0.5.142,tp_src=57886,tp_dst=5001 actions=set_field:10.0.4.80->ip_src,set_field:10.0.1.15->ip_dst,set_field:02:a0:55:04:50:54->eth_src,set_field:00:00:00:00:01:0d->eth_dst,output:1
 cookie=0xa00000000a0003fa, duration=27.791s, table=0, n_packets=53, n_bytes=126578, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=13,nw_src=10.0.0.12,nw_dst=10.0.5.77,tp_src=59642,tp_dst=5001 actions=set_field:10.0.3.250->ip_src,set_field:10.0.1.10->ip_dst,set_field:02:a0:55:03:fa:f9->eth_src,set_field:00:00:00:00:01:08->eth_dst,output:1
 cookie=0xa00000000a000429, duration=27.791s, table=0, n_packets=65, n_bytes=170810, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=16,nw_src=10.0.0.15,nw_dst=10.0.5.119,tp_src=37468,tp_dst=5001 actions=set_field:10.0.4.41->ip_src,set_field:10.0.1.13->ip_dst,set_field:02:a0:55:04:29:2d->eth_src,set_field:00:00:00:00:01:0b->eth_dst,output:1
 cookie=0xa00000000a00050f, duration=27.732s, table=0, n_packets=73, n_bytes=193058, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=7,nw_src=10.0.0.6,nw_dst=10.0.20.250,tp_src=44478,tp_dst=5001 actions=set_field:10.0.5.15->ip_src,set_field:10.0.1.4->ip_dst,set_field:02:a0:55:05:0f:0a->eth_src,set_field:00:00:00:00:01:02->eth_dst,output:1
 cookie=0xa00000000a00051c, duration=27.732s, table=0, n_packets=66, n_bytes=170876, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=8,nw_src=10.0.0.7,nw_dst=10.0.21.24,tp_src=41852,tp_dst=5001 actions=set_field:10.0.5.28->ip_src,set_field:10.0.1.5->ip_dst,set_field:02:a0:55:05:1c:19->eth_src,set_field:00:00:00:00:01:03->eth_dst,output:1
 cookie=0xa00000000a000504, duration=27.732s, table=0, n_packets=68, n_bytes=171008, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.22.129,tp_src=40852,tp_dst=5001 actions=set_field:10.0.5.4->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:05:04:01->eth_src,set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0xa00000000a0004d8, duration=27.687s, table=0, n_packets=37, n_bytes=83530, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=25,nw_src=10.0.0.24,nw_dst=10.0.9.10,tp_src=39244,tp_dst=5001 actions=set_field:10.0.4.216->ip_src,set_field:10.0.1.22->ip_dst,set_field:02:a0:55:04:d8:dc->eth_src,set_field:00:00:00:00:01:14->eth_dst,output:1
 cookie=0xa00000000a00047d, duration=27.646s, table=0, n_packets=38, n_bytes=82148, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=3,nw_src=10.0.0.2,nw_dst=10.0.4.233,tp_src=45734,tp_dst=5001 actions=set_field:10.0.4.125->ip_src,set_field:10.0.0.254->ip_dst,set_field:02:a0:55:04:7d:79->eth_src,set_field:00:00:00:00:00:fe->eth_dst,output:1
