=== OVS Snapshot: post_churn @ 2026-04-19T01:05:44,718436696-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=7113.479s, table=0, n_packets=7614262, n_bytes=9972393130, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=7113.486s, table=0, n_packets=251550, n_bytes=17903123, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0xa00000000a000a3a, duration=27.084s, table=0, n_packets=294, n_bytes=756436, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=4,nw_src=10.0.0.3,nw_dst=10.0.7.32,tp_src=43286,tp_dst=5001 actions=set_field:10.0.10.58->ip_src,set_field:10.0.1.1->ip_dst,set_field:02:a0:55:0a:3a:30->eth_src,set_field:00:00:00:00:00:ff->eth_dst,output:1
 cookie=0xa00000000a0015a2, duration=27.067s, table=0, n_packets=213, n_bytes=564298, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.5.234,tp_src=40274,tp_dst=5001 actions=set_field:10.0.21.162->ip_src,set_field:10.0.0.253->ip_dst,set_field:02:a0:55:15:a2:b7->eth_src,set_field:00:00:00:00:00:fd->eth_dst,output:1
 cookie=0xa00000000a0015ac, duration=27.033s, table=0, n_packets=140, n_bytes=352416, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=5,nw_src=10.0.0.4,nw_dst=10.0.4.71,tp_src=39778,tp_dst=5001 actions=set_field:10.0.21.172->ip_src,set_field:10.0.1.2->ip_dst,set_field:02:a0:55:15:ac:b9->eth_src,set_field:00:00:00:00:01:00->eth_dst,output:1
 cookie=0xa00000000a001572, duration=26.993s, table=0, n_packets=106, n_bytes=279220, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=7,nw_src=10.0.0.6,nw_dst=10.0.12.111,tp_src=38028,tp_dst=5001 actions=set_field:10.0.21.114->ip_src,set_field:10.0.1.4->ip_dst,set_field:02:a0:55:15:72:67->eth_src,set_field:00:00:00:00:01:02->eth_dst,output:1
 cookie=0xa00000000a000d72, duration=26.900s, table=0, n_packets=66, n_bytes=150604, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=14,nw_src=10.0.0.13,nw_dst=10.0.8.165,tp_src=45998,tp_dst=5001 actions=set_field:10.0.13.114->ip_src,set_field:10.0.1.11->ip_dst,set_field:02:a0:55:0d:72:7f->eth_src,set_field:00:00:00:00:01:09->eth_dst,output:1
 cookie=0xa00000000a0007d0, duration=26.861s, table=0, n_packets=64, n_bytes=150472, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=12,nw_src=10.0.0.11,nw_dst=10.0.11.255,tp_src=40120,tp_dst=5001 actions=set_field:10.0.7.208->ip_src,set_field:10.0.1.9->ip_dst,set_field:02:a0:55:07:d0:d7->eth_src,set_field:00:00:00:00:01:07->eth_dst,output:1
 cookie=0xa00000000a00081d, duration=26.801s, table=0, n_packets=67, n_bytes=172390, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=13,nw_src=10.0.0.12,nw_dst=10.0.7.33,tp_src=53248,tp_dst=5001 actions=set_field:10.0.8.29->ip_src,set_field:10.0.1.10->ip_dst,set_field:02:a0:55:08:1d:15->eth_src,set_field:00:00:00:00:01:08->eth_dst,output:1
 cookie=0xa00000000a00089d, duration=26.801s, table=0, n_packets=58, n_bytes=150076, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=18,nw_src=10.0.0.17,nw_dst=10.0.21.43,tp_src=55004,tp_dst=5001 actions=set_field:10.0.8.157->ip_src,set_field:10.0.1.15->ip_dst,set_field:02:a0:55:08:9d:95->eth_src,set_field:00:00:00:00:01:0d->eth_dst,output:1
 cookie=0xa00000000a000988, duration=26.785s, table=0, n_packets=58, n_bytes=150076, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.6.107,tp_src=40136,tp_dst=5001 actions=set_field:10.0.9.136->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:09:88:81->eth_src,set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0xa00000000a0015af, duration=26.720s, table=0, n_packets=59, n_bytes=151590, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=16,nw_src=10.0.0.15,nw_dst=10.0.4.122,tp_src=52174,tp_dst=5001 actions=set_field:10.0.21.175->ip_src,set_field:10.0.1.13->ip_dst,set_field:02:a0:55:15:af:ba->eth_src,set_field:00:00:00:00:01:0b->eth_dst,output:1
 cookie=0xa00000000a000d6d, duration=26.720s, table=0, n_packets=36, n_bytes=82016, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=19,nw_src=10.0.0.18,nw_dst=10.0.10.70,tp_src=35650,tp_dst=5001 actions=set_field:10.0.13.109->ip_src,set_field:10.0.1.16->ip_dst,set_field:02:a0:55:0d:6d:60->eth_src,set_field:00:00:00:00:01:0e->eth_dst,output:1
 cookie=0xa00000000a00166a, duration=26.700s, table=0, n_packets=37, n_bytes=82082, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.17.193,tp_src=57890,tp_dst=5001 actions=set_field:10.0.22.106->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:16:6a:7c->eth_src,set_field:00:00:00:00:01:11->eth_dst,output:1
