=== OVS Snapshot: mid_churn @ 2026-04-19T01:22:43,520126912-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=8132.298s, table=0, n_packets=8710249, n_bytes=11423325558, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=8132.300s, table=0, n_packets=311599, n_bytes=34450852, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0xa00000000a000a5f, duration=10.586s, table=0, n_packets=166, n_bytes=441012, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=4,nw_src=10.0.0.3,nw_dst=10.0.17.235,tp_src=56150,tp_dst=5001 actions=set_field:10.0.10.95->ip_src,set_field:10.0.1.1->ip_dst,set_field:02:a0:55:0a:5f:55->eth_src,set_field:00:00:00:00:00:ff->eth_dst,output:1
 cookie=0xa00000000a000ed4, duration=10.586s, table=0, n_packets=227, n_bytes=595630, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.9.131,tp_src=38112,tp_dst=5001 actions=set_field:10.0.14.212->ip_src,set_field:10.0.0.253->ip_dst,set_field:02:a0:55:0e:d4:da->eth_src,set_field:00:00:00:00:00:fd->eth_dst,output:1
 cookie=0xa00000000a001137, duration=10.558s, table=0, n_packets=112, n_bytes=292648, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=5,nw_src=10.0.0.4,nw_dst=10.0.6.80,tp_src=32930,tp_dst=5001 actions=set_field:10.0.17.55->ip_src,set_field:10.0.1.2->ip_dst,set_field:02:a0:55:11:37:26->eth_src,set_field:00:00:00:00:01:00->eth_dst,output:1
 cookie=0xa00000000a000bca, duration=10.552s, table=0, n_packets=124, n_bytes=325296, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.9.70,tp_src=55740,tp_dst=5001 actions=set_field:10.0.11.202->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:0b:ca:c1->eth_src,set_field:00:00:00:00:01:04->eth_dst,output:1
 cookie=0xa00000000a0011f4, duration=10.544s, table=0, n_packets=149, n_bytes=386314, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=11,nw_src=10.0.0.10,nw_dst=10.0.3.161,tp_src=44508,tp_dst=5001 actions=set_field:10.0.17.244->ip_src,set_field:10.0.1.8->ip_dst,set_field:02:a0:55:11:f4:e5->eth_src,set_field:00:00:00:00:01:06->eth_dst,output:1
 cookie=0xa00000000a000a49, duration=10.436s, table=0, n_packets=69, n_bytes=173970, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=3,nw_src=10.0.0.2,nw_dst=10.0.8.141,tp_src=54904,tp_dst=5001 actions=set_field:10.0.10.73->ip_src,set_field:10.0.0.254->ip_dst,set_field:02:a0:55:0a:49:43->eth_src,set_field:00:00:00:00:00:fe->eth_dst,output:1
 cookie=0xa00000000a000665, duration=10.337s, table=0, n_packets=52, n_bytes=130856, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=12,nw_src=10.0.0.11,nw_dst=10.0.16.144,tp_src=36312,tp_dst=5001 actions=set_field:10.0.6.101->ip_src,set_field:10.0.1.9->ip_dst,set_field:02:a0:55:06:65:63->eth_src,set_field:00:00:00:00:01:07->eth_dst,output:1
 cookie=0xa00000000a0011be, duration=10.319s, table=0, n_packets=35, n_bytes=83398, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.8.181,tp_src=53544,tp_dst=5001 actions=set_field:10.0.17.190->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:11:be:af->eth_src,set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0xa00000000a000acb, duration=10.298s, table=0, n_packets=54, n_bytes=136780, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.12.198,tp_src=59920,tp_dst=5001 actions=set_field:10.0.10.203->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:0a:cb:c1->eth_src,set_field:00:00:00:00:01:11->eth_dst,output:1
 cookie=0xa00000000a000d04, duration=10.247s, table=0, n_packets=55, n_bytes=141190, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=8,nw_src=10.0.0.7,nw_dst=10.0.8.244,tp_src=37648,tp_dst=5001 actions=set_field:10.0.13.4->ip_src,set_field:10.0.1.5->ip_dst,set_field:02:a0:55:0d:04:09->eth_src,set_field:00:00:00:00:01:03->eth_dst,output:1
 cookie=0xa00000000a00072f, duration=10.215s, table=0, n_packets=45, n_bytes=118810, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=23,nw_src=10.0.0.22,nw_dst=10.0.12.94,tp_src=60724,tp_dst=5001 actions=set_field:10.0.7.47->ip_src,set_field:10.0.1.20->ip_dst,set_field:02:a0:55:07:2f:28->eth_src,set_field:00:00:00:00:01:12->eth_dst,output:1
 cookie=0xa00000000a000d21, duration=10.184s, table=0, n_packets=48, n_bytes=126248, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=15,nw_src=10.0.0.14,nw_dst=10.0.6.62,tp_src=57174,tp_dst=5001 actions=set_field:10.0.13.33->ip_src,set_field:10.0.1.12->ip_dst,set_field:02:a0:55:0d:21:2c->eth_src,set_field:00:00:00:00:01:0a->eth_dst,output:1
