=== OVS Snapshot: mid_tcp @ 2026-04-20T00:32:26,177168424-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=11186.512s, table=0, n_packets=8217, n_bytes=493020, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=61.162s, table=0, n_packets=90025, n_bytes=4019692178, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.24,nw_dst=10.0.1.22,tp_src=40032,tp_dst=5001 actions=set_field:00:00:00:00:01:14->eth_dst,output:13
 cookie=0x0, duration=61.162s, table=0, n_packets=53462, n_bytes=3530688, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.22,nw_dst=10.0.0.24,tp_src=5001,tp_dst=40032 actions=set_field:00:00:00:00:00:18->eth_dst,output:2
 cookie=0x0, duration=61.162s, table=0, n_packets=66824, n_bytes=3214587832, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.17,nw_dst=10.0.1.15,tp_src=44654,tp_dst=5001 actions=set_field:00:00:00:00:01:0d->eth_dst,output:13
 cookie=0x0, duration=61.162s, table=0, n_packets=21144, n_bytes=1402580, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.15,nw_dst=10.0.0.17,tp_src=5001,tp_dst=44654 actions=set_field:00:00:00:00:00:11->eth_dst,output:2
 cookie=0x0, duration=61.162s, table=0, n_packets=94739, n_bytes=4000571270, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.14,nw_dst=10.0.1.12,tp_src=57108,tp_dst=5001 actions=set_field:00:00:00:00:01:0a->eth_dst,output:13
 cookie=0x0, duration=61.162s, table=0, n_packets=51335, n_bytes=3409974, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.12,nw_dst=10.0.0.14,tp_src=5001,tp_dst=57108 actions=set_field:00:00:00:00:00:0e->eth_dst,output:2
 cookie=0x0, duration=61.162s, table=0, n_packets=131007, n_bytes=5876940334, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.21,nw_dst=10.0.1.19,tp_src=52320,tp_dst=5001 actions=set_field:00:00:00:00:01:11->eth_dst,output:13
 cookie=0x0, duration=61.141s, table=0, n_packets=85554, n_bytes=5651852, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.19,nw_dst=10.0.0.21,tp_src=5001,tp_dst=52320 actions=set_field:00:00:00:00:00:15->eth_dst,output:2
 cookie=0x0, duration=61.141s, table=0, n_packets=89960, n_bytes=3874649160, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.22,nw_dst=10.0.1.20,tp_src=56306,tp_dst=5001 actions=set_field:00:00:00:00:01:12->eth_dst,output:13
 cookie=0x0, duration=61.141s, table=0, n_packets=49148, n_bytes=3280560, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.20,nw_dst=10.0.0.22,tp_src=5001,tp_dst=56306 actions=set_field:00:00:00:00:00:16->eth_dst,output:2
 cookie=0x0, duration=61.141s, table=0, n_packets=93052, n_bytes=4156746944, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.40,nw_dst=10.0.1.38,tp_src=33426,tp_dst=5001 actions=set_field:00:00:00:00:01:24->eth_dst,output:14
 cookie=0x0, duration=61.141s, table=0, n_packets=52014, n_bytes=3433196, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.38,nw_dst=10.0.0.40,tp_src=5001,tp_dst=33426 actions=set_field:00:00:00:00:00:28->eth_dst,output:3
 cookie=0x0, duration=61.141s, table=0, n_packets=76777, n_bytes=3425117938, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.38,nw_dst=10.0.1.36,tp_src=59708,tp_dst=5001 actions=set_field:00:00:00:00:01:22->eth_dst,output:14
 cookie=0x0, duration=61.141s, table=0, n_packets=35122, n_bytes=2335588, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.36,nw_dst=10.0.0.38,tp_src=5001,tp_dst=59708 actions=set_field:00:00:00:00:00:26->eth_dst,output:3
 cookie=0x0, duration=61.116s, table=0, n_packets=105435, n_bytes=4889112358, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.6,nw_dst=10.0.1.4,tp_src=39338,tp_dst=5001 actions=set_field:00:00:00:00:01:02->eth_dst,output:12
 cookie=0x0, duration=61.096s, table=0, n_packets=54803, n_bytes=3622998, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.4,nw_dst=10.0.0.6,tp_src=5001,tp_dst=39338 actions=set_field:00:00:00:00:00:06->eth_dst,output:2
 cookie=0x0, duration=61.096s, table=0, n_packets=91795, n_bytes=4064486486, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.15,nw_dst=10.0.1.13,tp_src=54724,tp_dst=5001 actions=set_field:00:00:00:00:01:0b->eth_dst,output:13
 cookie=0x0, duration=61.096s, table=0, n_packets=49291, n_bytes=3261494, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.13,nw_dst=10.0.0.15,tp_src=5001,tp_dst=54724 actions=set_field:00:00:00:00:00:0f->eth_dst,output:2
 cookie=0x0, duration=61.096s, table=0, n_packets=88292, n_bytes=3772756016, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.47,nw_dst=10.0.1.45,tp_src=40458,tp_dst=5001 actions=set_field:00:00:00:00:01:2b->eth_dst,output:14
 cookie=0x0, duration=61.096s, table=0, n_packets=47803, n_bytes=3195042, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.45,nw_dst=10.0.0.47,tp_src=5001,tp_dst=40458 actions=set_field:00:00:00:00:00:2f->eth_dst,output:3
 cookie=0x0, duration=61.096s, table=0, n_packets=92739, n_bytes=4039143198, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.16,nw_dst=10.0.1.14,tp_src=38362,tp_dst=5001 actions=set_field:00:00:00:00:01:0c->eth_dst,output:13
 cookie=0x0, duration=61.073s, table=0, n_packets=42842, n_bytes=2846388, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.14,nw_dst=10.0.0.16,tp_src=5001,tp_dst=38362 actions=set_field:00:00:00:00:00:10->eth_dst,output:2
 cookie=0x0, duration=61.072s, table=0, n_packets=100840, n_bytes=4381401760, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.23,nw_dst=10.0.1.21,tp_src=50380,tp_dst=5001 actions=set_field:00:00:00:00:01:13->eth_dst,output:13
 cookie=0x0, duration=61.072s, table=0, n_packets=60161, n_bytes=3976954, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.21,nw_dst=10.0.0.23,tp_src=5001,tp_dst=50380 actions=set_field:00:00:00:00:00:17->eth_dst,output:2
 cookie=0x0, duration=61.033s, table=0, n_packets=95064, n_bytes=4255185776, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.13,nw_dst=10.0.1.11,tp_src=36924,tp_dst=5001 actions=set_field:00:00:00:00:01:09->eth_dst,output:13
 cookie=0x0, duration=61.033s, table=0, n_packets=59911, n_bytes=3955338, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.11,nw_dst=10.0.0.13,tp_src=5001,tp_dst=36924 actions=set_field:00:00:00:00:00:0d->eth_dst,output:2
 cookie=0x0, duration=61.033s, table=0, n_packets=91717, n_bytes=4142903986, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.84,nw_dst=10.0.1.82,tp_src=56492,tp_dst=5001 actions=set_field:00:00:00:00:01:50->eth_dst,output:15
 cookie=0x0, duration=61.034s, table=0, n_packets=57077, n_bytes=3776442, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.82,nw_dst=10.0.0.84,tp_src=5001,tp_dst=56492 actions=set_field:00:00:00:00:00:54->eth_dst,output:5
 cookie=0x0, duration=61.034s, table=0, n_packets=91909, n_bytes=4027264394, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.51,nw_dst=10.0.1.49,tp_src=40964,tp_dst=5001 actions=set_field:00:00:00:00:01:2f->eth_dst,output:14
 cookie=0x0, duration=61.034s, table=0, n_packets=60946, n_bytes=4050676, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.49,nw_dst=10.0.0.51,tp_src=5001,tp_dst=40964 actions=set_field:00:00:00:00:00:33->eth_dst,output:4
 cookie=0x0, duration=61.033s, table=0, n_packets=82500, n_bytes=3498038000, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.37,nw_dst=10.0.1.35,tp_src=50980,tp_dst=5001 actions=set_field:00:00:00:00:01:21->eth_dst,output:14
 cookie=0x0, duration=61.033s, table=0, n_packets=45486, n_bytes=3037460, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.35,nw_dst=10.0.0.37,tp_src=5001,tp_dst=50980 actions=set_field:00:00:00:00:00:25->eth_dst,output:3
 cookie=0x0, duration=61.033s, table=0, n_packets=87865, n_bytes=4188872234, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.5,nw_dst=10.0.1.3,tp_src=50882,tp_dst=5001 actions=set_field:00:00:00:00:01:01->eth_dst,output:12
 cookie=0x0, duration=61.007s, table=0, n_packets=38820, n_bytes=2562668, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.3,nw_dst=10.0.0.5,tp_src=5001,tp_dst=50882 actions=set_field:00:00:00:00:00:05->eth_dst,output:2
 cookie=0x0, duration=60.988s, table=0, n_packets=74545, n_bytes=3605772506, idle_timeout=15, priority=100,tcp,in_port=10,nw_src=10.0.0.194,nw_dst=10.0.1.192,tp_src=54092,tp_dst=5001 actions=set_field:00:00:00:00:01:be->eth_dst,output:20
 cookie=0x0, duration=60.988s, table=0, n_packets=32953, n_bytes=2175782, idle_timeout=15, priority=100,tcp,in_port=20,nw_src=10.0.1.192,nw_dst=10.0.0.194,tp_src=5001,tp_dst=54092 actions=set_field:00:00:00:00:00:c2->eth_dst,output:10
