=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Large (~500+ hosts, 48-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
------------------------------ --------   --------   --------   --------  
h1->h253                        0.014     8.335      1783.639   0%        
h2->h254                        0.013     19.356     7289.366   0%        
h3->h255                        0.013     8.335      1783.647   0%        
h4->h256                        0.015     8.810      1874.146   0%        
h5->h257                        0.016     8.499      1817.465   0%        
h6->h258                        0.014     8.269      1754.442   0%        
h7->h259                        0.014     13.331     2101.908   0%        
h8->h260                        0.014     13.142     2101.937   0%        
h9->h261                        0.013     13.141     2116.426   0%        
h10->h262                       0.014     8.495      1817.466   0%        
h11->h263                       0.014     11.858     2553.239   0%        
h12->h264                       0.013     8.790      1856.185   0%        
h13->h265                       0.014     8.751      1860.593   0%        
h14->h266                       0.013     12.542     2096.295   0%        
h15->h267                       0.013     10.900     2175.081   0%        
h16->h268                       0.014     8.926      1885.067   0%        
h17->h269                       0.013     8.407      1783.561   0%        
h18->h270                       0.013     12.912     2098.986   0%        
h19->h271                       0.017     8.774      1860.622   0%        
h20->h272                       0.015     8.856      1874.185   0%        
h21->h273                       0.015     9.066      1918.404   0%        
h22->h274                       0.012     13.062     2100.178   0%        
h23->h275                       0.013     12.774     2106.848   0%        
h24->h276                       0.012     12.519     2096.345   0%        
h25->h277                       0.012     9.320      2055.046   0%        
h26->h278                       0.014     9.305      2044.135   0%        
h27->h279                       0.014     9.031      1973.509   0%        
h28->h280                       0.013     19.257     7276.450   0%        
h29->h281                       0.012     19.731     7281.366   0%        
h30->h282                       0.013     13.021     2117.034   0%        
h31->h283                       0.015     19.320     7266.740   0%        
h32->h284                       0.014     8.624      1928.310   0%        
h33->h285                       0.014     19.280     7267.095   0%        
h34->h286                       0.013     8.533      1912.755   0%        
h35->h287                       0.014     19.450     7281.785   0%        
h36->h288                       0.009     8.419      1878.909   0%        
h37->h289                       0.014     19.282     7270.531   0%        
h38->h290                       0.013     19.606     7281.761   0%        
h39->h291                       0.013     15.516     2291.196   0%        
h40->h292                       0.013     11.110     2185.767   0%        
h41->h293                       0.012     11.137     2175.765   0%        
h42->h294                       0.013     8.774      1938.939   0%        
h43->h295                       0.012     20.003     7299.417   0%        
h44->h296                       0.014     20.468     7307.039   0%        
h45->h297                       0.012     11.838     2260.088   0%        
h46->h298                       0.013     19.870     7275.429   0%        
h47->h299                       0.013     11.479     2243.702   0%        
h48->h300                       0.013     15.708     2287.366   0%        
h49->h301                       0.014     11.057     2186.667   0%        
h50->h302                       0.012     15.187     2279.269   0%        
h51->h303                       0.014     12.489     2124.939   0%        
h52->h304                       0.013     8.947      1882.190   0%        
h53->h305                       0.014     15.195     2303.598   0%        
h54->h306                       0.013     13.176     2142.104   0%        
h55->h307                       0.013     8.987      1905.716   0%        
h56->h308                       0.014     8.860      1871.627   0%        
h57->h309                       0.014     12.822     2133.923   0%        
h58->h310                       0.013     9.229      1905.665   0%        
h59->h311                       0.014     15.556     2349.438   0%        
h60->h312                       0.014     8.793      1857.812   0%        
h61->h313                       0.015     14.191     2257.170   0%        
h62->h314                       0.014     15.886     2268.967   0%        
h63->h315                       0.013     13.485     2231.042   0%        
h64->h316                       0.014     13.512     2204.125   0%        
h65->h317                       0.013     13.426     2231.068   0%        
h66->h318                       0.013     13.694     2178.334   0%        
h67->h319                       0.015     13.380     2191.405   0%        
h68->h320                       0.013     13.731     2163.086   0%        
h69->h321                       0.014     14.157     2239.497   0%        
h70->h322                       0.012     13.753     2218.331   0%        
h71->h323                       0.012     12.999     2145.920   0%        
h72->h324                       0.013     14.010     2250.711   0%        
h73->h325                       0.012     9.499      2126.213   0%        
h74->h326                       0.015     8.751      1932.440   0%        
h75->h327                       0.015     9.062      2019.181   0%        
h76->h328                       0.013     9.167      2010.121   0%        
h77->h329                       0.014     9.175      2031.190   0%        
h78->h330                       0.014     13.912     2206.874   0%        
h79->h331                       0.013     13.311     2141.891   0%        
h80->h332                       0.013     13.822     2188.185   0%        
h81->h333                       0.014     13.292     2153.934   0%        
h82->h334                       0.014     13.971     2196.562   0%        
h83->h335                       0.014     9.062      2031.197   0%        
h84->h336                       0.012     13.498     2114.412   0%        
h85->h337                       0.014     11.450     2215.068   0%        
h86->h338                       0.013     13.449     2114.525   0%        
h87->h339                       0.011     13.954     2184.325   0%        
h88->h340                       0.013     13.371     2100.553   0%        
h89->h341                       0.014     8.886      1929.493   0%        
h90->h342                       0.013     13.003     2088.135   0%        
h91->h343                       0.013     11.880     2232.361   0%        
h92->h344                       0.014     9.432      2059.331   0%        
h93->h345                       0.014     9.772      2142.132   0%        
h94->h346                       0.013     13.368     2153.899   0%        
h95->h347                       0.015     15.578     2285.915   0%        
h96->h348                       0.014     13.674     2172.157   0%        
h97->h349                       0.013     19.545     7280.322   0%        
h98->h350                       0.013     13.333     2204.452   0%        
h99->h351                       0.013     19.733     7292.280   0%        
h100->h352                      0.015     8.863      1923.186   0%        
h101->h353                      0.013     8.798      1935.164   0%        
h102->h354                      0.012     19.489     7283.144   0%        
h103->h355                      0.012     19.417     7259.050   0%        
h104->h356                      0.013     8.853      1984.582   0%        
h105->h357                      0.012     13.799     2222.421   0%        
h106->h358                      0.012     8.660      1923.393   0%        
h107->h359                      0.013     12.699     2144.822   0%        
h108->h360                      0.013     8.897      1971.684   0%        
h109->h361                      0.014     8.673      1910.313   0%        
h110->h362                      0.014     14.005     2230.634   0%        
h111->h363                      0.012     8.948      1946.262   0%        
h112->h364                      0.015     8.895      1935.045   0%        
h113->h365                      0.012     9.324      2030.370   0%        
h114->h366                      0.014     13.237     2175.275   0%        
h115->h367                      0.012     24.003     7281.009   0%        
h116->h368                      0.013     13.280     2175.230   0%        
h117->h369                      0.013     13.218     2155.780   0%        
h118->h370                      0.013     13.745     2208.966   0%        
h119->h371                      0.013     13.570     2189.032   0%        
h120->h372                      0.012     12.888     2145.925   0%        
h121->h373                      0.014     9.057      1972.256   0%        
h122->h374                      0.014     14.301     2295.205   0%        
h123->h375                      0.013     9.362      2046.868   0%        
h124->h376                      0.014     9.128      1995.236   0%        
h125->h377                      0.014     14.083     2295.232   0%        
h126->h378                      0.013     20.212     7264.660   0%        
h127->h379                      0.015     13.522     2238.867   0%        
h128->h380                      0.013     9.439      2089.634   0%        
h129->h381                      0.014     18.175     2306.692   0%        
h130->h382                      0.013     18.178     2322.963   0%        
h131->h383                      0.012     14.457     2306.705   0%        
h132->h384                      0.015     9.277      2059.992   0%        
h133->h385                      0.014     16.227     2286.477   0%        
h134->h386                      0.009     15.631     2244.019   0%        
h135->h387                      0.014     24.696     7297.062   0%        
h136->h388                      0.012     16.102     2309.811   0%        
h137->h389                      0.013     16.292     2288.409   0%        
h138->h390                      0.015     15.656     2265.637   0%        
h139->h391                      0.014     20.604     2454.746   0%        
h140->h392                      0.014     16.561     2353.520   0%        
h141->h393                      0.013     16.338     2354.128   0%        
h142->h394                      0.013     16.828     2427.785   0%        
h143->h395                      0.013     16.247     2273.057   0%        
h144->h396                      0.013     24.212     7277.201   0%        
h145->h397                      0.015     9.196      2009.516   0%        
h146->h398                      0.013     9.453      2048.370   0%        
h147->h399                      0.013     9.645      2091.978   0%        
h148->h400                      0.014     11.634     2180.262   0%        
h149->h401                      0.014     11.822     2216.441   0%        
h150->h402                      0.015     11.647     2199.543   0%        
h151->h403                      0.014     15.981     2371.073   0%        
h152->h404                      0.016     9.236      2018.291   0%        
h153->h405                      0.013     16.889     2403.082   0%        
h154->h406                      0.013     16.350     2348.556   0%        
h155->h407                      0.014     12.365     2229.388   0%        
h156->h408                      0.013     20.525     2498.590   0%        
h157->h409                      0.013     16.842     2372.378   0%        
h158->h410                      0.015     20.593     2453.981   0%        
h159->h411                      0.013     20.501     2455.922   0%        
h160->h412                      0.015     15.883     2280.068   0%        
h161->h413                      0.012     16.431     2302.580   0%        
h162->h414                      0.014     16.314     2277.732   0%        
h163->h415                      0.012     24.557     7291.559   0%        
h164->h416                      0.014     16.510     2344.984   0%        
h165->h417                      0.014     16.650     2364.776   0%        
h166->h418                      0.014     16.684     2352.405   0%        
h167->h419                      0.015     16.354     2345.186   0%        
h168->h420                      0.014     16.453     2367.749   0%        
h169->h421                      0.014     13.650     2202.943   0%        
h170->h422                      0.013     8.690      1903.455   0%        
h171->h423                      0.013     19.572     7237.058   0%        
h172->h424                      0.014     8.977      1922.089   0%        
h173->h425                      0.013     13.187     2134.223   0%        
h174->h426                      0.015     8.919      1981.745   0%        
h175->h427                      0.014     13.610     2202.966   0%        
h176->h428                      0.015     24.714     7286.977   0%        
h177->h429                      0.013     20.555     7254.964   0%        
h178->h430                      0.013     13.072     2161.531   0%        
h179->h431                      0.014     12.700     2177.125   0%        
h180->h432                      0.012     12.988     2124.139   0%        
h181->h433                      0.013     13.629     2217.895   0%        
h182->h434                      0.013     19.775     7254.326   0%        
h183->h435                      0.012     11.102     2080.248   0%        
h184->h436                      0.013     23.681     7275.104   0%        
h185->h437                      0.013     23.916     7277.602   0%        
h186->h438                      0.013     35.033     7287.348   0%        
h187->h439                      0.014     15.669     2223.477   0%        
h188->h440                      0.013     15.194     2151.835   0%        
h189->h441                      0.013     13.015     2161.552   0%        
h190->h442                      0.008     13.640     2231.159   0%        
h191->h443                      0.014     16.162     2247.144   0%        
h192->h444                      0.012     13.770     2198.082   0%        
h193->h445                      0.013     9.139      1899.739   0%        
h194->h446                      0.012     9.116      1899.673   0%        
