=== OVS Snapshot: post_tcp @ 2026-04-19T21:34:49,587365158-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=528.687s, table=0, n_packets=402, n_bytes=24120, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=133.393s, table=0, n_packets=184270, n_bytes=8369472380, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.4,nw_dst=10.0.1.2,tp_src=56616,tp_dst=5001 actions=set_field:00:00:00:00:01:00->eth_dst,output:12
 cookie=0x0, duration=133.393s, table=0, n_packets=100474, n_bytes=6677116, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.2,nw_dst=10.0.0.4,tp_src=5001,tp_dst=56616 actions=set_field:00:00:00:00:00:04->eth_dst,output:2
 cookie=0x0, duration=133.383s, table=0, n_packets=169031, n_bytes=7807689446, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.0.253,tp_src=57344,tp_dst=5001 actions=set_field:00:00:00:00:00:fd->eth_dst,output:12
 cookie=0x0, duration=133.383s, table=0, n_packets=81421, n_bytes=5383858, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.253,nw_dst=10.0.0.1,tp_src=5001,tp_dst=57344 actions=set_field:00:00:00:00:00:01->eth_dst,output:2
 cookie=0x0, duration=133.358s, table=0, n_packets=161248, n_bytes=6973566424, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.2,nw_dst=10.0.0.254,tp_src=52018,tp_dst=5001 actions=set_field:00:00:00:00:00:fe->eth_dst,output:12
 cookie=0x0, duration=133.358s, table=0, n_packets=77195, n_bytes=5180814, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.254,nw_dst=10.0.0.2,tp_src=5001,tp_dst=52018 actions=set_field:00:00:00:00:00:02->eth_dst,output:2
 cookie=0x0, duration=133.358s, table=0, n_packets=139038, n_bytes=6483905980, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.14,nw_dst=10.0.1.12,tp_src=38294,tp_dst=5001 actions=set_field:00:00:00:00:01:0a->eth_dst,output:13
 cookie=0x0, duration=133.358s, table=0, n_packets=48032, n_bytes=3245092, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.12,nw_dst=10.0.0.14,tp_src=5001,tp_dst=38294 actions=set_field:00:00:00:00:00:0e->eth_dst,output:2
 cookie=0x0, duration=133.346s, table=0, n_packets=148819, n_bytes=7142710318, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.39,nw_dst=10.0.1.37,tp_src=42786,tp_dst=5001 actions=set_field:00:00:00:00:01:23->eth_dst,output:14
 cookie=0x0, duration=133.346s, table=0, n_packets=59501, n_bytes=3938178, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.37,nw_dst=10.0.0.39,tp_src=5001,tp_dst=42786 actions=set_field:00:00:00:00:00:27->eth_dst,output:3
 cookie=0x0, duration=133.334s, table=0, n_packets=174030, n_bytes=7903544692, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.5,nw_dst=10.0.1.3,tp_src=40134,tp_dst=5001 actions=set_field:00:00:00:00:01:01->eth_dst,output:12
 cookie=0x0, duration=133.334s, table=0, n_packets=89196, n_bytes=5905848, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.3,nw_dst=10.0.0.5,tp_src=5001,tp_dst=40134 actions=set_field:00:00:00:00:00:05->eth_dst,output:2
 cookie=0x0, duration=133.334s, table=0, n_packets=185388, n_bytes=8601195360, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.20,nw_dst=10.0.1.18,tp_src=49304,tp_dst=5001 actions=set_field:00:00:00:00:01:10->eth_dst,output:13
 cookie=0x0, duration=133.334s, table=0, n_packets=98450, n_bytes=6506936, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.18,nw_dst=10.0.0.20,tp_src=5001,tp_dst=49304 actions=set_field:00:00:00:00:00:14->eth_dst,output:2
 cookie=0x0, duration=133.334s, table=0, n_packets=179398, n_bytes=7950791372, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.17,nw_dst=10.0.1.15,tp_src=59882,tp_dst=5001 actions=set_field:00:00:00:00:01:0d->eth_dst,output:13
 cookie=0x0, duration=133.334s, table=0, n_packets=91147, n_bytes=6029806, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.15,nw_dst=10.0.0.17,tp_src=5001,tp_dst=59882 actions=set_field:00:00:00:00:00:11->eth_dst,output:2
 cookie=0x0, duration=133.334s, table=0, n_packets=179523, n_bytes=7991509382, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.19,nw_dst=10.0.1.17,tp_src=42140,tp_dst=5001 actions=set_field:00:00:00:00:01:0f->eth_dst,output:13
 cookie=0x0, duration=133.334s, table=0, n_packets=101877, n_bytes=6735646, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.17,nw_dst=10.0.0.19,tp_src=5001,tp_dst=42140 actions=set_field:00:00:00:00:00:13->eth_dst,output:2
