=== OVS Snapshot: post_tcp @ 2026-04-19T21:54:39,527606604-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=1718.625s, table=0, n_packets=1273, n_bytes=76380, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=132.299s, table=0, n_packets=176519, n_bytes=8031104022, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.0.253,tp_src=49496,tp_dst=5001 actions=set_field:00:00:00:00:00:fd->eth_dst,output:12
 cookie=0x0, duration=132.299s, table=0, n_packets=83908, n_bytes=5542208, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.253,nw_dst=10.0.0.1,tp_src=5001,tp_dst=49496 actions=set_field:00:00:00:00:00:01->eth_dst,output:2
 cookie=0x0, duration=132.291s, table=0, n_packets=190679, n_bytes=8628158358, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.2,nw_dst=10.0.0.254,tp_src=44702,tp_dst=5001 actions=set_field:00:00:00:00:00:fe->eth_dst,output:12
 cookie=0x0, duration=132.291s, table=0, n_packets=109172, n_bytes=7231320, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.254,nw_dst=10.0.0.2,tp_src=5001,tp_dst=44702 actions=set_field:00:00:00:00:00:02->eth_dst,output:2
 cookie=0x0, duration=132.282s, table=0, n_packets=199070, n_bytes=8871642324, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.6,nw_dst=10.0.1.4,tp_src=32916,tp_dst=5001 actions=set_field:00:00:00:00:01:02->eth_dst,output:12
 cookie=0x0, duration=132.282s, table=0, n_packets=124534, n_bytes=8231444, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.4,nw_dst=10.0.0.6,tp_src=5001,tp_dst=32916 actions=set_field:00:00:00:00:00:06->eth_dst,output:2
 cookie=0x0, duration=132.242s, table=0, n_packets=187032, n_bytes=8496145304, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.4,nw_dst=10.0.1.2,tp_src=34686,tp_dst=5001 actions=set_field:00:00:00:00:01:00->eth_dst,output:12
 cookie=0x0, duration=132.242s, table=0, n_packets=95456, n_bytes=6309728, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.2,nw_dst=10.0.0.4,tp_src=5001,tp_dst=34686 actions=set_field:00:00:00:00:00:04->eth_dst,output:2
 cookie=0x0, duration=132.222s, table=0, n_packets=176194, n_bytes=8110194228, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.3,nw_dst=10.0.1.1,tp_src=36344,tp_dst=5001 actions=set_field:00:00:00:00:00:ff->eth_dst,output:12
 cookie=0x0, duration=132.222s, table=0, n_packets=90399, n_bytes=5967098, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.1,nw_dst=10.0.0.3,tp_src=5001,tp_dst=36344 actions=set_field:00:00:00:00:00:03->eth_dst,output:2
 cookie=0x0, duration=132.222s, table=0, n_packets=205508, n_bytes=8961962568, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.21,nw_dst=10.0.1.19,tp_src=47830,tp_dst=5001 actions=set_field:00:00:00:00:01:11->eth_dst,output:13
 cookie=0x0, duration=132.222s, table=0, n_packets=136702, n_bytes=9060756, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.19,nw_dst=10.0.0.21,tp_src=5001,tp_dst=47830 actions=set_field:00:00:00:00:00:15->eth_dst,output:2
 cookie=0x0, duration=132.222s, table=0, n_packets=195460, n_bytes=8736457568, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.17,nw_dst=10.0.1.15,tp_src=43716,tp_dst=5001 actions=set_field:00:00:00:00:01:0d->eth_dst,output:13
 cookie=0x0, duration=132.222s, table=0, n_packets=114654, n_bytes=7579576, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.15,nw_dst=10.0.0.17,tp_src=5001,tp_dst=43716 actions=set_field:00:00:00:00:00:11->eth_dst,output:2
 cookie=0x0, duration=132.222s, table=0, n_packets=198665, n_bytes=8530966874, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.15,nw_dst=10.0.1.13,tp_src=49406,tp_dst=5001 actions=set_field:00:00:00:00:01:0b->eth_dst,output:13
 cookie=0x0, duration=132.222s, table=0, n_packets=114180, n_bytes=7618504, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.13,nw_dst=10.0.0.15,tp_src=5001,tp_dst=49406 actions=set_field:00:00:00:00:00:0f->eth_dst,output:2
 cookie=0x0, duration=132.222s, table=0, n_packets=164954, n_bytes=7812608212, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.22,nw_dst=10.0.1.20,tp_src=40242,tp_dst=5001 actions=set_field:00:00:00:00:01:12->eth_dst,output:13
 cookie=0x0, duration=132.222s, table=0, n_packets=69164, n_bytes=4595356, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.20,nw_dst=10.0.0.22,tp_src=5001,tp_dst=40242 actions=set_field:00:00:00:00:00:16->eth_dst,output:2
 cookie=0x0, duration=132.178s, table=0, n_packets=179718, n_bytes=8317482892, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.52,nw_dst=10.0.1.50,tp_src=60186,tp_dst=5001 actions=set_field:00:00:00:00:01:30->eth_dst,output:14
 cookie=0x0, duration=132.178s, table=0, n_packets=95508, n_bytes=6321500, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.50,nw_dst=10.0.0.52,tp_src=5001,tp_dst=60186 actions=set_field:00:00:00:00:00:34->eth_dst,output:4
 cookie=0x0, duration=132.178s, table=0, n_packets=191267, n_bytes=8441537174, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.63,nw_dst=10.0.1.61,tp_src=50884,tp_dst=5001 actions=set_field:00:00:00:00:01:3b->eth_dst,output:15
 cookie=0x0, duration=132.178s, table=0, n_packets=109382, n_bytes=7236776, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.61,nw_dst=10.0.0.63,tp_src=5001,tp_dst=50884 actions=set_field:00:00:00:00:00:3f->eth_dst,output:4
 cookie=0x0, duration=132.165s, table=0, n_packets=197530, n_bytes=8799694492, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.97,nw_dst=10.0.1.95,tp_src=53748,tp_dst=5001 actions=set_field:00:00:00:00:01:5d->eth_dst,output:16
 cookie=0x0, duration=132.165s, table=0, n_packets=121113, n_bytes=8051334, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.95,nw_dst=10.0.0.97,tp_src=5001,tp_dst=53748 actions=set_field:00:00:00:00:00:61->eth_dst,output:6
 cookie=0x0, duration=132.139s, table=0, n_packets=168459, n_bytes=7599078846, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.13,nw_dst=10.0.1.11,tp_src=52246,tp_dst=5001 actions=set_field:00:00:00:00:01:09->eth_dst,output:13
 cookie=0x0, duration=132.139s, table=0, n_packets=79995, n_bytes=5294458, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.11,nw_dst=10.0.0.13,tp_src=5001,tp_dst=52246 actions=set_field:00:00:00:00:00:0d->eth_dst,output:2
 cookie=0x0, duration=132.139s, table=0, n_packets=178787, n_bytes=8137721854, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.59,nw_dst=10.0.1.57,tp_src=54644,tp_dst=5001 actions=set_field:00:00:00:00:01:37->eth_dst,output:14
 cookie=0x0, duration=132.139s, table=0, n_packets=94578, n_bytes=6320992, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.57,nw_dst=10.0.0.59,tp_src=5001,tp_dst=54644 actions=set_field:00:00:00:00:00:3b->eth_dst,output:4
 cookie=0x0, duration=132.139s, table=0, n_packets=182105, n_bytes=8036224738, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.58,nw_dst=10.0.1.56,tp_src=57828,tp_dst=5001 actions=set_field:00:00:00:00:01:36->eth_dst,output:14
 cookie=0x0, duration=132.139s, table=0, n_packets=96433, n_bytes=6396706, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.56,nw_dst=10.0.0.58,tp_src=5001,tp_dst=57828 actions=set_field:00:00:00:00:00:3a->eth_dst,output:4
 cookie=0x0, duration=132.119s, table=0, n_packets=169550, n_bytes=7665548076, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.66,nw_dst=10.0.1.64,tp_src=46674,tp_dst=5001 actions=set_field:00:00:00:00:01:3e->eth_dst,output:15
 cookie=0x0, duration=132.119s, table=0, n_packets=73528, n_bytes=4953088, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.64,nw_dst=10.0.0.66,tp_src=5001,tp_dst=46674 actions=set_field:00:00:00:00:00:42->eth_dst,output:4
 cookie=0x0, duration=132.113s, table=0, n_packets=203384, n_bytes=9134539288, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.55,nw_dst=10.0.1.53,tp_src=57852,tp_dst=5001 actions=set_field:00:00:00:00:01:33->eth_dst,output:14
 cookie=0x0, duration=132.112s, table=0, n_packets=136047, n_bytes=8979654, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.53,nw_dst=10.0.0.55,tp_src=5001,tp_dst=57852 actions=set_field:00:00:00:00:00:37->eth_dst,output:4
 cookie=0x0, duration=132.085s, table=0, n_packets=189112, n_bytes=8432082992, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.47,nw_dst=10.0.1.45,tp_src=59540,tp_dst=5001 actions=set_field:00:00:00:00:01:2b->eth_dst,output:14
 cookie=0x0, duration=132.085s, table=0, n_packets=107681, n_bytes=7119854, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.45,nw_dst=10.0.0.47,tp_src=5001,tp_dst=59540 actions=set_field:00:00:00:00:00:2f->eth_dst,output:3
 cookie=0x0, duration=132.063s, table=0, n_packets=209286, n_bytes=9215780500, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.79,nw_dst=10.0.1.77,tp_src=33194,tp_dst=5001 actions=set_field:00:00:00:00:01:4b->eth_dst,output:15
 cookie=0x0, duration=132.063s, table=0, n_packets=126942, n_bytes=8399828, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.77,nw_dst=10.0.0.79,tp_src=5001,tp_dst=33194 actions=set_field:00:00:00:00:00:4f->eth_dst,output:5
 cookie=0x0, duration=132.028s, table=0, n_packets=190920, n_bytes=8391547400, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.61,nw_dst=10.0.1.59,tp_src=52140,tp_dst=5001 actions=set_field:00:00:00:00:01:39->eth_dst,output:15
 cookie=0x0, duration=132.028s, table=0, n_packets=100281, n_bytes=6632566, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.59,nw_dst=10.0.0.61,tp_src=5001,tp_dst=52140 actions=set_field:00:00:00:00:00:3d->eth_dst,output:4
 cookie=0x0, duration=132.002s, table=0, n_packets=188198, n_bytes=8303596772, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.5,nw_dst=10.0.1.3,tp_src=38936,tp_dst=5001 actions=set_field:00:00:00:00:01:01->eth_dst,output:12
 cookie=0x0, duration=132.002s, table=0, n_packets=109527, n_bytes=7285794, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.3,nw_dst=10.0.0.5,tp_src=5001,tp_dst=38936 actions=set_field:00:00:00:00:00:05->eth_dst,output:2
 cookie=0x0, duration=132.002s, table=0, n_packets=169827, n_bytes=7706761750, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.90,nw_dst=10.0.1.88,tp_src=38728,tp_dst=5001 actions=set_field:00:00:00:00:01:56->eth_dst,output:16
 cookie=0x0, duration=131.993s, table=0, n_packets=76777, n_bytes=5082754, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.88,nw_dst=10.0.0.90,tp_src=5001,tp_dst=38728 actions=set_field:00:00:00:00:00:5a->eth_dst,output:5
 cookie=0x0, duration=131.993s, table=0, n_packets=160094, n_bytes=7607393116, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.16,nw_dst=10.0.1.14,tp_src=34264,tp_dst=5001 actions=set_field:00:00:00:00:01:0c->eth_dst,output:13
 cookie=0x0, duration=131.993s, table=0, n_packets=67521, n_bytes=4461350, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.14,nw_dst=10.0.0.16,tp_src=5001,tp_dst=34264 actions=set_field:00:00:00:00:00:10->eth_dst,output:2
 cookie=0x0, duration=131.977s, table=0, n_packets=195579, n_bytes=8641969374, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.11,nw_dst=10.0.1.9,tp_src=34694,tp_dst=5001 actions=set_field:00:00:00:00:01:07->eth_dst,output:12
 cookie=0x0, duration=131.977s, table=0, n_packets=129045, n_bytes=8544878, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.9,nw_dst=10.0.0.11,tp_src=5001,tp_dst=34694 actions=set_field:00:00:00:00:00:0b->eth_dst,output:2
 cookie=0x0, duration=131.976s, table=0, n_packets=187828, n_bytes=8475374000, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.23,nw_dst=10.0.1.21,tp_src=52504,tp_dst=5001 actions=set_field:00:00:00:00:01:13->eth_dst,output:13
 cookie=0x0, duration=131.976s, table=0, n_packets=102736, n_bytes=6797664, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.21,nw_dst=10.0.0.23,tp_src=5001,tp_dst=52504 actions=set_field:00:00:00:00:00:17->eth_dst,output:2
 cookie=0x0, duration=131.965s, table=0, n_packets=188365, n_bytes=8360625306, idle_timeout=15, priority=100,tcp,in_port=10,nw_src=10.0.0.210,nw_dst=10.0.1.208,tp_src=54904,tp_dst=5001 actions=set_field:00:00:00:00:01:ce->eth_dst,output:21
 cookie=0x0, duration=131.965s, table=0, n_packets=92226, n_bytes=6093752, idle_timeout=15, priority=100,tcp,in_port=21,nw_src=10.0.1.208,nw_dst=10.0.0.210,tp_src=5001,tp_dst=54904 actions=set_field:00:00:00:00:00:d2->eth_dst,output:10
 cookie=0x0, duration=131.965s, table=0, n_packets=157606, n_bytes=7315155612, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.12,nw_dst=10.0.1.10,tp_src=51550,tp_dst=5001 actions=set_field:00:00:00:00:01:08->eth_dst,output:12
 cookie=0x0, duration=131.965s, table=0, n_packets=63408, n_bytes=4210984, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.10,nw_dst=10.0.0.12,tp_src=5001,tp_dst=51550 actions=set_field:00:00:00:00:00:0c->eth_dst,output:2
 cookie=0x0, duration=131.941s, table=0, n_packets=156654, n_bytes=7308718484, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.57,nw_dst=10.0.1.55,tp_src=39334,tp_dst=5001 actions=set_field:00:00:00:00:01:35->eth_dst,output:14
 cookie=0x0, duration=131.941s, table=0, n_packets=64175, n_bytes=4274650, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.55,nw_dst=10.0.0.57,tp_src=5001,tp_dst=39334 actions=set_field:00:00:00:00:00:39->eth_dst,output:4
 cookie=0x0, duration=131.928s, table=0, n_packets=185735, n_bytes=8448348558, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.20,nw_dst=10.0.1.18,tp_src=56102,tp_dst=5001 actions=set_field:00:00:00:00:01:10->eth_dst,output:13
 cookie=0x0, duration=131.928s, table=0, n_packets=106158, n_bytes=7007408, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.18,nw_dst=10.0.0.20,tp_src=5001,tp_dst=56102 actions=set_field:00:00:00:00:00:14->eth_dst,output:2
 cookie=0x0, duration=131.909s, table=0, n_packets=160454, n_bytes=7504869732, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.18,nw_dst=10.0.1.16,tp_src=50480,tp_dst=5001 actions=set_field:00:00:00:00:01:0e->eth_dst,output:13
 cookie=0x0, duration=131.909s, table=0, n_packets=70215, n_bytes=4658474, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.16,nw_dst=10.0.0.18,tp_src=5001,tp_dst=50480 actions=set_field:00:00:00:00:00:12->eth_dst,output:2
 cookie=0x0, duration=131.894s, table=0, n_packets=190886, n_bytes=8497183564, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.81,nw_dst=10.0.1.79,tp_src=50674,tp_dst=5001 actions=set_field:00:00:00:00:01:4d->eth_dst,output:15
 cookie=0x0, duration=131.894s, table=0, n_packets=107098, n_bytes=7074144, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.79,nw_dst=10.0.0.81,tp_src=5001,tp_dst=50674 actions=set_field:00:00:00:00:00:51->eth_dst,output:5
 cookie=0x0, duration=131.886s, table=0, n_packets=181389, n_bytes=8001713490, idle_timeout=15, priority=100,tcp,in_port=7,nw_src=10.0.0.137,nw_dst=10.0.1.135,tp_src=36112,tp_dst=5001 actions=set_field:00:00:00:00:01:85->eth_dst,output:18
 cookie=0x0, duration=131.886s, table=0, n_packets=95634, n_bytes=6342920, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.135,nw_dst=10.0.0.137,tp_src=5001,tp_dst=36112 actions=set_field:00:00:00:00:00:89->eth_dst,output:7
 cookie=0x0, duration=131.886s, table=0, n_packets=192695, n_bytes=8734004590, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.157,nw_dst=10.0.1.155,tp_src=37404,tp_dst=5001 actions=set_field:00:00:00:00:01:99->eth_dst,output:19
 cookie=0x0, duration=131.873s, table=0, n_packets=111464, n_bytes=7397564, idle_timeout=15, priority=100,tcp,in_port=19,nw_src=10.0.1.155,nw_dst=10.0.0.157,tp_src=5001,tp_dst=37404 actions=set_field:00:00:00:00:00:9d->eth_dst,output:8
 cookie=0x0, duration=131.873s, table=0, n_packets=181465, n_bytes=8065409330, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.40,nw_dst=10.0.1.38,tp_src=49658,tp_dst=5001 actions=set_field:00:00:00:00:01:24->eth_dst,output:14
