=== OVS Snapshot: pre_tcp @ 2026-04-19T21:52:24,876893178-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=1583.975s, table=0, n_packets=1180, n_bytes=70800, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=130.203s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.50,nw_dst=10.0.1.48,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:2e->eth_dst,output:14
 cookie=0x0, duration=130.203s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.48,nw_dst=10.0.0.50,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:32->eth_dst,output:4
 cookie=0x0, duration=130.173s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=12,nw_src=10.0.0.247,nw_dst=10.0.1.245,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:f3->eth_dst,output:22
 cookie=0x0, duration=130.173s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=22,nw_src=10.0.1.245,nw_dst=10.0.0.247,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:f7->eth_dst,output:12
 cookie=0x0, duration=130.173s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.62,nw_dst=10.0.1.60,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:3a->eth_dst,output:15
 cookie=0x0, duration=130.173s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.60,nw_dst=10.0.0.62,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:3e->eth_dst,output:4
 cookie=0x0, duration=130.173s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=12,nw_src=10.0.0.244,nw_dst=10.0.1.242,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:f0->eth_dst,output:22
 cookie=0x0, duration=130.173s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=22,nw_src=10.0.1.242,nw_dst=10.0.0.244,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:f4->eth_dst,output:12
 cookie=0x0, duration=130.173s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=12,nw_src=10.0.0.242,nw_dst=10.0.1.240,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:ee->eth_dst,output:22
 cookie=0x0, duration=130.173s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=22,nw_src=10.0.1.240,nw_dst=10.0.0.242,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:f2->eth_dst,output:12
 cookie=0x0, duration=130.156s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=12,nw_src=10.0.0.243,nw_dst=10.0.1.241,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:ef->eth_dst,output:22
