=== OVS Snapshot: during_ping @ 2026-04-19T22:10:04,255289597-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=2643.363s, table=0, n_packets=1951, n_bytes=117060, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=14.864s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.29,nw_dst=10.0.0.31,tp_src=5001,tp_dst=37950 actions=set_field:00:00:00:00:00:1f->eth_dst,output:3
 cookie=0x0, duration=14.750s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=14,nw_src=10.0.1.35,nw_dst=10.0.0.37,tp_src=5001,tp_dst=59367 actions=set_field:00:00:00:00:00:25->eth_dst,output:3
 cookie=0x0, duration=14.728s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=14,nw_src=10.0.1.36,nw_dst=10.0.0.38,tp_src=5001,tp_dst=39661 actions=set_field:00:00:00:00:00:26->eth_dst,output:3
 cookie=0x0, duration=14.634s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=14,nw_src=10.0.1.44,nw_dst=10.0.0.46,tp_src=5001,tp_dst=42926 actions=set_field:00:00:00:00:00:2e->eth_dst,output:3
 cookie=0x0, duration=14.634s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=14,nw_src=10.0.1.45,nw_dst=10.0.0.47,tp_src=5001,tp_dst=59643 actions=set_field:00:00:00:00:00:2f->eth_dst,output:3
 cookie=0x0, duration=14.591s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=14,nw_src=10.0.1.46,nw_dst=10.0.0.48,tp_src=5001,tp_dst=39365 actions=set_field:00:00:00:00:00:30->eth_dst,output:3
 cookie=0x0, duration=14.441s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=14,nw_src=10.0.1.52,nw_dst=10.0.0.54,tp_src=5001,tp_dst=34093 actions=set_field:00:00:00:00:00:36->eth_dst,output:4
 cookie=0x0, duration=14.426s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=14,nw_src=10.0.1.53,nw_dst=10.0.0.55,tp_src=5001,tp_dst=40687 actions=set_field:00:00:00:00:00:37->eth_dst,output:4
 cookie=0x0, duration=14.426s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.59,nw_dst=10.0.0.61,tp_src=5001,tp_dst=41975 actions=set_field:00:00:00:00:00:3d->eth_dst,output:4
 cookie=0x0, duration=14.426s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=14,nw_src=10.0.1.54,nw_dst=10.0.0.56,tp_src=5001,tp_dst=54564 actions=set_field:00:00:00:00:00:38->eth_dst,output:4
 cookie=0x0, duration=14.410s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.60,nw_dst=10.0.0.62,tp_src=5001,tp_dst=40320 actions=set_field:00:00:00:00:00:3e->eth_dst,output:4
 cookie=0x0, duration=14.410s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.61,nw_dst=10.0.0.63,tp_src=5001,tp_dst=57638 actions=set_field:00:00:00:00:00:3f->eth_dst,output:4
