=== OVS Snapshot: mid_churn @ 2026-04-19T22:19:14,339888000-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=3193.491s, table=0, n_packets=2351, n_bytes=141060, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=11.875s, table=0, n_packets=7618, n_bytes=337114516, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.2,nw_dst=10.0.0.254,tp_src=55050,tp_dst=5001 actions=set_field:00:00:00:00:00:fe->eth_dst,output:12
 cookie=0x0, duration=11.875s, table=0, n_packets=3504, n_bytes=231500, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.254,nw_dst=10.0.0.2,tp_src=5001,tp_dst=55050 actions=set_field:00:00:00:00:00:02->eth_dst,output:2
 cookie=0x0, duration=11.857s, table=0, n_packets=2186, n_bytes=71843804, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.15,nw_dst=10.0.1.13,tp_src=54180,tp_dst=5001 actions=set_field:00:00:00:00:01:0b->eth_dst,output:13
 cookie=0x0, duration=11.857s, table=0, n_packets=1021, n_bytes=67454, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.13,nw_dst=10.0.0.15,tp_src=5001,tp_dst=54180 actions=set_field:00:00:00:00:00:0f->eth_dst,output:2
 cookie=0x0, duration=11.857s, table=0, n_packets=2178, n_bytes=111823764, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.16,nw_dst=10.0.1.14,tp_src=60126,tp_dst=5001 actions=set_field:00:00:00:00:01:0c->eth_dst,output:13
 cookie=0x0, duration=11.857s, table=0, n_packets=615, n_bytes=40670, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.14,nw_dst=10.0.0.16,tp_src=5001,tp_dst=60126 actions=set_field:00:00:00:00:00:10->eth_dst,output:2
 cookie=0x0, duration=11.857s, table=0, n_packets=2497, n_bytes=108171810, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.14,nw_dst=10.0.1.12,tp_src=36882,tp_dst=5001 actions=set_field:00:00:00:00:01:0a->eth_dst,output:13
 cookie=0x0, duration=11.857s, table=0, n_packets=874, n_bytes=57764, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.12,nw_dst=10.0.0.14,tp_src=5001,tp_dst=36882 actions=set_field:00:00:00:00:00:0e->eth_dst,output:2
 cookie=0x0, duration=11.857s, table=0, n_packets=2043, n_bytes=102777350, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.42,nw_dst=10.0.1.40,tp_src=54728,tp_dst=5001 actions=set_field:00:00:00:00:01:26->eth_dst,output:14
 cookie=0x0, duration=11.857s, table=0, n_packets=618, n_bytes=40940, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.40,nw_dst=10.0.0.42,tp_src=5001,tp_dst=54728 actions=set_field:00:00:00:00:00:2a->eth_dst,output:3
 cookie=0x0, duration=11.850s, table=0, n_packets=3247, n_bytes=152792694, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.21,nw_dst=10.0.1.19,tp_src=39014,tp_dst=5001 actions=set_field:00:00:00:00:01:11->eth_dst,output:13
 cookie=0x0, duration=11.850s, table=0, n_packets=1095, n_bytes=72386, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.19,nw_dst=10.0.0.21,tp_src=5001,tp_dst=39014 actions=set_field:00:00:00:00:00:15->eth_dst,output:2
 cookie=0x0, duration=11.850s, table=0, n_packets=3677, n_bytes=158712290, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.23,nw_dst=10.0.1.21,tp_src=54244,tp_dst=5001 actions=set_field:00:00:00:00:01:13->eth_dst,output:13
 cookie=0x0, duration=11.850s, table=0, n_packets=1436, n_bytes=94844, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.21,nw_dst=10.0.0.23,tp_src=5001,tp_dst=54244 actions=set_field:00:00:00:00:00:17->eth_dst,output:2
 cookie=0x0, duration=11.826s, table=0, n_packets=2816, n_bytes=146332552, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.3,nw_dst=10.0.1.1,tp_src=36306,tp_dst=5001 actions=set_field:00:00:00:00:00:ff->eth_dst,output:12
 cookie=0x0, duration=11.826s, table=0, n_packets=689, n_bytes=45494, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.1,nw_dst=10.0.0.3,tp_src=5001,tp_dst=36306 actions=set_field:00:00:00:00:00:03->eth_dst,output:2
 cookie=0x0, duration=11.826s, table=0, n_packets=5174, n_bytes=268387700, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.0.253,tp_src=39976,tp_dst=5001 actions=set_field:00:00:00:00:00:fd->eth_dst,output:12
 cookie=0x0, duration=11.826s, table=0, n_packets=1438, n_bytes=95024, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.253,nw_dst=10.0.0.1,tp_src=5001,tp_dst=39976 actions=set_field:00:00:00:00:00:01->eth_dst,output:2
