=== OVS Snapshot: during_ping @ 2026-04-19T22:29:58,628528706-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=3837.731s, table=0, n_packets=2828, n_bytes=169680, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=14.851s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.0.253,nw_dst=10.0.0.1,tp_src=5001,tp_dst=34290 actions=set_field:00:00:00:00:00:01->eth_dst,output:2
 cookie=0x0, duration=14.851s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.0.253,tp_src=34290,tp_dst=5001 actions=set_field:00:00:00:00:00:fd->eth_dst,output:12
 cookie=0x0, duration=14.830s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.0.254,nw_dst=10.0.0.2,tp_src=5001,tp_dst=46654 actions=set_field:00:00:00:00:00:02->eth_dst,output:2
 cookie=0x0, duration=14.830s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.2,nw_dst=10.0.0.254,tp_src=46654,tp_dst=5001 actions=set_field:00:00:00:00:00:fe->eth_dst,output:12
 cookie=0x0, duration=14.817s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.2,nw_dst=10.0.0.4,tp_src=5001,tp_dst=47927 actions=set_field:00:00:00:00:00:04->eth_dst,output:2
 cookie=0x0, duration=14.817s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.4,nw_dst=10.0.1.2,tp_src=47927,tp_dst=5001 actions=set_field:00:00:00:00:01:00->eth_dst,output:12
 cookie=0x0, duration=14.814s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.1,nw_dst=10.0.0.3,tp_src=5001,tp_dst=38414 actions=set_field:00:00:00:00:00:03->eth_dst,output:2
 cookie=0x0, duration=14.814s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.3,nw_dst=10.0.1.1,tp_src=38414,tp_dst=5001 actions=set_field:00:00:00:00:00:ff->eth_dst,output:12
 cookie=0x0, duration=14.808s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.3,nw_dst=10.0.0.5,tp_src=5001,tp_dst=46313 actions=set_field:00:00:00:00:00:05->eth_dst,output:2
 cookie=0x0, duration=14.808s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.5,nw_dst=10.0.1.3,tp_src=46313,tp_dst=5001 actions=set_field:00:00:00:00:01:01->eth_dst,output:12
 cookie=0x0, duration=14.783s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.4,nw_dst=10.0.0.6,tp_src=5001,tp_dst=49315 actions=set_field:00:00:00:00:00:06->eth_dst,output:2
 cookie=0x0, duration=14.783s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.6,nw_dst=10.0.1.4,tp_src=49315,tp_dst=5001 actions=set_field:00:00:00:00:01:02->eth_dst,output:12
 cookie=0x0, duration=14.774s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.5,nw_dst=10.0.0.7,tp_src=5001,tp_dst=39001 actions=set_field:00:00:00:00:00:07->eth_dst,output:2
 cookie=0x0, duration=14.774s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.7,nw_dst=10.0.1.5,tp_src=39001,tp_dst=5001 actions=set_field:00:00:00:00:01:03->eth_dst,output:12
 cookie=0x0, duration=14.772s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.6,nw_dst=10.0.0.8,tp_src=5001,tp_dst=37996 actions=set_field:00:00:00:00:00:08->eth_dst,output:2
 cookie=0x0, duration=14.772s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.8,nw_dst=10.0.1.6,tp_src=37996,tp_dst=5001 actions=set_field:00:00:00:00:01:04->eth_dst,output:12
 cookie=0x0, duration=14.745s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.7,nw_dst=10.0.0.9,tp_src=5001,tp_dst=38713 actions=set_field:00:00:00:00:00:09->eth_dst,output:2
 cookie=0x0, duration=14.745s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.9,nw_dst=10.0.1.7,tp_src=38713,tp_dst=5001 actions=set_field:00:00:00:00:01:05->eth_dst,output:12
 cookie=0x0, duration=14.736s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.8,nw_dst=10.0.0.10,tp_src=5001,tp_dst=51550 actions=set_field:00:00:00:00:00:0a->eth_dst,output:2
 cookie=0x0, duration=14.736s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.10,nw_dst=10.0.1.8,tp_src=51550,tp_dst=5001 actions=set_field:00:00:00:00:01:06->eth_dst,output:12
 cookie=0x0, duration=14.736s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.9,nw_dst=10.0.0.11,tp_src=5001,tp_dst=51146 actions=set_field:00:00:00:00:00:0b->eth_dst,output:2
 cookie=0x0, duration=14.736s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.11,nw_dst=10.0.1.9,tp_src=51146,tp_dst=5001 actions=set_field:00:00:00:00:01:07->eth_dst,output:12
 cookie=0x0, duration=14.717s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.10,nw_dst=10.0.0.12,tp_src=5001,tp_dst=50449 actions=set_field:00:00:00:00:00:0c->eth_dst,output:2
 cookie=0x0, duration=14.717s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.12,nw_dst=10.0.1.10,tp_src=50449,tp_dst=5001 actions=set_field:00:00:00:00:01:08->eth_dst,output:12
 cookie=0x0, duration=14.711s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.11,nw_dst=10.0.0.13,tp_src=5001,tp_dst=35514 actions=set_field:00:00:00:00:00:0d->eth_dst,output:2
 cookie=0x0, duration=14.711s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.13,nw_dst=10.0.1.11,tp_src=35514,tp_dst=5001 actions=set_field:00:00:00:00:01:09->eth_dst,output:13
 cookie=0x0, duration=14.694s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.12,nw_dst=10.0.0.14,tp_src=5001,tp_dst=55150 actions=set_field:00:00:00:00:00:0e->eth_dst,output:2
 cookie=0x0, duration=14.694s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.14,nw_dst=10.0.1.12,tp_src=55150,tp_dst=5001 actions=set_field:00:00:00:00:01:0a->eth_dst,output:13
 cookie=0x0, duration=14.681s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.13,nw_dst=10.0.0.15,tp_src=5001,tp_dst=34073 actions=set_field:00:00:00:00:00:0f->eth_dst,output:2
 cookie=0x0, duration=14.681s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.15,nw_dst=10.0.1.13,tp_src=34073,tp_dst=5001 actions=set_field:00:00:00:00:01:0b->eth_dst,output:13
 cookie=0x0, duration=14.664s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.14,nw_dst=10.0.0.16,tp_src=5001,tp_dst=35212 actions=set_field:00:00:00:00:00:10->eth_dst,output:2
 cookie=0x0, duration=14.664s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.16,nw_dst=10.0.1.14,tp_src=35212,tp_dst=5001 actions=set_field:00:00:00:00:01:0c->eth_dst,output:13
 cookie=0x0, duration=14.663s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.15,nw_dst=10.0.0.17,tp_src=5001,tp_dst=51215 actions=set_field:00:00:00:00:00:11->eth_dst,output:2
 cookie=0x0, duration=14.663s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.17,nw_dst=10.0.1.15,tp_src=51215,tp_dst=5001 actions=set_field:00:00:00:00:01:0d->eth_dst,output:13
 cookie=0x0, duration=14.656s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.16,nw_dst=10.0.0.18,tp_src=5001,tp_dst=35892 actions=set_field:00:00:00:00:00:12->eth_dst,output:2
 cookie=0x0, duration=14.656s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.18,nw_dst=10.0.1.16,tp_src=35892,tp_dst=5001 actions=set_field:00:00:00:00:01:0e->eth_dst,output:13
 cookie=0x0, duration=14.642s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.17,nw_dst=10.0.0.19,tp_src=5001,tp_dst=42905 actions=set_field:00:00:00:00:00:13->eth_dst,output:2
 cookie=0x0, duration=14.642s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.19,nw_dst=10.0.1.17,tp_src=42905,tp_dst=5001 actions=set_field:00:00:00:00:01:0f->eth_dst,output:13
 cookie=0x0, duration=14.618s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.18,nw_dst=10.0.0.20,tp_src=5001,tp_dst=45062 actions=set_field:00:00:00:00:00:14->eth_dst,output:2
 cookie=0x0, duration=14.618s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.20,nw_dst=10.0.1.18,tp_src=45062,tp_dst=5001 actions=set_field:00:00:00:00:01:10->eth_dst,output:13
 cookie=0x0, duration=14.612s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.19,nw_dst=10.0.0.21,tp_src=5001,tp_dst=40861 actions=set_field:00:00:00:00:00:15->eth_dst,output:2
 cookie=0x0, duration=14.612s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.21,nw_dst=10.0.1.19,tp_src=40861,tp_dst=5001 actions=set_field:00:00:00:00:01:11->eth_dst,output:13
 cookie=0x0, duration=14.597s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.20,nw_dst=10.0.0.22,tp_src=5001,tp_dst=36155 actions=set_field:00:00:00:00:00:16->eth_dst,output:2
 cookie=0x0, duration=14.597s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.22,nw_dst=10.0.1.20,tp_src=36155,tp_dst=5001 actions=set_field:00:00:00:00:01:12->eth_dst,output:13
 cookie=0x0, duration=14.597s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.21,nw_dst=10.0.0.23,tp_src=5001,tp_dst=60938 actions=set_field:00:00:00:00:00:17->eth_dst,output:2
 cookie=0x0, duration=14.597s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.23,nw_dst=10.0.1.21,tp_src=60938,tp_dst=5001 actions=set_field:00:00:00:00:01:13->eth_dst,output:13
 cookie=0x0, duration=14.579s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.22,nw_dst=10.0.0.24,tp_src=5001,tp_dst=33222 actions=set_field:00:00:00:00:00:18->eth_dst,output:2
 cookie=0x0, duration=14.579s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.24,nw_dst=10.0.1.22,tp_src=33222,tp_dst=5001 actions=set_field:00:00:00:00:01:14->eth_dst,output:13
 cookie=0x0, duration=14.562s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.23,nw_dst=10.0.0.25,tp_src=5001,tp_dst=53141 actions=set_field:00:00:00:00:00:19->eth_dst,output:3
 cookie=0x0, duration=14.562s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=3,nw_src=10.0.0.25,nw_dst=10.0.1.23,tp_src=53141,tp_dst=5001 actions=set_field:00:00:00:00:01:15->eth_dst,output:13
 cookie=0x0, duration=14.557s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.24,nw_dst=10.0.0.26,tp_src=5001,tp_dst=52663 actions=set_field:00:00:00:00:00:1a->eth_dst,output:3
 cookie=0x0, duration=14.557s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=3,nw_src=10.0.0.26,nw_dst=10.0.1.24,tp_src=52663,tp_dst=5001 actions=set_field:00:00:00:00:01:16->eth_dst,output:13
 cookie=0x0, duration=14.534s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.25,nw_dst=10.0.0.27,tp_src=5001,tp_dst=46996 actions=set_field:00:00:00:00:00:1b->eth_dst,output:3
 cookie=0x0, duration=14.534s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=3,nw_src=10.0.0.27,nw_dst=10.0.1.25,tp_src=46996,tp_dst=5001 actions=set_field:00:00:00:00:01:17->eth_dst,output:13
 cookie=0x0, duration=14.527s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.26,nw_dst=10.0.0.28,tp_src=5001,tp_dst=36150 actions=set_field:00:00:00:00:00:1c->eth_dst,output:3
 cookie=0x0, duration=14.527s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=3,nw_src=10.0.0.28,nw_dst=10.0.1.26,tp_src=36150,tp_dst=5001 actions=set_field:00:00:00:00:01:18->eth_dst,output:13
 cookie=0x0, duration=14.517s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.27,nw_dst=10.0.0.29,tp_src=5001,tp_dst=45210 actions=set_field:00:00:00:00:00:1d->eth_dst,output:3
 cookie=0x0, duration=14.517s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=3,nw_src=10.0.0.29,nw_dst=10.0.1.27,tp_src=45210,tp_dst=5001 actions=set_field:00:00:00:00:01:19->eth_dst,output:13
 cookie=0x0, duration=14.509s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.28,nw_dst=10.0.0.30,tp_src=5001,tp_dst=34962 actions=set_field:00:00:00:00:00:1e->eth_dst,output:3
 cookie=0x0, duration=14.509s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=3,nw_src=10.0.0.30,nw_dst=10.0.1.28,tp_src=34962,tp_dst=5001 actions=set_field:00:00:00:00:01:1a->eth_dst,output:13
 cookie=0x0, duration=14.486s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.30,nw_dst=10.0.0.32,tp_src=5001,tp_dst=55151 actions=set_field:00:00:00:00:00:20->eth_dst,output:3
 cookie=0x0, duration=14.486s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=3,nw_src=10.0.0.32,nw_dst=10.0.1.30,tp_src=55151,tp_dst=5001 actions=set_field:00:00:00:00:01:1c->eth_dst,output:13
 cookie=0x0, duration=14.484s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.29,nw_dst=10.0.0.31,tp_src=5001,tp_dst=44369 actions=set_field:00:00:00:00:00:1f->eth_dst,output:3
 cookie=0x0, duration=14.484s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=3,nw_src=10.0.0.31,nw_dst=10.0.1.29,tp_src=44369,tp_dst=5001 actions=set_field:00:00:00:00:01:1b->eth_dst,output:13
 cookie=0x0, duration=14.470s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.31,nw_dst=10.0.0.33,tp_src=5001,tp_dst=42955 actions=set_field:00:00:00:00:00:21->eth_dst,output:3
 cookie=0x0, duration=14.470s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=3,nw_src=10.0.0.33,nw_dst=10.0.1.31,tp_src=42955,tp_dst=5001 actions=set_field:00:00:00:00:01:1d->eth_dst,output:13
