=== OVS Snapshot: during_ping @ 2026-04-19T22:49:58,386894458-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=5037.526s, table=0, n_packets=3693, n_bytes=221580, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=14.988s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.110,nw_dst=10.0.0.112,tp_src=5001,tp_dst=37260 actions=set_field:00:00:00:00:00:70->eth_dst,output:6
 cookie=0x0, duration=14.962s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.111,nw_dst=10.0.0.113,tp_src=5001,tp_dst=44871 actions=set_field:00:00:00:00:00:71->eth_dst,output:6
 cookie=0x0, duration=14.962s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.113,nw_dst=10.0.1.111,tp_src=44871,tp_dst=5001 actions=set_field:00:00:00:00:01:6d->eth_dst,output:17
 cookie=0x0, duration=14.957s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.112,nw_dst=10.0.0.114,tp_src=5001,tp_dst=38906 actions=set_field:00:00:00:00:00:72->eth_dst,output:6
 cookie=0x0, duration=14.957s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.114,nw_dst=10.0.1.112,tp_src=38906,tp_dst=5001 actions=set_field:00:00:00:00:01:6e->eth_dst,output:17
 cookie=0x0, duration=14.949s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.113,nw_dst=10.0.0.115,tp_src=5001,tp_dst=46074 actions=set_field:00:00:00:00:00:73->eth_dst,output:6
 cookie=0x0, duration=14.949s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.115,nw_dst=10.0.1.113,tp_src=46074,tp_dst=5001 actions=set_field:00:00:00:00:01:6f->eth_dst,output:17
 cookie=0x0, duration=14.939s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.114,nw_dst=10.0.0.116,tp_src=5001,tp_dst=50784 actions=set_field:00:00:00:00:00:74->eth_dst,output:6
 cookie=0x0, duration=14.939s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.116,nw_dst=10.0.1.114,tp_src=50784,tp_dst=5001 actions=set_field:00:00:00:00:01:70->eth_dst,output:17
 cookie=0x0, duration=14.939s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.115,nw_dst=10.0.0.117,tp_src=5001,tp_dst=45809 actions=set_field:00:00:00:00:00:75->eth_dst,output:6
 cookie=0x0, duration=14.939s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.117,nw_dst=10.0.1.115,tp_src=45809,tp_dst=5001 actions=set_field:00:00:00:00:01:71->eth_dst,output:17
 cookie=0x0, duration=14.916s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.116,nw_dst=10.0.0.118,tp_src=5001,tp_dst=42094 actions=set_field:00:00:00:00:00:76->eth_dst,output:6
 cookie=0x0, duration=14.916s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.118,nw_dst=10.0.1.116,tp_src=42094,tp_dst=5001 actions=set_field:00:00:00:00:01:72->eth_dst,output:17
 cookie=0x0, duration=14.916s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.117,nw_dst=10.0.0.119,tp_src=5001,tp_dst=48180 actions=set_field:00:00:00:00:00:77->eth_dst,output:6
 cookie=0x0, duration=14.916s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.119,nw_dst=10.0.1.117,tp_src=48180,tp_dst=5001 actions=set_field:00:00:00:00:01:73->eth_dst,output:17
 cookie=0x0, duration=14.909s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.118,nw_dst=10.0.0.120,tp_src=5001,tp_dst=57377 actions=set_field:00:00:00:00:00:78->eth_dst,output:6
 cookie=0x0, duration=14.909s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=6,nw_src=10.0.0.120,nw_dst=10.0.1.118,tp_src=57377,tp_dst=5001 actions=set_field:00:00:00:00:01:74->eth_dst,output:17
 cookie=0x0, duration=14.882s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.119,nw_dst=10.0.0.121,tp_src=5001,tp_dst=59709 actions=set_field:00:00:00:00:00:79->eth_dst,output:7
 cookie=0x0, duration=14.882s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=7,nw_src=10.0.0.121,nw_dst=10.0.1.119,tp_src=59709,tp_dst=5001 actions=set_field:00:00:00:00:01:75->eth_dst,output:17
 cookie=0x0, duration=14.872s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.120,nw_dst=10.0.0.122,tp_src=5001,tp_dst=51165 actions=set_field:00:00:00:00:00:7a->eth_dst,output:7
 cookie=0x0, duration=14.872s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=7,nw_src=10.0.0.122,nw_dst=10.0.1.120,tp_src=51165,tp_dst=5001 actions=set_field:00:00:00:00:01:76->eth_dst,output:17
 cookie=0x0, duration=14.864s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.121,nw_dst=10.0.0.123,tp_src=5001,tp_dst=37583 actions=set_field:00:00:00:00:00:7b->eth_dst,output:7
 cookie=0x0, duration=14.864s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=7,nw_src=10.0.0.123,nw_dst=10.0.1.121,tp_src=37583,tp_dst=5001 actions=set_field:00:00:00:00:01:77->eth_dst,output:17
 cookie=0x0, duration=14.840s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.122,nw_dst=10.0.0.124,tp_src=5001,tp_dst=59876 actions=set_field:00:00:00:00:00:7c->eth_dst,output:7
 cookie=0x0, duration=14.840s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=7,nw_src=10.0.0.124,nw_dst=10.0.1.122,tp_src=59876,tp_dst=5001 actions=set_field:00:00:00:00:01:78->eth_dst,output:17
 cookie=0x0, duration=14.839s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.123,nw_dst=10.0.0.125,tp_src=5001,tp_dst=33509 actions=set_field:00:00:00:00:00:7d->eth_dst,output:7
 cookie=0x0, duration=14.839s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=7,nw_src=10.0.0.125,nw_dst=10.0.1.123,tp_src=33509,tp_dst=5001 actions=set_field:00:00:00:00:01:79->eth_dst,output:17
 cookie=0x0, duration=14.821s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.124,nw_dst=10.0.0.126,tp_src=5001,tp_dst=47635 actions=set_field:00:00:00:00:00:7e->eth_dst,output:7
 cookie=0x0, duration=14.821s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=7,nw_src=10.0.0.126,nw_dst=10.0.1.124,tp_src=47635,tp_dst=5001 actions=set_field:00:00:00:00:01:7a->eth_dst,output:17
 cookie=0x0, duration=14.812s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.126,nw_dst=10.0.0.128,tp_src=5001,tp_dst=49786 actions=set_field:00:00:00:00:00:80->eth_dst,output:7
 cookie=0x0, duration=14.812s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=7,nw_src=10.0.0.128,nw_dst=10.0.1.126,tp_src=49786,tp_dst=5001 actions=set_field:00:00:00:00:01:7c->eth_dst,output:17
 cookie=0x0, duration=14.812s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=17,nw_src=10.0.1.125,nw_dst=10.0.0.127,tp_src=5001,tp_dst=35161 actions=set_field:00:00:00:00:00:7f->eth_dst,output:7
 cookie=0x0, duration=14.812s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=7,nw_src=10.0.0.127,nw_dst=10.0.1.125,tp_src=35161,tp_dst=5001 actions=set_field:00:00:00:00:01:7b->eth_dst,output:17
