=== OVS Snapshot: mid_churn @ 2026-04-19T23:19:05,111098632-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=6784.210s, table=0, n_packets=4964, n_bytes=297840, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=9.504s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.99,nw_dst=10.0.1.97,tp_src=46696,tp_dst=5001 actions=set_field:00:00:00:00:01:5f->eth_dst,output:16
 cookie=0x0, duration=9.504s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.97,nw_dst=10.0.0.99,tp_src=5001,tp_dst=46696 actions=set_field:00:00:00:00:00:63->eth_dst,output:6
 cookie=0x0, duration=9.481s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.12,nw_dst=10.0.1.10,tp_src=57778,tp_dst=5001 actions=set_field:00:00:00:00:01:08->eth_dst,output:12
 cookie=0x0, duration=9.481s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.10,nw_dst=10.0.0.12,tp_src=5001,tp_dst=57778 actions=set_field:00:00:00:00:00:0c->eth_dst,output:2
 cookie=0x0, duration=9.481s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.47,nw_dst=10.0.1.45,tp_src=34262,tp_dst=5001 actions=set_field:00:00:00:00:01:2b->eth_dst,output:14
 cookie=0x0, duration=9.481s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.45,nw_dst=10.0.0.47,tp_src=5001,tp_dst=34262 actions=set_field:00:00:00:00:00:2f->eth_dst,output:3
 cookie=0x0, duration=9.481s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.97,nw_dst=10.0.1.95,tp_src=40882,tp_dst=5001 actions=set_field:00:00:00:00:01:5d->eth_dst,output:16
 cookie=0x0, duration=9.481s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.95,nw_dst=10.0.0.97,tp_src=5001,tp_dst=40882 actions=set_field:00:00:00:00:00:61->eth_dst,output:6
 cookie=0x0, duration=9.481s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.15,nw_dst=10.0.1.13,tp_src=33914,tp_dst=5001 actions=set_field:00:00:00:00:01:0b->eth_dst,output:13
 cookie=0x0, duration=9.481s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.13,nw_dst=10.0.0.15,tp_src=5001,tp_dst=33914 actions=set_field:00:00:00:00:00:0f->eth_dst,output:2
 cookie=0x0, duration=9.481s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.36,nw_dst=10.0.1.34,tp_src=47404,tp_dst=5001 actions=set_field:00:00:00:00:01:20->eth_dst,output:13
 cookie=0x0, duration=9.481s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.34,nw_dst=10.0.0.36,tp_src=5001,tp_dst=47404 actions=set_field:00:00:00:00:00:24->eth_dst,output:3
 cookie=0x0, duration=9.481s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.98,nw_dst=10.0.1.96,tp_src=54392,tp_dst=5001 actions=set_field:00:00:00:00:01:5e->eth_dst,output:16
 cookie=0x0, duration=9.481s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.96,nw_dst=10.0.0.98,tp_src=5001,tp_dst=54392 actions=set_field:00:00:00:00:00:62->eth_dst,output:6
 cookie=0x0, duration=9.481s, table=0, n_packets=5, n_bytes=346, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.30,nw_dst=10.0.1.28,tp_src=44784,tp_dst=5001 actions=set_field:00:00:00:00:01:1a->eth_dst,output:13
 cookie=0x0, duration=9.457s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.28,nw_dst=10.0.0.30,tp_src=5001,tp_dst=44784 actions=set_field:00:00:00:00:00:1e->eth_dst,output:3
 cookie=0x0, duration=9.457s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.29,nw_dst=10.0.1.27,tp_src=46986,tp_dst=5001 actions=set_field:00:00:00:00:01:19->eth_dst,output:13
 cookie=0x0, duration=9.457s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.27,nw_dst=10.0.0.29,tp_src=5001,tp_dst=46986 actions=set_field:00:00:00:00:00:1d->eth_dst,output:3
 cookie=0x0, duration=9.457s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.33,nw_dst=10.0.1.31,tp_src=39592,tp_dst=5001 actions=set_field:00:00:00:00:01:1d->eth_dst,output:13
 cookie=0x0, duration=9.457s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.31,nw_dst=10.0.0.33,tp_src=5001,tp_dst=39592 actions=set_field:00:00:00:00:00:21->eth_dst,output:3
 cookie=0x0, duration=9.457s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.44,nw_dst=10.0.1.42,tp_src=40184,tp_dst=5001 actions=set_field:00:00:00:00:01:28->eth_dst,output:14
 cookie=0x0, duration=9.457s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.42,nw_dst=10.0.0.44,tp_src=5001,tp_dst=40184 actions=set_field:00:00:00:00:00:2c->eth_dst,output:3
 cookie=0x0, duration=9.457s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.26,nw_dst=10.0.1.24,tp_src=47598,tp_dst=5001 actions=set_field:00:00:00:00:01:16->eth_dst,output:13
 cookie=0x0, duration=9.457s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.24,nw_dst=10.0.0.26,tp_src=5001,tp_dst=47598 actions=set_field:00:00:00:00:00:1a->eth_dst,output:3
 cookie=0x0, duration=9.456s, table=0, n_packets=18914, n_bytes=959390644, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.48,nw_dst=10.0.1.46,tp_src=35042,tp_dst=5001 actions=set_field:00:00:00:00:01:2c->eth_dst,output:14
 cookie=0x0, duration=9.456s, table=0, n_packets=7821, n_bytes=516266, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.46,nw_dst=10.0.0.48,tp_src=5001,tp_dst=35042 actions=set_field:00:00:00:00:00:30->eth_dst,output:3
 cookie=0x0, duration=9.432s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.104,nw_dst=10.0.1.102,tp_src=48040,tp_dst=5001 actions=set_field:00:00:00:00:01:64->eth_dst,output:16
 cookie=0x0, duration=9.432s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.102,nw_dst=10.0.0.104,tp_src=5001,tp_dst=48040 actions=set_field:00:00:00:00:00:68->eth_dst,output:6
 cookie=0x0, duration=9.432s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.43,nw_dst=10.0.1.41,tp_src=34656,tp_dst=5001 actions=set_field:00:00:00:00:01:27->eth_dst,output:14
 cookie=0x0, duration=9.432s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.41,nw_dst=10.0.0.43,tp_src=5001,tp_dst=34656 actions=set_field:00:00:00:00:00:2b->eth_dst,output:3
 cookie=0x0, duration=9.432s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.111,nw_dst=10.0.1.109,tp_src=48594,tp_dst=5001 actions=set_field:00:00:00:00:01:6b->eth_dst,output:17
 cookie=0x0, duration=9.432s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=17,nw_src=10.0.1.109,nw_dst=10.0.0.111,tp_src=5001,tp_dst=48594 actions=set_field:00:00:00:00:00:6f->eth_dst,output:6
 cookie=0x0, duration=9.432s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.31,nw_dst=10.0.1.29,tp_src=43280,tp_dst=5001 actions=set_field:00:00:00:00:01:1b->eth_dst,output:13
 cookie=0x0, duration=9.432s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.29,nw_dst=10.0.0.31,tp_src=5001,tp_dst=43280 actions=set_field:00:00:00:00:00:1f->eth_dst,output:3
 cookie=0x0, duration=9.432s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.113,nw_dst=10.0.1.111,tp_src=57346,tp_dst=5001 actions=set_field:00:00:00:00:01:6d->eth_dst,output:17
 cookie=0x0, duration=9.432s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=17,nw_src=10.0.1.111,nw_dst=10.0.0.113,tp_src=5001,tp_dst=57346 actions=set_field:00:00:00:00:00:71->eth_dst,output:6
 cookie=0x0, duration=9.418s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.24,nw_dst=10.0.1.22,tp_src=36762,tp_dst=5001 actions=set_field:00:00:00:00:01:14->eth_dst,output:13
 cookie=0x0, duration=9.418s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.22,nw_dst=10.0.0.24,tp_src=5001,tp_dst=36762 actions=set_field:00:00:00:00:00:18->eth_dst,output:2
 cookie=0x0, duration=9.418s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.152,nw_dst=10.0.1.150,tp_src=57516,tp_dst=5001 actions=set_field:00:00:00:00:01:94->eth_dst,output:18
 cookie=0x0, duration=9.418s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.150,nw_dst=10.0.0.152,tp_src=5001,tp_dst=57516 actions=set_field:00:00:00:00:00:98->eth_dst,output:8
 cookie=0x0, duration=9.418s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=7,nw_src=10.0.0.124,nw_dst=10.0.1.122,tp_src=36190,tp_dst=5001 actions=set_field:00:00:00:00:01:78->eth_dst,output:17
 cookie=0x0, duration=9.418s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=17,nw_src=10.0.1.122,nw_dst=10.0.0.124,tp_src=5001,tp_dst=36190 actions=set_field:00:00:00:00:00:7c->eth_dst,output:7
 cookie=0x0, duration=9.418s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.16,nw_dst=10.0.1.14,tp_src=55754,tp_dst=5001 actions=set_field:00:00:00:00:01:0c->eth_dst,output:13
