=== OVS Snapshot: during_ping @ 2026-04-19T23:29:47,988341860-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=7427.085s, table=0, n_packets=5432, n_bytes=325920, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=17.317s, table=0, n_packets=2, n_bytes=1180, idle_timeout=15, priority=100,icmp,in_port=3,nw_src=10.0.0.40,nw_dst=10.0.1.38,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:24->eth_dst,output:14
 cookie=0x0, duration=17.268s, table=0, n_packets=2, n_bytes=1180, idle_timeout=15, priority=100,icmp,in_port=3,nw_src=10.0.0.41,nw_dst=10.0.1.39,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:25->eth_dst,output:14
 cookie=0x0, duration=17.194s, table=0, n_packets=2, n_bytes=1180, idle_timeout=15, priority=100,icmp,in_port=3,nw_src=10.0.0.43,nw_dst=10.0.1.41,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:27->eth_dst,output:14
 cookie=0x0, duration=17.132s, table=0, n_packets=2, n_bytes=1180, idle_timeout=15, priority=100,icmp,in_port=3,nw_src=10.0.0.46,nw_dst=10.0.1.44,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:2a->eth_dst,output:14
 cookie=0x0, duration=16.736s, table=0, n_packets=3, n_bytes=1770, idle_timeout=15, priority=100,icmp,in_port=3,nw_src=10.0.0.48,nw_dst=10.0.1.46,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:2c->eth_dst,output:14
 cookie=0x0, duration=16.583s, table=0, n_packets=3, n_bytes=1770, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.49,nw_dst=10.0.1.47,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:2d->eth_dst,output:14
 cookie=0x0, duration=16.583s, table=0, n_packets=3, n_bytes=1770, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.50,nw_dst=10.0.1.48,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:2e->eth_dst,output:14
 cookie=0x0, duration=16.564s, table=0, n_packets=3, n_bytes=1770, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.51,nw_dst=10.0.1.49,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:2f->eth_dst,output:14
 cookie=0x0, duration=15.918s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.52,nw_dst=10.0.1.50,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:30->eth_dst,output:14
 cookie=0x0, duration=15.759s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.54,nw_dst=10.0.1.52,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:32->eth_dst,output:14
 cookie=0x0, duration=15.729s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.55,nw_dst=10.0.1.53,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:33->eth_dst,output:14
 cookie=0x0, duration=15.680s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.56,nw_dst=10.0.1.54,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:34->eth_dst,output:14
 cookie=0x0, duration=15.647s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.57,nw_dst=10.0.1.55,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:35->eth_dst,output:14
 cookie=0x0, duration=15.617s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.58,nw_dst=10.0.1.56,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:36->eth_dst,output:14
 cookie=0x0, duration=15.571s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.59,nw_dst=10.0.1.57,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:37->eth_dst,output:14
 cookie=0x0, duration=15.494s, table=0, n_packets=4, n_bytes=2360, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.60,nw_dst=10.0.1.58,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:38->eth_dst,output:14
 cookie=0x0, duration=15.005s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=19,nw_src=10.0.1.164,nw_dst=10.0.0.166,tp_src=5001,tp_dst=45731 actions=set_field:00:00:00:00:00:a6->eth_dst,output:8
 cookie=0x0, duration=15.005s, table=0, n_packets=3, n_bytes=1770, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.72,nw_dst=10.0.1.70,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:44->eth_dst,output:15
 cookie=0x0, duration=14.986s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=19,nw_src=10.0.1.165,nw_dst=10.0.0.167,tp_src=5001,tp_dst=38302 actions=set_field:00:00:00:00:00:a7->eth_dst,output:8
 cookie=0x0, duration=14.986s, table=0, n_packets=3, n_bytes=1770, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.73,nw_dst=10.0.1.71,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:45->eth_dst,output:15
 cookie=0x0, duration=14.968s, table=0, n_packets=3, n_bytes=1770, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.74,nw_dst=10.0.1.72,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:46->eth_dst,output:15
 cookie=0x0, duration=14.920s, table=0, n_packets=5, n_bytes=7560, idle_timeout=15, priority=100,udp,in_port=20,nw_src=10.0.1.179,nw_dst=10.0.0.181,tp_src=5001,tp_dst=48400 actions=set_field:00:00:00:00:00:b5->eth_dst,output:9
 cookie=0x0, duration=14.920s, table=0, n_packets=6, n_bytes=9072, idle_timeout=15, priority=100,udp,in_port=19,nw_src=10.0.1.169,nw_dst=10.0.0.171,tp_src=5001,tp_dst=51743 actions=set_field:00:00:00:00:00:ab->eth_dst,output:9
 cookie=0x0, duration=14.920s, table=0, n_packets=5, n_bytes=2950, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.75,nw_dst=10.0.1.73,icmp_type=3,icmp_code=3 actions=set_field:00:00:00:00:01:47->eth_dst,output:15
