=== OVS Snapshot: mid_churn @ 2026-04-19T23:39:01,010275712-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=7980.114s, table=0, n_packets=5841, n_bytes=350460, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=9.780s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.79,nw_dst=10.0.1.77,tp_src=33268,tp_dst=5001 actions=set_field:00:00:00:00:01:4b->eth_dst,output:15
 cookie=0x0, duration=9.780s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.77,nw_dst=10.0.0.79,tp_src=5001,tp_dst=33268 actions=set_field:00:00:00:00:00:4f->eth_dst,output:5
 cookie=0x0, duration=9.755s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.10,nw_dst=10.0.1.8,tp_src=33766,tp_dst=5001 actions=set_field:00:00:00:00:01:06->eth_dst,output:12
 cookie=0x0, duration=9.755s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.8,nw_dst=10.0.0.10,tp_src=5001,tp_dst=33766 actions=set_field:00:00:00:00:00:0a->eth_dst,output:2
 cookie=0x0, duration=9.755s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.18,nw_dst=10.0.1.16,tp_src=55132,tp_dst=5001 actions=set_field:00:00:00:00:01:0e->eth_dst,output:13
 cookie=0x0, duration=9.755s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.16,nw_dst=10.0.0.18,tp_src=5001,tp_dst=55132 actions=set_field:00:00:00:00:00:12->eth_dst,output:2
 cookie=0x0, duration=9.734s, table=0, n_packets=14501, n_bytes=733658898, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.85,nw_dst=10.0.1.83,tp_src=60246,tp_dst=5001 actions=set_field:00:00:00:00:01:51->eth_dst,output:16
 cookie=0x0, duration=9.734s, table=0, n_packets=5962, n_bytes=393656, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.83,nw_dst=10.0.0.85,tp_src=5001,tp_dst=60246 actions=set_field:00:00:00:00:00:55->eth_dst,output:5
 cookie=0x0, duration=9.734s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.29,nw_dst=10.0.1.27,tp_src=42342,tp_dst=5001 actions=set_field:00:00:00:00:01:19->eth_dst,output:13
 cookie=0x0, duration=9.734s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.27,nw_dst=10.0.0.29,tp_src=5001,tp_dst=42342 actions=set_field:00:00:00:00:00:1d->eth_dst,output:3
 cookie=0x0, duration=9.733s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.45,nw_dst=10.0.1.43,tp_src=52348,tp_dst=5001 actions=set_field:00:00:00:00:01:29->eth_dst,output:14
 cookie=0x0, duration=9.733s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.43,nw_dst=10.0.0.45,tp_src=5001,tp_dst=52348 actions=set_field:00:00:00:00:00:2d->eth_dst,output:3
 cookie=0x0, duration=9.733s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.46,nw_dst=10.0.1.44,tp_src=46240,tp_dst=5001 actions=set_field:00:00:00:00:01:2a->eth_dst,output:14
 cookie=0x0, duration=9.733s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.44,nw_dst=10.0.0.46,tp_src=5001,tp_dst=46240 actions=set_field:00:00:00:00:00:2e->eth_dst,output:3
 cookie=0x0, duration=9.733s, table=0, n_packets=5, n_bytes=346, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.47,nw_dst=10.0.1.45,tp_src=56436,tp_dst=5001 actions=set_field:00:00:00:00:01:2b->eth_dst,output:14
 cookie=0x0, duration=9.717s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.45,nw_dst=10.0.0.47,tp_src=5001,tp_dst=56436 actions=set_field:00:00:00:00:00:2f->eth_dst,output:3
 cookie=0x0, duration=9.717s, table=0, n_packets=4, n_bytes=272, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.25,nw_dst=10.0.1.23,tp_src=45778,tp_dst=5001 actions=set_field:00:00:00:00:01:15->eth_dst,output:13
 cookie=0x0, duration=9.717s, table=0, n_packets=3, n_bytes=206, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.23,nw_dst=10.0.0.25,tp_src=5001,tp_dst=45778 actions=set_field:00:00:00:00:00:19->eth_dst,output:3
 cookie=0x0, duration=9.717s, table=0, n_packets=7, n_bytes=466, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.12,nw_dst=10.0.1.10,tp_src=48836,tp_dst=5001 actions=set_field:00:00:00:00:01:08->eth_dst,output:12
 cookie=0x0, duration=9.717s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.10,nw_dst=10.0.0.12,tp_src=5001,tp_dst=48836 actions=set_field:00:00:00:00:00:0c->eth_dst,output:2
