=== OVS Snapshot: mid_tcp @ 2026-04-19T23:33:03,699608467-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=7623.588s, table=0, n_packets=5577, n_bytes=334620, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=61.128s, table=0, n_packets=75960, n_bytes=3431842648, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.2,nw_dst=10.0.0.254,tp_src=39990,tp_dst=5001 actions=set_field:00:00:00:00:00:fe->eth_dst,output:12
 cookie=0x0, duration=61.128s, table=0, n_packets=35616, n_bytes=2354240, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.254,nw_dst=10.0.0.2,tp_src=5001,tp_dst=39990 actions=set_field:00:00:00:00:00:02->eth_dst,output:2
 cookie=0x0, duration=61.051s, table=0, n_packets=77113, n_bytes=3478894642, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.0.253,tp_src=38808,tp_dst=5001 actions=set_field:00:00:00:00:00:fd->eth_dst,output:12
 cookie=0x0, duration=61.051s, table=0, n_packets=43037, n_bytes=2842994, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.253,nw_dst=10.0.0.1,tp_src=5001,tp_dst=38808 actions=set_field:00:00:00:00:00:01->eth_dst,output:2
 cookie=0x0, duration=61.017s, table=0, n_packets=73545, n_bytes=3379973010, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.5,nw_dst=10.0.1.3,tp_src=46416,tp_dst=5001 actions=set_field:00:00:00:00:01:01->eth_dst,output:12
 cookie=0x0, duration=61.017s, table=0, n_packets=40133, n_bytes=2649242, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.3,nw_dst=10.0.0.5,tp_src=5001,tp_dst=46416 actions=set_field:00:00:00:00:00:05->eth_dst,output:2
 cookie=0x0, duration=60.990s, table=0, n_packets=63878, n_bytes=2804229324, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.6,nw_dst=10.0.1.4,tp_src=35878,tp_dst=5001 actions=set_field:00:00:00:00:01:02->eth_dst,output:12
 cookie=0x0, duration=60.990s, table=0, n_packets=19313, n_bytes=1279898, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.4,nw_dst=10.0.0.6,tp_src=5001,tp_dst=35878 actions=set_field:00:00:00:00:00:06->eth_dst,output:2
 cookie=0x0, duration=60.972s, table=0, n_packets=69909, n_bytes=3215061970, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.4,nw_dst=10.0.1.2,tp_src=57114,tp_dst=5001 actions=set_field:00:00:00:00:01:00->eth_dst,output:12
 cookie=0x0, duration=60.972s, table=0, n_packets=38906, n_bytes=2568656, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.2,nw_dst=10.0.0.4,tp_src=5001,tp_dst=57114 actions=set_field:00:00:00:00:00:04->eth_dst,output:2
 cookie=0x0, duration=60.972s, table=0, n_packets=57948, n_bytes=2810934344, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.21,nw_dst=10.0.1.19,tp_src=48952,tp_dst=5001 actions=set_field:00:00:00:00:01:11->eth_dst,output:13
