=== OVS Snapshot: post_churn @ 2026-04-19T23:39:25,328393307-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=8004.427s, table=0, n_packets=5861, n_bytes=351660, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=15.974s, table=0, n_packets=34329, n_bytes=1576702586, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.246,nw_dst=10.0.1.244,tp_src=47878,tp_dst=5001 actions=set_field:00:00:00:00:01:f2->eth_dst,output:22
 cookie=0x0, duration=15.974s, table=0, n_packets=17446, n_bytes=1151444, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.244,nw_dst=10.0.0.246,tp_src=5001,tp_dst=47878 actions=set_field:00:00:00:00:00:f6->eth_dst,output:12
 cookie=0x0, duration=15.943s, table=0, n_packets=23456, n_bytes=1191431808, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.248,nw_dst=10.0.1.246,tp_src=42462,tp_dst=5001 actions=set_field:00:00:00:00:01:f4->eth_dst,output:22
 cookie=0x0, duration=15.943s, table=0, n_packets=8034, n_bytes=530432, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.246,nw_dst=10.0.0.248,tp_src=5001,tp_dst=42462 actions=set_field:00:00:00:00:00:f8->eth_dst,output:12
 cookie=0x0, duration=15.874s, table=0, n_packets=17659, n_bytes=950453358, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.251,nw_dst=10.0.1.249,tp_src=37454,tp_dst=5001 actions=set_field:00:00:00:00:01:f7->eth_dst,output:22
 cookie=0x0, duration=15.874s, table=0, n_packets=5133, n_bytes=339050, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.249,nw_dst=10.0.0.251,tp_src=5001,tp_dst=37454 actions=set_field:00:00:00:00:00:fb->eth_dst,output:12
 cookie=0x0, duration=15.859s, table=0, n_packets=17878, n_bytes=898376292, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.249,nw_dst=10.0.1.247,tp_src=53746,tp_dst=5001 actions=set_field:00:00:00:00:01:f5->eth_dst,output:22
 cookie=0x0, duration=15.859s, table=0, n_packets=6237, n_bytes=411758, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.247,nw_dst=10.0.0.249,tp_src=5001,tp_dst=53746 actions=set_field:00:00:00:00:00:f9->eth_dst,output:12
 cookie=0x0, duration=15.838s, table=0, n_packets=13853, n_bytes=784346938, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.242,nw_dst=10.0.1.240,tp_src=43064,tp_dst=5001 actions=set_field:00:00:00:00:01:ee->eth_dst,output:22
 cookie=0x0, duration=15.838s, table=0, n_packets=2879, n_bytes=190190, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.240,nw_dst=10.0.0.242,tp_src=5001,tp_dst=43064 actions=set_field:00:00:00:00:00:f2->eth_dst,output:12
 cookie=0x0, duration=15.736s, table=0, n_packets=24893, n_bytes=1184437130, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.245,nw_dst=10.0.1.243,tp_src=42702,tp_dst=5001 actions=set_field:00:00:00:00:01:f1->eth_dst,output:22
 cookie=0x0, duration=15.736s, table=0, n_packets=11333, n_bytes=748010, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.243,nw_dst=10.0.0.245,tp_src=5001,tp_dst=42702 actions=set_field:00:00:00:00:00:f5->eth_dst,output:12
 cookie=0x0, duration=15.566s, table=0, n_packets=14272, n_bytes=678992488, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.252,nw_dst=10.0.1.250,tp_src=37208,tp_dst=5001 actions=set_field:00:00:00:00:01:f8->eth_dst,output:22
 cookie=0x0, duration=15.566s, table=0, n_packets=5431, n_bytes=358694, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.250,nw_dst=10.0.0.252,tp_src=5001,tp_dst=37208 actions=set_field:00:00:00:00:00:fc->eth_dst,output:12
 cookie=0x0, duration=15.463s, table=0, n_packets=7783, n_bytes=391650638, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.243,nw_dst=10.0.1.241,tp_src=39268,tp_dst=5001 actions=set_field:00:00:00:00:01:ef->eth_dst,output:22
 cookie=0x0, duration=15.463s, table=0, n_packets=1852, n_bytes=122548, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.241,nw_dst=10.0.0.243,tp_src=5001,tp_dst=39268 actions=set_field:00:00:00:00:00:f3->eth_dst,output:12
 cookie=0x0, duration=15.361s, table=0, n_packets=5879, n_bytes=313281174, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.241,nw_dst=10.0.1.239,tp_src=33630,tp_dst=5001 actions=set_field:00:00:00:00:01:ed->eth_dst,output:22
 cookie=0x0, duration=15.361s, table=0, n_packets=1688, n_bytes=111752, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.239,nw_dst=10.0.0.241,tp_src=5001,tp_dst=33630 actions=set_field:00:00:00:00:00:f1->eth_dst,output:12
 cookie=0x0, duration=15.284s, table=0, n_packets=8656, n_bytes=394720736, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.244,nw_dst=10.0.1.242,tp_src=39874,tp_dst=5001 actions=set_field:00:00:00:00:01:f0->eth_dst,output:22
 cookie=0x0, duration=15.284s, table=0, n_packets=3849, n_bytes=254342, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.242,nw_dst=10.0.0.244,tp_src=5001,tp_dst=39874 actions=set_field:00:00:00:00:00:f4->eth_dst,output:12
 cookie=0x0, duration=15.172s, table=0, n_packets=10073, n_bytes=473284866, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.250,nw_dst=10.0.1.248,tp_src=47688,tp_dst=5001 actions=set_field:00:00:00:00:01:f6->eth_dst,output:22
 cookie=0x0, duration=15.172s, table=0, n_packets=4570, n_bytes=301904, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.248,nw_dst=10.0.0.250,tp_src=5001,tp_dst=47688 actions=set_field:00:00:00:00:00:fa->eth_dst,output:12
 cookie=0x0, duration=15.042s, table=0, n_packets=11010, n_bytes=503742604, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.247,nw_dst=10.0.1.245,tp_src=41884,tp_dst=5001 actions=set_field:00:00:00:00:01:f3->eth_dst,output:22
 cookie=0x0, duration=15.042s, table=0, n_packets=5882, n_bytes=388436, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.245,nw_dst=10.0.0.247,tp_src=5001,tp_dst=41884 actions=set_field:00:00:00:00:00:f7->eth_dst,output:12
 cookie=0x0, duration=15.028s, table=0, n_packets=3, n_bytes=182, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.39,nw_dst=10.0.1.37,tp_src=50200,tp_dst=5001 actions=set_field:00:00:00:00:01:23->eth_dst,output:14
 cookie=0x0, duration=15.028s, table=0, n_packets=2, n_bytes=148, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.37,nw_dst=10.0.0.39,tp_src=5001,tp_dst=50200 actions=set_field:00:00:00:00:00:27->eth_dst,output:3
 cookie=0x0, duration=15.028s, table=0, n_packets=3, n_bytes=182, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.99,nw_dst=10.0.1.97,tp_src=57874,tp_dst=5001 actions=set_field:00:00:00:00:01:5f->eth_dst,output:16
 cookie=0x0, duration=15.028s, table=0, n_packets=2, n_bytes=148, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.97,nw_dst=10.0.0.99,tp_src=5001,tp_dst=57874 actions=set_field:00:00:00:00:00:63->eth_dst,output:6
 cookie=0x0, duration=15s, table=0, n_packets=3, n_bytes=182, idle_timeout=15, priority=100,tcp,in_port=9,nw_src=10.0.0.185,nw_dst=10.0.1.183,tp_src=41190,tp_dst=5001 actions=set_field:00:00:00:00:01:b5->eth_dst,output:20
 cookie=0x0, duration=15s, table=0, n_packets=2, n_bytes=148, idle_timeout=15, priority=100,tcp,in_port=20,nw_src=10.0.1.183,nw_dst=10.0.0.185,tp_src=5001,tp_dst=41190 actions=set_field:00:00:00:00:00:b9->eth_dst,output:9
 cookie=0x0, duration=15s, table=0, n_packets=3, n_bytes=182, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.152,nw_dst=10.0.1.150,tp_src=42310,tp_dst=5001 actions=set_field:00:00:00:00:01:94->eth_dst,output:18
