=== OVS Snapshot: post_tcp @ 2026-04-19T23:34:17,187376005-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=7696.288s, table=0, n_packets=5627, n_bytes=337620, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=133.828s, table=0, n_packets=146583, n_bytes=6681021654, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.2,nw_dst=10.0.0.254,tp_src=39990,tp_dst=5001 actions=set_field:00:00:00:00:00:fe->eth_dst,output:12
 cookie=0x0, duration=133.828s, table=0, n_packets=73827, n_bytes=4876718, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.254,nw_dst=10.0.0.2,tp_src=5001,tp_dst=39990 actions=set_field:00:00:00:00:00:02->eth_dst,output:2
 cookie=0x0, duration=133.751s, table=0, n_packets=151486, n_bytes=6915412716, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.0.253,tp_src=38808,tp_dst=5001 actions=set_field:00:00:00:00:00:fd->eth_dst,output:12
 cookie=0x0, duration=133.751s, table=0, n_packets=79220, n_bytes=5232408, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.253,nw_dst=10.0.0.1,tp_src=5001,tp_dst=38808 actions=set_field:00:00:00:00:00:01->eth_dst,output:2
 cookie=0x0, duration=133.717s, table=0, n_packets=156716, n_bytes=7169255552, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.5,nw_dst=10.0.1.3,tp_src=46416,tp_dst=5001 actions=set_field:00:00:00:00:01:01->eth_dst,output:12
 cookie=0x0, duration=133.717s, table=0, n_packets=84811, n_bytes=5599874, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.3,nw_dst=10.0.0.5,tp_src=5001,tp_dst=46416 actions=set_field:00:00:00:00:00:05->eth_dst,output:2
 cookie=0x0, duration=133.690s, table=0, n_packets=140416, n_bytes=6271744696, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.6,nw_dst=10.0.1.4,tp_src=35878,tp_dst=5001 actions=set_field:00:00:00:00:01:02->eth_dst,output:12
 cookie=0x0, duration=133.690s, table=0, n_packets=61061, n_bytes=4035506, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.4,nw_dst=10.0.0.6,tp_src=5001,tp_dst=35878 actions=set_field:00:00:00:00:00:06->eth_dst,output:2
 cookie=0x0, duration=133.672s, table=0, n_packets=152986, n_bytes=6944483172, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.4,nw_dst=10.0.1.2,tp_src=57114,tp_dst=5001 actions=set_field:00:00:00:00:01:00->eth_dst,output:12
 cookie=0x0, duration=133.672s, table=0, n_packets=86482, n_bytes=5709716, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.2,nw_dst=10.0.0.4,tp_src=5001,tp_dst=57114 actions=set_field:00:00:00:00:00:04->eth_dst,output:2
 cookie=0x0, duration=133.672s, table=0, n_packets=123233, n_bytes=5692089410, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.21,nw_dst=10.0.1.19,tp_src=48952,tp_dst=5001 actions=set_field:00:00:00:00:01:11->eth_dst,output:13
