=== OVS Snapshot: during_ping @ 2026-04-19T23:49:32,178696010-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=8611.280s, table=0, n_packets=6307, n_bytes=378420, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=15s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.76,nw_dst=10.0.0.78,tp_src=5001,tp_dst=54925 actions=set_field:00:00:00:00:00:4e->eth_dst,output:5
 cookie=0x0, duration=14.985s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.77,nw_dst=10.0.0.79,tp_src=5001,tp_dst=45002 actions=set_field:00:00:00:00:00:4f->eth_dst,output:5
 cookie=0x0, duration=14.975s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.78,nw_dst=10.0.0.80,tp_src=5001,tp_dst=40785 actions=set_field:00:00:00:00:00:50->eth_dst,output:5
 cookie=0x0, duration=14.975s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.80,nw_dst=10.0.1.78,tp_src=40785,tp_dst=5001 actions=set_field:00:00:00:00:01:4c->eth_dst,output:15
 cookie=0x0, duration=14.968s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.79,nw_dst=10.0.0.81,tp_src=5001,tp_dst=44912 actions=set_field:00:00:00:00:00:51->eth_dst,output:5
 cookie=0x0, duration=14.968s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.81,nw_dst=10.0.1.79,tp_src=44912,tp_dst=5001 actions=set_field:00:00:00:00:01:4d->eth_dst,output:15
 cookie=0x0, duration=14.957s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.81,nw_dst=10.0.0.83,tp_src=5001,tp_dst=43232 actions=set_field:00:00:00:00:00:53->eth_dst,output:5
 cookie=0x0, duration=14.957s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.83,nw_dst=10.0.1.81,tp_src=43232,tp_dst=5001 actions=set_field:00:00:00:00:01:4f->eth_dst,output:15
 cookie=0x0, duration=14.953s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.80,nw_dst=10.0.0.82,tp_src=5001,tp_dst=37390 actions=set_field:00:00:00:00:00:52->eth_dst,output:5
 cookie=0x0, duration=14.953s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.82,nw_dst=10.0.1.80,tp_src=37390,tp_dst=5001 actions=set_field:00:00:00:00:01:4e->eth_dst,output:15
 cookie=0x0, duration=14.928s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=15,nw_src=10.0.1.82,nw_dst=10.0.0.84,tp_src=5001,tp_dst=60574 actions=set_field:00:00:00:00:00:54->eth_dst,output:5
 cookie=0x0, duration=14.928s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.84,nw_dst=10.0.1.82,tp_src=60574,tp_dst=5001 actions=set_field:00:00:00:00:01:50->eth_dst,output:15
 cookie=0x0, duration=14.927s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.83,nw_dst=10.0.0.85,tp_src=5001,tp_dst=35921 actions=set_field:00:00:00:00:00:55->eth_dst,output:5
 cookie=0x0, duration=14.927s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.85,nw_dst=10.0.1.83,tp_src=35921,tp_dst=5001 actions=set_field:00:00:00:00:01:51->eth_dst,output:16
 cookie=0x0, duration=14.906s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.85,nw_dst=10.0.0.87,tp_src=5001,tp_dst=46165 actions=set_field:00:00:00:00:00:57->eth_dst,output:5
 cookie=0x0, duration=14.906s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.87,nw_dst=10.0.1.85,tp_src=46165,tp_dst=5001 actions=set_field:00:00:00:00:01:53->eth_dst,output:16
 cookie=0x0, duration=14.900s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.84,nw_dst=10.0.0.86,tp_src=5001,tp_dst=44212 actions=set_field:00:00:00:00:00:56->eth_dst,output:5
 cookie=0x0, duration=14.900s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.86,nw_dst=10.0.1.84,tp_src=44212,tp_dst=5001 actions=set_field:00:00:00:00:01:52->eth_dst,output:16
 cookie=0x0, duration=14.885s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.86,nw_dst=10.0.0.88,tp_src=5001,tp_dst=41359 actions=set_field:00:00:00:00:00:58->eth_dst,output:5
 cookie=0x0, duration=14.885s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.88,nw_dst=10.0.1.86,tp_src=41359,tp_dst=5001 actions=set_field:00:00:00:00:01:54->eth_dst,output:16
 cookie=0x0, duration=14.880s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.87,nw_dst=10.0.0.89,tp_src=5001,tp_dst=36122 actions=set_field:00:00:00:00:00:59->eth_dst,output:5
 cookie=0x0, duration=14.880s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.89,nw_dst=10.0.1.87,tp_src=36122,tp_dst=5001 actions=set_field:00:00:00:00:01:55->eth_dst,output:16
 cookie=0x0, duration=14.858s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.88,nw_dst=10.0.0.90,tp_src=5001,tp_dst=55252 actions=set_field:00:00:00:00:00:5a->eth_dst,output:5
 cookie=0x0, duration=14.858s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.90,nw_dst=10.0.1.88,tp_src=55252,tp_dst=5001 actions=set_field:00:00:00:00:01:56->eth_dst,output:16
 cookie=0x0, duration=14.853s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.89,nw_dst=10.0.0.91,tp_src=5001,tp_dst=34313 actions=set_field:00:00:00:00:00:5b->eth_dst,output:5
 cookie=0x0, duration=14.853s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.91,nw_dst=10.0.1.89,tp_src=34313,tp_dst=5001 actions=set_field:00:00:00:00:01:57->eth_dst,output:16
