=== OVS Snapshot: mid_tcp @ 2026-04-20T00:12:34,316439558-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=9994.463s, table=0, n_packets=7336, n_bytes=440160, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=62.408s, table=0, n_packets=91088, n_bytes=3929051496, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.0.253,tp_src=43720,tp_dst=5001 actions=set_field:00:00:00:00:00:fd->eth_dst,output:12
 cookie=0x0, duration=62.408s, table=0, n_packets=53110, n_bytes=3514640, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.253,nw_dst=10.0.0.1,tp_src=5001,tp_dst=43720 actions=set_field:00:00:00:00:00:01->eth_dst,output:2
 cookie=0x0, duration=62.397s, table=0, n_packets=83106, n_bytes=3877238492, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.4,nw_dst=10.0.1.2,tp_src=60560,tp_dst=5001 actions=set_field:00:00:00:00:01:00->eth_dst,output:12
 cookie=0x0, duration=62.397s, table=0, n_packets=39376, n_bytes=2600516, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.2,nw_dst=10.0.0.4,tp_src=5001,tp_dst=60560 actions=set_field:00:00:00:00:00:04->eth_dst,output:2
 cookie=0x0, duration=62.383s, table=0, n_packets=85738, n_bytes=3989734284, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.5,nw_dst=10.0.1.3,tp_src=32792,tp_dst=5001 actions=set_field:00:00:00:00:01:01->eth_dst,output:12
 cookie=0x0, duration=62.383s, table=0, n_packets=41377, n_bytes=2731778, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.3,nw_dst=10.0.0.5,tp_src=5001,tp_dst=32792 actions=set_field:00:00:00:00:00:05->eth_dst,output:2
 cookie=0x0, duration=62.382s, table=0, n_packets=90798, n_bytes=3984602092, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.14,nw_dst=10.0.1.12,tp_src=53204,tp_dst=5001 actions=set_field:00:00:00:00:01:0a->eth_dst,output:13
 cookie=0x0, duration=62.382s, table=0, n_packets=47697, n_bytes=3160978, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.12,nw_dst=10.0.0.14,tp_src=5001,tp_dst=53204 actions=set_field:00:00:00:00:00:0e->eth_dst,output:2
 cookie=0x0, duration=62.382s, table=0, n_packets=94269, n_bytes=4286633954, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.6,nw_dst=10.0.1.4,tp_src=44666,tp_dst=5001 actions=set_field:00:00:00:00:01:02->eth_dst,output:12
 cookie=0x0, duration=62.382s, table=0, n_packets=48777, n_bytes=3220382, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.4,nw_dst=10.0.0.6,tp_src=5001,tp_dst=44666 actions=set_field:00:00:00:00:00:06->eth_dst,output:2
 cookie=0x0, duration=62.366s, table=0, n_packets=86491, n_bytes=3919517878, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.10,nw_dst=10.0.1.8,tp_src=44334,tp_dst=5001 actions=set_field:00:00:00:00:01:06->eth_dst,output:12
