=== OVS Snapshot: pre_tcp @ 2026-04-20T00:11:30,742472463-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=9929.838s, table=0, n_packets=7292, n_bytes=437520, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=131.921s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.4,nw_dst=10.0.1.2,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:00->eth_dst,output:12
 cookie=0x0, duration=131.921s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=12,nw_src=10.0.1.2,nw_dst=10.0.0.4,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:04->eth_dst,output:2
 cookie=0x0, duration=131.921s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.0.253,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:00:fd->eth_dst,output:12
 cookie=0x0, duration=131.921s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=12,nw_src=10.0.0.253,nw_dst=10.0.0.1,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:01->eth_dst,output:2
 cookie=0x0, duration=131.893s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.2,nw_dst=10.0.0.254,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:00:fe->eth_dst,output:12
 cookie=0x0, duration=131.893s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=12,nw_src=10.0.0.254,nw_dst=10.0.0.2,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:02->eth_dst,output:2
 cookie=0x0, duration=131.893s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.3,nw_dst=10.0.1.1,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:00:ff->eth_dst,output:12
 cookie=0x0, duration=131.893s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=12,nw_src=10.0.1.1,nw_dst=10.0.0.3,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:03->eth_dst,output:2
 cookie=0x0, duration=131.893s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.7,nw_dst=10.0.1.5,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:03->eth_dst,output:12
 cookie=0x0, duration=131.893s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=12,nw_src=10.0.1.5,nw_dst=10.0.0.7,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:07->eth_dst,output:2
 cookie=0x0, duration=131.893s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.5,nw_dst=10.0.1.3,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:01->eth_dst,output:12
 cookie=0x0, duration=131.893s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=12,nw_src=10.0.1.3,nw_dst=10.0.0.5,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:05->eth_dst,output:2
 cookie=0x0, duration=131.872s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=3,nw_src=10.0.0.37,nw_dst=10.0.1.35,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:21->eth_dst,output:14
 cookie=0x0, duration=131.872s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.35,nw_dst=10.0.0.37,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:25->eth_dst,output:3
 cookie=0x0, duration=131.845s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.11,nw_dst=10.0.1.9,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:07->eth_dst,output:12
 cookie=0x0, duration=131.845s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=12,nw_src=10.0.1.9,nw_dst=10.0.0.11,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:0b->eth_dst,output:2
 cookie=0x0, duration=131.845s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.17,nw_dst=10.0.1.15,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:0d->eth_dst,output:13
 cookie=0x0, duration=131.845s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=13,nw_src=10.0.1.15,nw_dst=10.0.0.17,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:11->eth_dst,output:2
