=== OVS Snapshot: post_churn @ 2026-04-20T00:38:52,313717513-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=11571.411s, table=0, n_packets=8502, n_bytes=510120, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=16.775s, table=0, n_packets=8623, n_bytes=448448774, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.244,nw_dst=10.0.1.242,tp_src=34946,tp_dst=5001 actions=set_field:00:00:00:00:01:f0->eth_dst,output:22
 cookie=0x0, duration=16.775s, table=0, n_packets=2532, n_bytes=167228, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.242,nw_dst=10.0.0.244,tp_src=5001,tp_dst=34946 actions=set_field:00:00:00:00:00:f4->eth_dst,output:12
 cookie=0x0, duration=16.372s, table=0, n_packets=8163, n_bytes=455376302, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.251,nw_dst=10.0.1.249,tp_src=42514,tp_dst=5001 actions=set_field:00:00:00:00:01:f7->eth_dst,output:22
 cookie=0x0, duration=16.372s, table=0, n_packets=1981, n_bytes=130946, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.249,nw_dst=10.0.0.251,tp_src=5001,tp_dst=42514 actions=set_field:00:00:00:00:00:fb->eth_dst,output:12
 cookie=0x0, duration=16.358s, table=0, n_packets=6838, n_bytes=367198396, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.245,nw_dst=10.0.1.243,tp_src=47068,tp_dst=5001 actions=set_field:00:00:00:00:01:f1->eth_dst,output:22
 cookie=0x0, duration=16.358s, table=0, n_packets=1540, n_bytes=101744, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.243,nw_dst=10.0.0.245,tp_src=5001,tp_dst=47068 actions=set_field:00:00:00:00:00:f5->eth_dst,output:12
 cookie=0x0, duration=16.235s, table=0, n_packets=8168, n_bytes=439523880, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.167,nw_dst=10.0.1.165,tp_src=35254,tp_dst=5001 actions=set_field:00:00:00:00:01:a3->eth_dst,output:19
 cookie=0x0, duration=16.235s, table=0, n_packets=2082, n_bytes=137744, idle_timeout=15, priority=100,tcp,in_port=19,nw_src=10.0.1.165,nw_dst=10.0.0.167,tp_src=5001,tp_dst=35254 actions=set_field:00:00:00:00:00:a7->eth_dst,output:8
 cookie=0x0, duration=16.176s, table=0, n_packets=6, n_bytes=392, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.164,nw_dst=10.0.1.162,tp_src=56710,tp_dst=5001 actions=set_field:00:00:00:00:01:a0->eth_dst,output:19
 cookie=0x0, duration=16.176s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=19,nw_src=10.0.1.162,nw_dst=10.0.0.164,tp_src=5001,tp_dst=56710 actions=set_field:00:00:00:00:00:a4->eth_dst,output:8
 cookie=0x0, duration=16.176s, table=0, n_packets=6, n_bytes=392, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.162,nw_dst=10.0.1.160,tp_src=54574,tp_dst=5001 actions=set_field:00:00:00:00:01:9e->eth_dst,output:19
 cookie=0x0, duration=16.176s, table=0, n_packets=6, n_bytes=408, idle_timeout=15, priority=100,tcp,in_port=19,nw_src=10.0.1.160,nw_dst=10.0.0.162,tp_src=5001,tp_dst=54574 actions=set_field:00:00:00:00:00:a2->eth_dst,output:8
