=== OVS Snapshot: post_tcp @ 2026-04-20T00:33:39,234978811-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=11258.336s, table=0, n_packets=8264, n_bytes=495840, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=132.986s, table=0, n_packets=190523, n_bytes=8528539134, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.24,nw_dst=10.0.1.22,tp_src=40032,tp_dst=5001 actions=set_field:00:00:00:00:01:14->eth_dst,output:13
 cookie=0x0, duration=132.986s, table=0, n_packets=123005, n_bytes=8120862, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.22,nw_dst=10.0.0.24,tp_src=5001,tp_dst=40032 actions=set_field:00:00:00:00:00:18->eth_dst,output:2
 cookie=0x0, duration=132.986s, table=0, n_packets=163348, n_bytes=7679168944, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.17,nw_dst=10.0.1.15,tp_src=44654,tp_dst=5001 actions=set_field:00:00:00:00:01:0d->eth_dst,output:13
 cookie=0x0, duration=132.986s, table=0, n_packets=72115, n_bytes=4770026, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.15,nw_dst=10.0.0.17,tp_src=5001,tp_dst=44654 actions=set_field:00:00:00:00:00:11->eth_dst,output:2
 cookie=0x0, duration=132.986s, table=0, n_packets=195289, n_bytes=8422171778, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.14,nw_dst=10.0.1.12,tp_src=57108,tp_dst=5001 actions=set_field:00:00:00:00:01:0a->eth_dst,output:13
 cookie=0x0, duration=132.986s, table=0, n_packets=115717, n_bytes=7668770, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.12,nw_dst=10.0.0.14,tp_src=5001,tp_dst=57108 actions=set_field:00:00:00:00:00:0e->eth_dst,output:2
 cookie=0x0, duration=132.986s, table=0, n_packets=216313, n_bytes=9487412722, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.21,nw_dst=10.0.1.19,tp_src=52320,tp_dst=5001 actions=set_field:00:00:00:00:01:11->eth_dst,output:13
 cookie=0x0, duration=132.965s, table=0, n_packets=120712, n_bytes=8040048, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.19,nw_dst=10.0.0.21,tp_src=5001,tp_dst=52320 actions=set_field:00:00:00:00:00:15->eth_dst,output:2
 cookie=0x0, duration=132.965s, table=0, n_packets=183841, n_bytes=7936201506, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.22,nw_dst=10.0.1.20,tp_src=56306,tp_dst=5001 actions=set_field:00:00:00:00:01:12->eth_dst,output:13
 cookie=0x0, duration=132.965s, table=0, n_packets=109163, n_bytes=7267662, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.20,nw_dst=10.0.0.22,tp_src=5001,tp_dst=56306 actions=set_field:00:00:00:00:00:16->eth_dst,output:2
 cookie=0x0, duration=132.965s, table=0, n_packets=198184, n_bytes=8793744296, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.40,nw_dst=10.0.1.38,tp_src=33426,tp_dst=5001 actions=set_field:00:00:00:00:01:24->eth_dst,output:14
