=== OVS Snapshot: mid_tcp @ 2026-04-19T21:53:27,475587705-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=1648.429s, table=0, n_packets=1224, n_bytes=73440, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=62.103s, table=0, n_packets=95449, n_bytes=4283859122, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.0.253,tp_src=49496,tp_dst=5001 actions=set_field:00:00:00:00:00:fd->eth_dst,output:12
 cookie=0x0, duration=62.103s, table=0, n_packets=48058, n_bytes=3175376, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.253,nw_dst=10.0.0.1,tp_src=5001,tp_dst=49496 actions=set_field:00:00:00:00:00:01->eth_dst,output:2
 cookie=0x0, duration=62.095s, table=0, n_packets=94391, n_bytes=4265541078, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.2,nw_dst=10.0.0.254,tp_src=44702,tp_dst=5001 actions=set_field:00:00:00:00:00:fe->eth_dst,output:12
 cookie=0x0, duration=62.095s, table=0, n_packets=55156, n_bytes=3644016, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.254,nw_dst=10.0.0.2,tp_src=5001,tp_dst=44702 actions=set_field:00:00:00:00:00:02->eth_dst,output:2
 cookie=0x0, duration=62.086s, table=0, n_packets=89798, n_bytes=4029707828, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.6,nw_dst=10.0.1.4,tp_src=32916,tp_dst=5001 actions=set_field:00:00:00:00:01:02->eth_dst,output:12
 cookie=0x0, duration=62.086s, table=0, n_packets=43551, n_bytes=2886518, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.4,nw_dst=10.0.0.6,tp_src=5001,tp_dst=32916 actions=set_field:00:00:00:00:00:06->eth_dst,output:2
 cookie=0x0, duration=62.046s, table=0, n_packets=93736, n_bytes=4266710032, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.4,nw_dst=10.0.1.2,tp_src=34686,tp_dst=5001 actions=set_field:00:00:00:00:01:00->eth_dst,output:12
 cookie=0x0, duration=62.046s, table=0, n_packets=40237, n_bytes=2661218, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.2,nw_dst=10.0.0.4,tp_src=5001,tp_dst=34686 actions=set_field:00:00:00:00:00:04->eth_dst,output:2
 cookie=0x0, duration=62.026s, table=0, n_packets=89471, n_bytes=4109458910, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.3,nw_dst=10.0.1.1,tp_src=36344,tp_dst=5001 actions=set_field:00:00:00:00:00:ff->eth_dst,output:12
 cookie=0x0, duration=62.026s, table=0, n_packets=49512, n_bytes=3268112, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.1,nw_dst=10.0.0.3,tp_src=5001,tp_dst=36344 actions=set_field:00:00:00:00:00:03->eth_dst,output:2
 cookie=0x0, duration=62.026s, table=0, n_packets=99017, n_bytes=4226640218, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.21,nw_dst=10.0.1.19,tp_src=47830,tp_dst=5001 actions=set_field:00:00:00:00:01:11->eth_dst,output:13
 cookie=0x0, duration=62.026s, table=0, n_packets=62524, n_bytes=4162560, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.19,nw_dst=10.0.0.21,tp_src=5001,tp_dst=47830 actions=set_field:00:00:00:00:00:15->eth_dst,output:2
 cookie=0x0, duration=62.026s, table=0, n_packets=95683, n_bytes=4241586158, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.17,nw_dst=10.0.1.15,tp_src=43716,tp_dst=5001 actions=set_field:00:00:00:00:01:0d->eth_dst,output:13
 cookie=0x0, duration=62.026s, table=0, n_packets=55643, n_bytes=3684718, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.15,nw_dst=10.0.0.17,tp_src=5001,tp_dst=43716 actions=set_field:00:00:00:00:00:11->eth_dst,output:2
 cookie=0x0, duration=62.026s, table=0, n_packets=97114, n_bytes=4044047820, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.15,nw_dst=10.0.1.13,tp_src=49406,tp_dst=5001 actions=set_field:00:00:00:00:01:0b->eth_dst,output:13
 cookie=0x0, duration=62.026s, table=0, n_packets=62006, n_bytes=4137948, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.13,nw_dst=10.0.0.15,tp_src=5001,tp_dst=49406 actions=set_field:00:00:00:00:00:0f->eth_dst,output:2
 cookie=0x0, duration=62.026s, table=0, n_packets=73921, n_bytes=3522371130, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.22,nw_dst=10.0.1.20,tp_src=40242,tp_dst=5001 actions=set_field:00:00:00:00:01:12->eth_dst,output:13
 cookie=0x0, duration=62.026s, table=0, n_packets=25967, n_bytes=1743562, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.20,nw_dst=10.0.0.22,tp_src=5001,tp_dst=40242 actions=set_field:00:00:00:00:00:16->eth_dst,output:2
 cookie=0x0, duration=61.982s, table=0, n_packets=102810, n_bytes=4546666468, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.52,nw_dst=10.0.1.50,tp_src=60186,tp_dst=5001 actions=set_field:00:00:00:00:01:30->eth_dst,output:14
 cookie=0x0, duration=61.982s, table=0, n_packets=69209, n_bytes=4583618, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.50,nw_dst=10.0.0.52,tp_src=5001,tp_dst=60186 actions=set_field:00:00:00:00:00:34->eth_dst,output:4
 cookie=0x0, duration=61.982s, table=0, n_packets=89899, n_bytes=3871633822, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.63,nw_dst=10.0.1.61,tp_src=50884,tp_dst=5001 actions=set_field:00:00:00:00:01:3b->eth_dst,output:15
 cookie=0x0, duration=61.982s, table=0, n_packets=48013, n_bytes=3186314, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.61,nw_dst=10.0.0.63,tp_src=5001,tp_dst=50884 actions=set_field:00:00:00:00:00:3f->eth_dst,output:4
 cookie=0x0, duration=61.969s, table=0, n_packets=80283, n_bytes=3577043406, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.97,nw_dst=10.0.1.95,tp_src=53748,tp_dst=5001 actions=set_field:00:00:00:00:01:5d->eth_dst,output:16
 cookie=0x0, duration=61.969s, table=0, n_packets=35506, n_bytes=2400864, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.95,nw_dst=10.0.0.97,tp_src=5001,tp_dst=53748 actions=set_field:00:00:00:00:00:61->eth_dst,output:6
 cookie=0x0, duration=61.943s, table=0, n_packets=71918, n_bytes=3276050052, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.13,nw_dst=10.0.1.11,tp_src=52246,tp_dst=5001 actions=set_field:00:00:00:00:01:09->eth_dst,output:13
 cookie=0x0, duration=61.943s, table=0, n_packets=24714, n_bytes=1645416, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.11,nw_dst=10.0.0.13,tp_src=5001,tp_dst=52246 actions=set_field:00:00:00:00:00:0d->eth_dst,output:2
 cookie=0x0, duration=61.943s, table=0, n_packets=76913, n_bytes=3556256282, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.59,nw_dst=10.0.1.57,tp_src=54644,tp_dst=5001 actions=set_field:00:00:00:00:01:37->eth_dst,output:14
 cookie=0x0, duration=61.943s, table=0, n_packets=27949, n_bytes=1923406, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.57,nw_dst=10.0.0.59,tp_src=5001,tp_dst=54644 actions=set_field:00:00:00:00:00:3b->eth_dst,output:4
 cookie=0x0, duration=61.943s, table=0, n_packets=83131, n_bytes=3586454342, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.58,nw_dst=10.0.1.56,tp_src=57828,tp_dst=5001 actions=set_field:00:00:00:00:01:36->eth_dst,output:14
 cookie=0x0, duration=61.943s, table=0, n_packets=39959, n_bytes=2669158, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.56,nw_dst=10.0.0.58,tp_src=5001,tp_dst=57828 actions=set_field:00:00:00:00:00:3a->eth_dst,output:4
 cookie=0x0, duration=61.923s, table=0, n_packets=87935, n_bytes=3772293726, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.66,nw_dst=10.0.1.64,tp_src=46674,tp_dst=5001 actions=set_field:00:00:00:00:01:3e->eth_dst,output:15
