=== OVS Snapshot: post_udp @ 2026-04-19T21:50:10,368583673-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=1449.468s, table=0, n_packets=1087, n_bytes=65220, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=13.969s, table=0, n_packets=2, n_bytes=3024, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.11,nw_dst=10.0.0.13,tp_src=5001,tp_dst=46080 actions=set_field:00:00:00:00:00:0d->eth_dst,output:2
 cookie=0x0, duration=13.968s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.13,nw_dst=10.0.1.11,tp_src=46080,tp_dst=5001 actions=set_field:00:00:00:00:01:09->eth_dst,output:13
 cookie=0x0, duration=13.917s, table=0, n_packets=2, n_bytes=3024, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.12,nw_dst=10.0.0.14,tp_src=5001,tp_dst=54928 actions=set_field:00:00:00:00:00:0e->eth_dst,output:2
 cookie=0x0, duration=13.917s, table=0, n_packets=1047, n_bytes=1583064, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.14,nw_dst=10.0.1.12,tp_src=54928,tp_dst=5001 actions=set_field:00:00:00:00:01:0a->eth_dst,output:13
 cookie=0x0, duration=13.869s, table=0, n_packets=2, n_bytes=3024, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.13,nw_dst=10.0.0.15,tp_src=5001,tp_dst=58432 actions=set_field:00:00:00:00:00:0f->eth_dst,output:2
 cookie=0x0, duration=13.869s, table=0, n_packets=1047, n_bytes=1583064, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.15,nw_dst=10.0.1.13,tp_src=58432,tp_dst=5001 actions=set_field:00:00:00:00:01:0b->eth_dst,output:13
 cookie=0x0, duration=13.763s, table=0, n_packets=2, n_bytes=3024, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.20,nw_dst=10.0.0.22,tp_src=5001,tp_dst=40818 actions=set_field:00:00:00:00:00:16->eth_dst,output:2
 cookie=0x0, duration=13.763s, table=0, n_packets=1047, n_bytes=1583064, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.22,nw_dst=10.0.1.20,tp_src=40818,tp_dst=5001 actions=set_field:00:00:00:00:01:12->eth_dst,output:13
 cookie=0x0, duration=13.693s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.0.253,nw_dst=10.0.0.1,tp_src=5001,tp_dst=38879 actions=set_field:00:00:00:00:00:01->eth_dst,output:2
 cookie=0x0, duration=13.693s, table=0, n_packets=1049, n_bytes=1586088, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.0.253,tp_src=38879,tp_dst=5001 actions=set_field:00:00:00:00:00:fd->eth_dst,output:12
 cookie=0x0, duration=13.665s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.1,nw_dst=10.0.0.3,tp_src=5001,tp_dst=59088 actions=set_field:00:00:00:00:00:03->eth_dst,output:2
 cookie=0x0, duration=13.665s, table=0, n_packets=1049, n_bytes=1586088, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.3,nw_dst=10.0.1.1,tp_src=59088,tp_dst=5001 actions=set_field:00:00:00:00:00:ff->eth_dst,output:12
 cookie=0x0, duration=13.665s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.0.254,nw_dst=10.0.0.2,tp_src=5001,tp_dst=34095 actions=set_field:00:00:00:00:00:02->eth_dst,output:2
 cookie=0x0, duration=13.665s, table=0, n_packets=1049, n_bytes=1586088, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.2,nw_dst=10.0.0.254,tp_src=34095,tp_dst=5001 actions=set_field:00:00:00:00:00:fe->eth_dst,output:12
 cookie=0x0, duration=13.641s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.2,nw_dst=10.0.0.4,tp_src=5001,tp_dst=46794 actions=set_field:00:00:00:00:00:04->eth_dst,output:2
 cookie=0x0, duration=13.641s, table=0, n_packets=1049, n_bytes=1586088, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.4,nw_dst=10.0.1.2,tp_src=46794,tp_dst=5001 actions=set_field:00:00:00:00:01:00->eth_dst,output:12
 cookie=0x0, duration=13.641s, table=0, n_packets=3, n_bytes=4536, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.3,nw_dst=10.0.0.5,tp_src=5001,tp_dst=50924 actions=set_field:00:00:00:00:00:05->eth_dst,output:2
 cookie=0x0, duration=13.641s, table=0, n_packets=1048, n_bytes=1584576, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.5,nw_dst=10.0.1.3,tp_src=50924,tp_dst=5001 actions=set_field:00:00:00:00:01:01->eth_dst,output:12
 cookie=0x0, duration=13.616s, table=0, n_packets=3, n_bytes=4536, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.4,nw_dst=10.0.0.6,tp_src=5001,tp_dst=47869 actions=set_field:00:00:00:00:00:06->eth_dst,output:2
 cookie=0x0, duration=13.616s, table=0, n_packets=1048, n_bytes=1584576, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.6,nw_dst=10.0.1.4,tp_src=47869,tp_dst=5001 actions=set_field:00:00:00:00:01:02->eth_dst,output:12
 cookie=0x0, duration=13.566s, table=0, n_packets=3, n_bytes=4536, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.5,nw_dst=10.0.0.7,tp_src=5001,tp_dst=59043 actions=set_field:00:00:00:00:00:07->eth_dst,output:2
 cookie=0x0, duration=13.566s, table=0, n_packets=1048, n_bytes=1584576, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.7,nw_dst=10.0.1.5,tp_src=59043,tp_dst=5001 actions=set_field:00:00:00:00:01:03->eth_dst,output:12
 cookie=0x0, duration=13.566s, table=0, n_packets=4, n_bytes=6048, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.6,nw_dst=10.0.0.8,tp_src=5001,tp_dst=51026 actions=set_field:00:00:00:00:00:08->eth_dst,output:2
