=== OVS Snapshot: mid_tcp @ 2026-04-19T22:13:18,784898211-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=2839.288s, table=0, n_packets=2098, n_bytes=125880, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=61.805s, table=0, n_packets=104343, n_bytes=4662124910, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.36,nw_dst=10.0.1.34,tp_src=58478,tp_dst=5001 actions=set_field:00:00:00:00:01:20->eth_dst,output:13
 cookie=0x0, duration=61.805s, table=0, n_packets=57981, n_bytes=3828086, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.34,nw_dst=10.0.0.36,tp_src=5001,tp_dst=58478 actions=set_field:00:00:00:00:00:24->eth_dst,output:3
 cookie=0x0, duration=61.783s, table=0, n_packets=88618, n_bytes=3964787268, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.17,nw_dst=10.0.1.15,tp_src=54158,tp_dst=5001 actions=set_field:00:00:00:00:01:0d->eth_dst,output:13
 cookie=0x0, duration=61.783s, table=0, n_packets=49212, n_bytes=3249800, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.15,nw_dst=10.0.0.17,tp_src=5001,tp_dst=54158 actions=set_field:00:00:00:00:00:11->eth_dst,output:2
 cookie=0x0, duration=61.783s, table=0, n_packets=91593, n_bytes=3755115066, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.15,nw_dst=10.0.1.13,tp_src=33584,tp_dst=5001 actions=set_field:00:00:00:00:01:0b->eth_dst,output:13
 cookie=0x0, duration=61.783s, table=0, n_packets=47223, n_bytes=3122494, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.13,nw_dst=10.0.0.15,tp_src=5001,tp_dst=33584 actions=set_field:00:00:00:00:00:0f->eth_dst,output:2
 cookie=0x0, duration=61.783s, table=0, n_packets=94388, n_bytes=4156909344, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.21,nw_dst=10.0.1.19,tp_src=55628,tp_dst=5001 actions=set_field:00:00:00:00:01:11->eth_dst,output:13
 cookie=0x0, duration=61.783s, table=0, n_packets=49690, n_bytes=3280892, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.19,nw_dst=10.0.0.21,tp_src=5001,tp_dst=55628 actions=set_field:00:00:00:00:00:15->eth_dst,output:2
 cookie=0x0, duration=61.783s, table=0, n_packets=80846, n_bytes=3491750412, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.23,nw_dst=10.0.1.21,tp_src=33480,tp_dst=5001 actions=set_field:00:00:00:00:01:13->eth_dst,output:13
 cookie=0x0, duration=61.783s, table=0, n_packets=43463, n_bytes=2938086, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.21,nw_dst=10.0.0.23,tp_src=5001,tp_dst=33480 actions=set_field:00:00:00:00:00:17->eth_dst,output:2
 cookie=0x0, duration=61.783s, table=0, n_packets=91935, n_bytes=4022351246, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.11,nw_dst=10.0.1.9,tp_src=54282,tp_dst=5001 actions=set_field:00:00:00:00:01:07->eth_dst,output:12
