=== OVS Snapshot: mid_churn @ 2026-04-19T22:39:11,136218311-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=4390.330s, table=0, n_packets=3226, n_bytes=193560, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=11.151s, table=0, n_packets=7091, n_bytes=325281390, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.12,nw_dst=10.0.1.10,tp_src=43030,tp_dst=5001 actions=set_field:00:00:00:00:01:08->eth_dst,output:12
 cookie=0x0, duration=11.151s, table=0, n_packets=3533, n_bytes=233466, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.10,nw_dst=10.0.0.12,tp_src=5001,tp_dst=43030 actions=set_field:00:00:00:00:00:0c->eth_dst,output:2
 cookie=0x0, duration=11.127s, table=0, n_packets=1811, n_bytes=93840766, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.20,nw_dst=10.0.1.18,tp_src=42538,tp_dst=5001 actions=set_field:00:00:00:00:01:10->eth_dst,output:13
 cookie=0x0, duration=11.127s, table=0, n_packets=447, n_bytes=29558, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.18,nw_dst=10.0.0.20,tp_src=5001,tp_dst=42538 actions=set_field:00:00:00:00:00:14->eth_dst,output:2
 cookie=0x0, duration=11.126s, table=0, n_packets=1543, n_bytes=79420886, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.18,nw_dst=10.0.1.16,tp_src=55010,tp_dst=5001 actions=set_field:00:00:00:00:01:0e->eth_dst,output:13
 cookie=0x0, duration=11.126s, table=0, n_packets=494, n_bytes=32924, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.16,nw_dst=10.0.0.18,tp_src=5001,tp_dst=55010 actions=set_field:00:00:00:00:00:12->eth_dst,output:2
 cookie=0x0, duration=11.126s, table=0, n_packets=1445, n_bytes=73776642, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.41,nw_dst=10.0.1.39,tp_src=49926,tp_dst=5001 actions=set_field:00:00:00:00:01:25->eth_dst,output:14
 cookie=0x0, duration=11.126s, table=0, n_packets=438, n_bytes=29200, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.39,nw_dst=10.0.0.41,tp_src=5001,tp_dst=49926 actions=set_field:00:00:00:00:00:29->eth_dst,output:3
 cookie=0x0, duration=11.126s, table=0, n_packets=1249, n_bytes=54878914, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.40,nw_dst=10.0.1.38,tp_src=53844,tp_dst=5001 actions=set_field:00:00:00:00:01:24->eth_dst,output:14
 cookie=0x0, duration=11.126s, table=0, n_packets=366, n_bytes=24248, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.38,nw_dst=10.0.0.40,tp_src=5001,tp_dst=53844 actions=set_field:00:00:00:00:00:28->eth_dst,output:3
 cookie=0x0, duration=11.126s, table=0, n_packets=2349, n_bytes=119304906, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.37,nw_dst=10.0.1.35,tp_src=57684,tp_dst=5001 actions=set_field:00:00:00:00:01:21->eth_dst,output:14
 cookie=0x0, duration=11.126s, table=0, n_packets=680, n_bytes=44936, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.35,nw_dst=10.0.0.37,tp_src=5001,tp_dst=57684 actions=set_field:00:00:00:00:00:25->eth_dst,output:3
 cookie=0x0, duration=11.108s, table=0, n_packets=1549, n_bytes=78881530, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.13,nw_dst=10.0.1.11,tp_src=39076,tp_dst=5001 actions=set_field:00:00:00:00:01:09->eth_dst,output:13
 cookie=0x0, duration=11.108s, table=0, n_packets=423, n_bytes=27974, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.11,nw_dst=10.0.0.13,tp_src=5001,tp_dst=39076 actions=set_field:00:00:00:00:00:0d->eth_dst,output:2
 cookie=0x0, duration=11.108s, table=0, n_packets=1708, n_bytes=67354872, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.17,nw_dst=10.0.1.15,tp_src=48100,tp_dst=5001 actions=set_field:00:00:00:00:01:0d->eth_dst,output:13
 cookie=0x0, duration=11.108s, table=0, n_packets=477, n_bytes=31514, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.15,nw_dst=10.0.0.17,tp_src=5001,tp_dst=48100 actions=set_field:00:00:00:00:00:11->eth_dst,output:2
 cookie=0x0, duration=11.108s, table=0, n_packets=1857, n_bytes=93972450, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.52,nw_dst=10.0.1.50,tp_src=58200,tp_dst=5001 actions=set_field:00:00:00:00:01:30->eth_dst,output:14
 cookie=0x0, duration=11.108s, table=0, n_packets=408, n_bytes=26972, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.50,nw_dst=10.0.0.52,tp_src=5001,tp_dst=58200 actions=set_field:00:00:00:00:00:34->eth_dst,output:4
 cookie=0x0, duration=11.108s, table=0, n_packets=1173, n_bytes=31409666, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.51,nw_dst=10.0.1.49,tp_src=54342,tp_dst=5001 actions=set_field:00:00:00:00:01:2f->eth_dst,output:14
 cookie=0x0, duration=11.108s, table=0, n_packets=368, n_bytes=24344, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.49,nw_dst=10.0.0.51,tp_src=5001,tp_dst=54342 actions=set_field:00:00:00:00:00:33->eth_dst,output:4
 cookie=0x0, duration=11.089s, table=0, n_packets=1908, n_bytes=90967536, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.65,nw_dst=10.0.1.63,tp_src=49858,tp_dst=5001 actions=set_field:00:00:00:00:01:3d->eth_dst,output:15
 cookie=0x0, duration=11.089s, table=0, n_packets=542, n_bytes=35864, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.63,nw_dst=10.0.0.65,tp_src=5001,tp_dst=49858 actions=set_field:00:00:00:00:00:41->eth_dst,output:4
 cookie=0x0, duration=11.089s, table=0, n_packets=1444, n_bytes=62095744, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.19,nw_dst=10.0.1.17,tp_src=48654,tp_dst=5001 actions=set_field:00:00:00:00:01:0f->eth_dst,output:13
 cookie=0x0, duration=11.089s, table=0, n_packets=418, n_bytes=27644, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.17,nw_dst=10.0.0.19,tp_src=5001,tp_dst=48654 actions=set_field:00:00:00:00:00:13->eth_dst,output:2
 cookie=0x0, duration=11.073s, table=0, n_packets=1449, n_bytes=71149378, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.6,nw_dst=10.0.1.4,tp_src=34470,tp_dst=5001 actions=set_field:00:00:00:00:01:02->eth_dst,output:12
 cookie=0x0, duration=11.073s, table=0, n_packets=491, n_bytes=32558, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.4,nw_dst=10.0.0.6,tp_src=5001,tp_dst=34470 actions=set_field:00:00:00:00:00:06->eth_dst,output:2
 cookie=0x0, duration=11.073s, table=0, n_packets=1396, n_bytes=64977032, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.23,nw_dst=10.0.1.21,tp_src=56672,tp_dst=5001 actions=set_field:00:00:00:00:01:13->eth_dst,output:13
 cookie=0x0, duration=11.073s, table=0, n_packets=466, n_bytes=30800, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.21,nw_dst=10.0.0.23,tp_src=5001,tp_dst=56672 actions=set_field:00:00:00:00:00:17->eth_dst,output:2
 cookie=0x0, duration=11.073s, table=0, n_packets=1834, n_bytes=93051724, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.53,nw_dst=10.0.1.51,tp_src=43158,tp_dst=5001 actions=set_field:00:00:00:00:01:31->eth_dst,output:14
 cookie=0x0, duration=11.073s, table=0, n_packets=442, n_bytes=29192, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.51,nw_dst=10.0.0.53,tp_src=5001,tp_dst=43158 actions=set_field:00:00:00:00:00:35->eth_dst,output:4
 cookie=0x0, duration=11.073s, table=0, n_packets=1553, n_bytes=67473514, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.54,nw_dst=10.0.1.52,tp_src=57750,tp_dst=5001 actions=set_field:00:00:00:00:01:32->eth_dst,output:14
 cookie=0x0, duration=11.073s, table=0, n_packets=617, n_bytes=40730, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.52,nw_dst=10.0.0.54,tp_src=5001,tp_dst=57750 actions=set_field:00:00:00:00:00:36->eth_dst,output:4
 cookie=0x0, duration=11.073s, table=0, n_packets=1470, n_bytes=59999020, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.50,nw_dst=10.0.1.48,tp_src=60784,tp_dst=5001 actions=set_field:00:00:00:00:01:2e->eth_dst,output:14
 cookie=0x0, duration=11.073s, table=0, n_packets=409, n_bytes=27014, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.48,nw_dst=10.0.0.50,tp_src=5001,tp_dst=60784 actions=set_field:00:00:00:00:00:32->eth_dst,output:4
 cookie=0x0, duration=11.056s, table=0, n_packets=1507, n_bytes=70758430, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.72,nw_dst=10.0.1.70,tp_src=53672,tp_dst=5001 actions=set_field:00:00:00:00:01:44->eth_dst,output:15
