=== OVS Snapshot: post_tcp @ 2026-04-19T22:54:29,641837174-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=5308.750s, table=0, n_packets=3889, n_bytes=233340, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=133.852s, table=0, n_packets=160705, n_bytes=7252615714, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.0.253,tp_src=47246,tp_dst=5001 actions=set_field:00:00:00:00:00:fd->eth_dst,output:12
 cookie=0x0, duration=133.852s, table=0, n_packets=90266, n_bytes=5961192, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.253,nw_dst=10.0.0.1,tp_src=5001,tp_dst=47246 actions=set_field:00:00:00:00:00:01->eth_dst,output:2
 cookie=0x0, duration=133.852s, table=0, n_packets=156823, n_bytes=7151438718, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.16,nw_dst=10.0.1.14,tp_src=38842,tp_dst=5001 actions=set_field:00:00:00:00:01:0c->eth_dst,output:13
 cookie=0x0, duration=133.852s, table=0, n_packets=81569, n_bytes=5390266, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.14,nw_dst=10.0.0.16,tp_src=5001,tp_dst=38842 actions=set_field:00:00:00:00:00:10->eth_dst,output:2
 cookie=0x0, duration=133.787s, table=0, n_packets=145816, n_bytes=6694264608, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.2,nw_dst=10.0.0.254,tp_src=47954,tp_dst=5001 actions=set_field:00:00:00:00:00:fe->eth_dst,output:12
 cookie=0x0, duration=133.787s, table=0, n_packets=58883, n_bytes=3922766, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.254,nw_dst=10.0.0.2,tp_src=5001,tp_dst=47954 actions=set_field:00:00:00:00:00:02->eth_dst,output:2
 cookie=0x0, duration=133.767s, table=0, n_packets=162798, n_bytes=7207253164, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.3,nw_dst=10.0.1.1,tp_src=44656,tp_dst=5001 actions=set_field:00:00:00:00:00:ff->eth_dst,output:12
 cookie=0x0, duration=133.767s, table=0, n_packets=103854, n_bytes=6856104, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.1,nw_dst=10.0.0.3,tp_src=5001,tp_dst=44656 actions=set_field:00:00:00:00:00:03->eth_dst,output:2
 cookie=0x0, duration=133.733s, table=0, n_packets=149829, n_bytes=6940997586, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.5,nw_dst=10.0.1.3,tp_src=45852,tp_dst=5001 actions=set_field:00:00:00:00:01:01->eth_dst,output:12
 cookie=0x0, duration=133.733s, table=0, n_packets=74919, n_bytes=4954238, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.3,nw_dst=10.0.0.5,tp_src=5001,tp_dst=45852 actions=set_field:00:00:00:00:00:05->eth_dst,output:2
 cookie=0x0, duration=133.726s, table=0, n_packets=165746, n_bytes=7421926476, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.4,nw_dst=10.0.1.2,tp_src=45832,tp_dst=5001 actions=set_field:00:00:00:00:01:00->eth_dst,output:12
 cookie=0x0, duration=133.726s, table=0, n_packets=86292, n_bytes=5695868, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.2,nw_dst=10.0.0.4,tp_src=5001,tp_dst=45832 actions=set_field:00:00:00:00:00:04->eth_dst,output:2
 cookie=0x0, duration=133.700s, table=0, n_packets=150699, n_bytes=7025871406, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.11,nw_dst=10.0.1.9,tp_src=39224,tp_dst=5001 actions=set_field:00:00:00:00:01:07->eth_dst,output:12
 cookie=0x0, duration=133.700s, table=0, n_packets=73176, n_bytes=4830920, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.9,nw_dst=10.0.0.11,tp_src=5001,tp_dst=39224 actions=set_field:00:00:00:00:00:0b->eth_dst,output:2
 cookie=0x0, duration=133.670s, table=0, n_packets=159814, n_bytes=7050734084, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.39,nw_dst=10.0.1.37,tp_src=47018,tp_dst=5001 actions=set_field:00:00:00:00:01:23->eth_dst,output:14
 cookie=0x0, duration=133.670s, table=0, n_packets=93389, n_bytes=6191266, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.37,nw_dst=10.0.0.39,tp_src=5001,tp_dst=47018 actions=set_field:00:00:00:00:00:27->eth_dst,output:3
 cookie=0x0, duration=133.653s, table=0, n_packets=157234, n_bytes=7101896092, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.69,nw_dst=10.0.1.67,tp_src=46088,tp_dst=5001 actions=set_field:00:00:00:00:01:41->eth_dst,output:15
 cookie=0x0, duration=133.653s, table=0, n_packets=82581, n_bytes=5457174, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.67,nw_dst=10.0.0.69,tp_src=5001,tp_dst=46088 actions=set_field:00:00:00:00:00:45->eth_dst,output:4
 cookie=0x0, duration=133.615s, table=0, n_packets=158464, n_bytes=7141537936, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.25,nw_dst=10.0.1.23,tp_src=59270,tp_dst=5001 actions=set_field:00:00:00:00:01:15->eth_dst,output:13
 cookie=0x0, duration=133.614s, table=0, n_packets=93281, n_bytes=6168042, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.23,nw_dst=10.0.0.25,tp_src=5001,tp_dst=59270 actions=set_field:00:00:00:00:00:19->eth_dst,output:3
 cookie=0x0, duration=133.614s, table=0, n_packets=160635, n_bytes=7323248774, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.40,nw_dst=10.0.1.38,tp_src=38154,tp_dst=5001 actions=set_field:00:00:00:00:01:24->eth_dst,output:14
 cookie=0x0, duration=133.614s, table=0, n_packets=90922, n_bytes=6002276, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.38,nw_dst=10.0.0.40,tp_src=5001,tp_dst=38154 actions=set_field:00:00:00:00:00:28->eth_dst,output:3
 cookie=0x0, duration=133.594s, table=0, n_packets=143261, n_bytes=6577621434, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.60,nw_dst=10.0.1.58,tp_src=41304,tp_dst=5001 actions=set_field:00:00:00:00:01:38->eth_dst,output:14
 cookie=0x0, duration=133.594s, table=0, n_packets=61397, n_bytes=4061050, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.58,nw_dst=10.0.0.60,tp_src=5001,tp_dst=41304 actions=set_field:00:00:00:00:00:3c->eth_dst,output:4
