=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Large (~500+ hosts, 48-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
------------------------------ --------   --------   --------   --------  
h1->h253                        0.013     0.110      32.345     0%        
h2->h254                        0.013     0.071      8.793      0%        
h3->h255                        0.013     0.100      31.500     0%        
h4->h256                        0.013     0.059      8.514      0%        
h5->h257                        0.013     0.101      31.372     0%        
h6->h258                        0.014     0.061      8.276      0%        
h7->h259                        0.013     0.208      98.144     0%        
h8->h260                        0.015     0.582      320.193    0%        
h9->h261                        0.013     0.325      162.575    0%        
h10->h262                       0.013     0.714      393.161    0%        
h11->h263                       0.014     0.747      414.968    0%        
h12->h264                       0.013     0.204      96.003     0%        
h13->h265                       0.014     1.271      479.250    0%        
h14->h266                       0.013     0.614      339.575    0%        
h15->h267                       0.015     0.126      39.526     0%        
h16->h268                       0.013     0.580      317.140    0%        
h17->h269                       0.014     0.115      41.366     0%        
h18->h270                       0.013     0.093      24.377     0%        
h19->h271                       0.014     0.092      25.323     0%        
h20->h272                       0.013     0.579      318.566    0%        
h21->h273                       0.012     0.589      320.790    0%        
h22->h274                       0.013     0.107      41.133     0%        
h23->h275                       0.014     0.229      110.452    0%        
h24->h276                       0.012     0.110      36.369     0%        
h25->h277                       0.014     0.280      135.224    0%        
h26->h278                       0.013     0.346      171.849    0%        
h27->h279                       0.013     0.277      130.625    0%        
h28->h280                       0.013     0.153      64.818     0%        
h29->h281                       0.013     0.335      168.877    0%        
h30->h282                       0.013     0.331      171.286    0%        
h31->h283                       0.014     0.339      169.397    0%        
h32->h284                       0.013     0.476      255.762    0%        
h33->h285                       0.014     0.525      287.126    0%        
h34->h286                       0.012     0.459      249.904    0%        
h35->h287                       0.013     0.263      131.524    0%        
h36->h288                       0.012     0.222      107.838    0%        
h37->h289                       0.013     0.478      260.679    0%        
h38->h290                       0.013     0.240      118.591    0%        
h39->h291                       0.013     0.350      177.849    0%        
h40->h292                       0.013     0.489      260.072    0%        
h41->h293                       0.012     0.179      81.146     0%        
h42->h294                       0.014     0.528      286.881    0%        
h43->h295                       0.013     0.536      288.209    0%        
h44->h296                       0.012     0.261      120.633    0%        
h45->h297                       0.011     0.534      286.073    0%        
h46->h298                       0.012     0.574      311.813    0%        
h47->h299                       0.012     0.587      323.502    0%        
h48->h300                       0.011     0.580      317.396    0%        
h49->h301                       0.014     0.207      99.395     0%        
h50->h302                       0.014     0.268      128.724    0%        
h51->h303                       0.013     0.212      95.533     0%        
h52->h304                       0.012     0.266      130.752    0%        
h53->h305                       0.013     0.919      519.770    0%        
h54->h306                       0.013     0.250      124.356    0%        
h55->h307                       0.014     0.210      96.972     0%        
h56->h308                       0.013     0.205      94.431     0%        
h57->h309                       0.012     0.277      137.379    0%        
h58->h310                       0.013     0.852      487.825    0%        
h59->h311                       0.012     0.200      95.035     0%        
h60->h312                       0.012     0.253      125.580    0%        
h61->h313                       0.013     0.266      130.436    0%        
h62->h314                       0.013     0.343      165.446    0%        
h63->h315                       0.013     0.254      125.200    0%        
h64->h316                       0.013     0.332      171.190    0%        
h65->h317                       0.012     0.797      449.643    0%        
h66->h318                       0.013     0.255      122.227    0%        
h67->h319                       0.012     0.327      168.980    0%        
h68->h320                       0.013     0.274      123.054    0%        
h69->h321                       0.012     0.813      459.916    0%        
h70->h322                       0.013     0.273      129.801    0%        
h71->h323                       0.013     0.264      128.173    0%        
h72->h324                       0.012     0.328      173.894    0%        
h73->h325                       0.013     0.300      152.849    0%        
h74->h326                       0.014     0.607      333.255    0%        
h75->h327                       0.012     0.304      153.778    0%        
h76->h328                       0.012     0.327      167.831    0%        
h77->h329                       0.011     0.615      343.410    0%        
h78->h330                       0.012     0.633      351.621    0%        
h79->h331                       0.012     0.328      159.430    0%        
h80->h332                       0.012     0.309      150.694    0%        
h81->h333                       0.012     0.301      145.629    0%        
h82->h334                       0.013     0.347      176.691    0%        
h83->h335                       0.012     0.970      554.989    0%        
h84->h336                       0.013     0.297      146.493    0%        
h85->h337                       0.013     0.352      180.316    0%        
h86->h338                       0.013     0.679      375.881    0%        
h87->h339                       0.012     0.352      180.761    0%        
h88->h340                       0.012     0.877      286.548    0%        
h89->h341                       0.012     0.922      526.964    0%        
h90->h342                       0.014     0.310      151.138    0%        
h91->h343                       0.013     0.900      308.013    0%        
h92->h344                       0.012     0.354      180.124    0%        
h93->h345                       0.013     0.330      175.579    0%        
h94->h346                       0.013     0.333      168.117    0%        
h95->h347                       0.013     0.872      274.473    0%        
h96->h348                       0.012     0.329      167.239    0%        
h97->h349                       0.013     0.363      178.692    0%        
h98->h350                       0.012     0.353      179.770    0%        
h99->h351                       0.012     0.348      176.172    0%        
h100->h352                      0.014     0.362      181.408    0%        
h101->h353                      0.013     0.359      187.490    0%        
h102->h354                      0.013     0.363      184.525    0%        
h103->h355                      0.012     1.003      574.352    0%        
h104->h356                      0.013     0.356      184.653    0%        
h105->h357                      0.011     0.372      196.419    0%        
h106->h358                      0.013     0.349      181.386    0%        
h107->h359                      0.014     1.054      601.343    0%        
h108->h360                      0.012     0.378      194.473    0%        
h109->h361                      0.012     1.025      583.171    0%        
h110->h362                      0.014     1.066      613.508    0%        
h111->h363                      0.011     0.719      398.920    0%        
h112->h364                      0.014     0.971      549.510    0%        
h113->h365                      0.012     1.052      603.718    0%        
h114->h366                      0.012     1.092      613.378    0%        
h115->h367                      0.013     0.365      193.001    0%        
h116->h368                      0.012     1.042      586.548    0%        
h117->h369                      0.013     1.164      672.727    0%        
h118->h370                      0.012     1.015      578.773    0%        
h119->h371                      0.013     1.066      611.669    0%        
h120->h372                      0.012     1.052      597.866    0%        
h121->h373                      0.013     0.979      340.721    0%        
h122->h374                      0.013     0.884      288.417    0%        
h123->h375                      0.012     0.370      194.339    0%        
h124->h376                      0.014     0.386      195.665    0%        
h125->h377                      0.013     1.130      440.462    0%        
h126->h378                      0.013     1.004      356.674    0%        
h127->h379                      0.012     1.987      741.620    0%        
h128->h380                      0.012     0.377      192.212    0%        
h129->h381                      0.013     0.353      189.431    0%        
h130->h382                      0.012     1.908      702.301    0%        
h131->h383                      0.013     1.054      381.976    0%        
h132->h384                      0.013     1.986      728.888    0%        
h133->h385                      0.013     1.936      728.798    0%        
h134->h386                      0.013     1.902      717.996    0%        
h135->h387                      0.013     1.014      352.350    0%        
h136->h388                      0.013     1.005      364.310    0%        
h137->h389                      0.014     0.369      185.701    0%        
h138->h390                      0.012     1.869      692.818    0%        
h139->h391                      0.013     2.025      734.916    0%        
h140->h392                      0.013     1.852      703.917    0%        
h141->h393                      0.013     1.018      363.806    0%        
h142->h394                      0.012     0.927      312.327    0%        
h143->h395                      0.014     1.026      368.547    0%        
h144->h396                      0.013     1.158      440.916    0%        
h145->h397                      0.014     1.612      633.140    0%        
h146->h398                      0.012     1.515      552.348    0%        
h147->h399                      0.013     1.850      744.794    0%        
h148->h400                      0.013     2.068      794.798    0%        
h149->h401                      0.012     1.124      647.182    0%        
h150->h402                      0.013     2.194      827.873    0%        
h151->h403                      0.012     1.772      599.296    0%        
h152->h404                      0.012     1.571      558.023    0%        
h153->h405                      0.012     1.899      761.717    0%        
h154->h406                      0.012     1.626      583.090    0%        
h155->h407                      0.012     2.255      885.135    0%        
h156->h408                      0.013     9.490      5192.663   0%        
h157->h409                      0.012     2.160      804.890    0%        
h158->h410                      0.012     1.140      657.182    0%        
h159->h411                      0.012     2.010      775.783    0%        
h160->h412                      0.012     2.008      794.172    0%        
h161->h413                      0.013     1.664      573.635    0%        
h162->h414                      0.012     1.111      631.442    0%        
h163->h415                      0.012     1.113      371.927    0%        
h164->h416                      0.013     1.576      558.429    0%        
h165->h417                      0.011     1.516      550.523    0%        
h166->h418                      0.012     1.758      593.220    0%        
h167->h419                      0.012     7.583      4046.446   0%        
h168->h420                      0.012     2.091      788.651    0%        
h169->h421                      0.013     0.965      329.887    0%        
h170->h422                      0.013     0.970      336.085    0%        
h171->h423                      0.012     1.875      759.364    0%        
h172->h424                      0.013     1.030      358.219    0%        
h173->h425                      0.011     1.928      771.410    0%        
h174->h426                      0.013     1.140      404.471    0%        
h175->h427                      0.014     2.851      713.281    0%        
h176->h428                      0.014     15.016     7798.925   0%        
h177->h429                      0.012     9.907      5438.767   0%        
h178->h430                      0.012     2.685      689.154    0%        
h179->h431                      0.012     1.049      364.255    0%        
h180->h432                      0.012     1.920      770.613    0%        
h181->h433                      0.013     2.078      777.860    0%        
h182->h434                      0.012     3.740      1789.902   0%        
h183->h435                      0.012     1.132      389.665    0%        
h184->h436                      0.013     7.007      3688.966   0%        
h185->h437                      0.013     17.026     8969.625   0%        
h186->h438                      0.013     1.085      382.053    0%        
h187->h439                      0.014     1.415      446.194    0%        
h188->h440                      0.013     1.054      369.816    0%        
h189->h441                      0.012     1.352      458.353    0%        
h190->h442                      0.012     19.497     10441.877  0%        
h191->h443                      0.014     1.725      590.650    0%        
h192->h444                      0.012     1.240      449.847    0%        
h193->h445                      0.012     1.165      418.618    0%        
h194->h446                      0.013     0.959      328.657    0%        
h195->h447                      0.014     0.976      342.810    0%        
h196->h448                      0.012     0.948      319.781    0%        
h197->h449                      0.012     0.993      348.575    0%        
h198->h450                      0.013     2.758      735.264    0%        
h199->h451                      0.013     1.028      362.393    0%        
h200->h452                      0.014     0.990      348.576    0%        
h201->h453                      0.013     1.500      474.327    0%        
h202->h454                      0.013     1.103      397.474    0%        
h203->h455                      0.012     0.968      338.402    0%        
h204->h456                      0.012     1.321      442.299    0%        
h205->h457                      0.012     2.375      966.970    0%        
h206->h458                      0.012     2.620      1079.861   0%        
h207->h459                      0.012     1.847      660.295    0%        
h208->h460                      0.014     2.249      872.730    0%        
h209->h461                      0.012     1.053      373.809    0%        
h210->h462                      0.012     2.913      781.684    0%        
h211->h463                      0.012     2.923      781.641    0%        
h212->h464                      0.013     2.506      1005.410   0%        
h213->h465                      0.013     1.067      384.724    0%        
h214->h466                      0.015     3.011      806.424    0%        
h215->h467                      0.013     2.062      780.676    0%        
h216->h468                      0.012     4.244      1262.080   0%        
h217->h469                      0.013     1.215      427.761    0%        
h218->h470                      0.012     1.180      400.696    0%        
h219->h471                      0.013     0.937      333.109    0%        
h220->h472                      0.012     1.134      412.450    0%        
h221->h473                      0.013     1.257      412.426    0%        
h222->h474                      0.012     2.922      802.380    0%        
h223->h475                      0.014     0.947      338.284    0%        
h224->h476                      0.014     1.335      451.484    0%        
h225->h477                      0.012     2.956      802.302    0%        
h226->h478                      0.012     1.050      389.575    0%        
h227->h479                      0.013     0.971      350.445    0%        
h228->h480                      0.013     1.484      458.924    0%        
h229->h481                      0.013     1.016      357.946    0%        
h230->h482                      0.014     1.032      365.864    0%        
h231->h483                      0.013     1.622      560.730    0%        
h232->h484                      0.013     3.048      818.365    0%        
h233->h485                      0.012     3.059      818.475    0%        
h234->h486                      0.011     3.055      818.420    0%        
h235->h487                      0.012     1.371      437.599    0%        
h236->h488                      0.012     2.967      800.747    0%        
h237->h489                      0.013     4.026      1140.533   0%        
h238->h490                      0.013     4.333      1253.723   0%        
h239->h491                      0.012     4.211      1216.069   0%        
h240->h492                      0.014     2.512      1018.467   0%        
h241->h493                      0.012     1.587      551.452    0%        
h242->h494                      0.013     0.914      518.925    0%        
h243->h495                      0.013     0.948      536.468    0%        
h244->h496                      0.012     0.914      518.253    0%        
h245->h497                      0.012     1.032      344.812    0%        
h246->h498                      0.013     0.925      328.066    0%        
h247->h499                      0.013     1.536      551.947    0%        
h248->h500                      0.013     1.262      390.249    0%        
h249->h501                      0.014     2.188      896.521    0%        
h250->h502                      0.013     1.196      402.553    0%        
h251->h503                      0.013     0.979      348.747    0%        
h252->h504                      0.012     1.952      769.543    0%        

Topology mean RTT : 1.375 ms  (across 252 pairs)
