=== OVS Snapshot: during_ping @ 2026-04-19T23:09:51,103959007-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=6230.210s, table=0, n_packets=4564, n_bytes=273840, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=14.995s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=18,nw_src=10.0.1.143,nw_dst=10.0.0.145,tp_src=5001,tp_dst=59198 actions=set_field:00:00:00:00:00:91->eth_dst,output:8
 cookie=0x0, duration=14.984s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=18,nw_src=10.0.1.145,nw_dst=10.0.0.147,tp_src=5001,tp_dst=47329 actions=set_field:00:00:00:00:00:93->eth_dst,output:8
 cookie=0x0, duration=14.984s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=8,nw_src=10.0.0.147,nw_dst=10.0.1.145,tp_src=47329,tp_dst=5001 actions=set_field:00:00:00:00:01:8f->eth_dst,output:18
 cookie=0x0, duration=14.982s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=18,nw_src=10.0.1.144,nw_dst=10.0.0.146,tp_src=5001,tp_dst=48741 actions=set_field:00:00:00:00:00:92->eth_dst,output:8
 cookie=0x0, duration=14.953s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=18,nw_src=10.0.1.146,nw_dst=10.0.0.148,tp_src=5001,tp_dst=49534 actions=set_field:00:00:00:00:00:94->eth_dst,output:8
 cookie=0x0, duration=14.953s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=8,nw_src=10.0.0.148,nw_dst=10.0.1.146,tp_src=49534,tp_dst=5001 actions=set_field:00:00:00:00:01:90->eth_dst,output:18
 cookie=0x0, duration=14.944s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=18,nw_src=10.0.1.147,nw_dst=10.0.0.149,tp_src=5001,tp_dst=34096 actions=set_field:00:00:00:00:00:95->eth_dst,output:8
 cookie=0x0, duration=14.944s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=8,nw_src=10.0.0.149,nw_dst=10.0.1.147,tp_src=34096,tp_dst=5001 actions=set_field:00:00:00:00:01:91->eth_dst,output:18
 cookie=0x0, duration=14.929s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=18,nw_src=10.0.1.148,nw_dst=10.0.0.150,tp_src=5001,tp_dst=51770 actions=set_field:00:00:00:00:00:96->eth_dst,output:8
 cookie=0x0, duration=14.929s, table=0, n_packets=1045, n_bytes=1580040, idle_timeout=15, priority=100,udp,in_port=8,nw_src=10.0.0.150,nw_dst=10.0.1.148,tp_src=51770,tp_dst=5001 actions=set_field:00:00:00:00:01:92->eth_dst,output:18
 cookie=0x0, duration=14.927s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=18,nw_src=10.0.1.149,nw_dst=10.0.0.151,tp_src=5001,tp_dst=46760 actions=set_field:00:00:00:00:00:97->eth_dst,output:8
