=== OVS Snapshot: post_churn @ 2026-04-19T23:19:29,338171739-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=6808.447s, table=0, n_packets=4983, n_bytes=298980, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=21.308s, table=0, n_packets=144523, n_bytes=6393662422, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.9,nw_dst=10.0.1.7,tp_src=60236,tp_dst=5001 actions=set_field:00:00:00:00:01:05->eth_dst,output:12
 cookie=0x0, duration=21.308s, table=0, n_packets=107937, n_bytes=7123878, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.7,nw_dst=10.0.0.9,tp_src=5001,tp_dst=60236 actions=set_field:00:00:00:00:00:09->eth_dst,output:2
 cookie=0x0, duration=17.267s, table=0, n_packets=4, n_bytes=256, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.145,nw_dst=10.0.1.143,tp_src=43178,tp_dst=5001 actions=set_field:00:00:00:00:01:8d->eth_dst,output:18
 cookie=0x0, duration=17.267s, table=0, n_packets=2, n_bytes=148, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.143,nw_dst=10.0.0.145,tp_src=5001,tp_dst=43178 actions=set_field:00:00:00:00:00:91->eth_dst,output:8
 cookie=0x0, duration=17.243s, table=0, n_packets=4, n_bytes=256, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.154,nw_dst=10.0.1.152,tp_src=52086,tp_dst=5001 actions=set_field:00:00:00:00:01:96->eth_dst,output:18
 cookie=0x0, duration=17.243s, table=0, n_packets=2, n_bytes=148, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.152,nw_dst=10.0.0.154,tp_src=5001,tp_dst=52086 actions=set_field:00:00:00:00:00:9a->eth_dst,output:8
 cookie=0x0, duration=17.172s, table=0, n_packets=2, n_bytes=128, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.9,nw_dst=10.0.0.11,tp_src=5001,tp_dst=54022 actions=set_field:00:00:00:00:00:0b->eth_dst,output:2
 cookie=0x0, duration=17.138s, table=0, n_packets=4, n_bytes=256, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.151,nw_dst=10.0.1.149,tp_src=56074,tp_dst=5001 actions=set_field:00:00:00:00:01:93->eth_dst,output:18
 cookie=0x0, duration=17.138s, table=0, n_packets=2, n_bytes=148, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.149,nw_dst=10.0.0.151,tp_src=5001,tp_dst=56074 actions=set_field:00:00:00:00:00:97->eth_dst,output:8
 cookie=0x0, duration=17.138s, table=0, n_packets=4, n_bytes=256, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.149,nw_dst=10.0.1.147,tp_src=57502,tp_dst=5001 actions=set_field:00:00:00:00:01:91->eth_dst,output:18
 cookie=0x0, duration=17.138s, table=0, n_packets=2, n_bytes=148, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.147,nw_dst=10.0.0.149,tp_src=5001,tp_dst=57502 actions=set_field:00:00:00:00:00:95->eth_dst,output:8
