=== OVS Snapshot: post_tcp @ 2026-04-19T23:14:21,854770220-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=6500.963s, table=0, n_packets=4750, n_bytes=285000, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=134.993s, table=0, n_packets=153310, n_bytes=6544951188, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.2,nw_dst=10.0.0.254,tp_src=37346,tp_dst=5001 actions=set_field:00:00:00:00:00:fe->eth_dst,output:12
 cookie=0x0, duration=134.993s, table=0, n_packets=80989, n_bytes=5390722, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.254,nw_dst=10.0.0.2,tp_src=5001,tp_dst=37346 actions=set_field:00:00:00:00:00:02->eth_dst,output:2
 cookie=0x0, duration=134.946s, table=0, n_packets=155340, n_bytes=6914002280, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.4,nw_dst=10.0.1.2,tp_src=59480,tp_dst=5001 actions=set_field:00:00:00:00:01:00->eth_dst,output:12
 cookie=0x0, duration=134.946s, table=0, n_packets=83380, n_bytes=5529876, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.2,nw_dst=10.0.0.4,tp_src=5001,tp_dst=59480 actions=set_field:00:00:00:00:00:04->eth_dst,output:2
 cookie=0x0, duration=134.946s, table=0, n_packets=162776, n_bytes=7554337552, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.0.253,tp_src=50736,tp_dst=5001 actions=set_field:00:00:00:00:00:fd->eth_dst,output:12
 cookie=0x0, duration=134.946s, table=0, n_packets=97134, n_bytes=6414812, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.253,nw_dst=10.0.0.1,tp_src=5001,tp_dst=50736 actions=set_field:00:00:00:00:00:01->eth_dst,output:2
 cookie=0x0, duration=134.936s, table=0, n_packets=162290, n_bytes=6908609988, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.3,nw_dst=10.0.1.1,tp_src=57540,tp_dst=5001 actions=set_field:00:00:00:00:00:ff->eth_dst,output:12
 cookie=0x0, duration=134.935s, table=0, n_packets=88597, n_bytes=5900310, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.1,nw_dst=10.0.0.3,tp_src=5001,tp_dst=57540 actions=set_field:00:00:00:00:00:03->eth_dst,output:2
 cookie=0x0, duration=134.935s, table=0, n_packets=151269, n_bytes=6567125234, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.17,nw_dst=10.0.1.15,tp_src=49004,tp_dst=5001 actions=set_field:00:00:00:00:01:0d->eth_dst,output:13
 cookie=0x0, duration=134.935s, table=0, n_packets=75508, n_bytes=5016132, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.15,nw_dst=10.0.0.17,tp_src=5001,tp_dst=49004 actions=set_field:00:00:00:00:00:11->eth_dst,output:2
 cookie=0x0, duration=134.935s, table=0, n_packets=143743, n_bytes=6356272254, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.22,nw_dst=10.0.1.20,tp_src=54524,tp_dst=5001 actions=set_field:00:00:00:00:01:12->eth_dst,output:13
 cookie=0x0, duration=134.935s, table=0, n_packets=75508, n_bytes=4990528, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.20,nw_dst=10.0.0.22,tp_src=5001,tp_dst=54524 actions=set_field:00:00:00:00:00:16->eth_dst,output:2
 cookie=0x0, duration=134.935s, table=0, n_packets=146950, n_bytes=6722138548, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.20,nw_dst=10.0.1.18,tp_src=46644,tp_dst=5001 actions=set_field:00:00:00:00:01:10->eth_dst,output:13
 cookie=0x0, duration=134.935s, table=0, n_packets=68060, n_bytes=4505500, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.18,nw_dst=10.0.0.20,tp_src=5001,tp_dst=46644 actions=set_field:00:00:00:00:00:14->eth_dst,output:2
 cookie=0x0, duration=134.936s, table=0, n_packets=132988, n_bytes=6097543736, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.16,nw_dst=10.0.1.14,tp_src=43786,tp_dst=5001 actions=set_field:00:00:00:00:01:0c->eth_dst,output:13
 cookie=0x0, duration=134.936s, table=0, n_packets=50208, n_bytes=3325652, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.14,nw_dst=10.0.0.16,tp_src=5001,tp_dst=43786 actions=set_field:00:00:00:00:00:10->eth_dst,output:2
 cookie=0x0, duration=134.922s, table=0, n_packets=142385, n_bytes=6091761378, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.24,nw_dst=10.0.1.22,tp_src=33978,tp_dst=5001 actions=set_field:00:00:00:00:01:14->eth_dst,output:13
 cookie=0x0, duration=134.922s, table=0, n_packets=69222, n_bytes=4642164, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.22,nw_dst=10.0.0.24,tp_src=5001,tp_dst=33978 actions=set_field:00:00:00:00:00:18->eth_dst,output:2
 cookie=0x0, duration=134.904s, table=0, n_packets=171904, n_bytes=7212544008, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.39,nw_dst=10.0.1.37,tp_src=48174,tp_dst=5001 actions=set_field:00:00:00:00:01:23->eth_dst,output:14
 cookie=0x0, duration=134.904s, table=0, n_packets=97155, n_bytes=6415562, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.37,nw_dst=10.0.0.39,tp_src=5001,tp_dst=48174 actions=set_field:00:00:00:00:00:27->eth_dst,output:3
 cookie=0x0, duration=134.889s, table=0, n_packets=171584, n_bytes=7184318664, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.13,nw_dst=10.0.1.11,tp_src=37252,tp_dst=5001 actions=set_field:00:00:00:00:01:09->eth_dst,output:13
 cookie=0x0, duration=134.889s, table=0, n_packets=116283, n_bytes=7728298, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.11,nw_dst=10.0.0.13,tp_src=5001,tp_dst=37252 actions=set_field:00:00:00:00:00:0d->eth_dst,output:2
 cookie=0x0, duration=134.889s, table=0, n_packets=153048, n_bytes=6585108568, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.5,nw_dst=10.0.1.3,tp_src=41300,tp_dst=5001 actions=set_field:00:00:00:00:01:01->eth_dst,output:12
 cookie=0x0, duration=134.889s, table=0, n_packets=81985, n_bytes=5472838, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.3,nw_dst=10.0.0.5,tp_src=5001,tp_dst=41300 actions=set_field:00:00:00:00:00:05->eth_dst,output:2
 cookie=0x0, duration=134.854s, table=0, n_packets=142053, n_bytes=6561740650, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.7,nw_dst=10.0.1.5,tp_src=49390,tp_dst=5001 actions=set_field:00:00:00:00:01:03->eth_dst,output:12
 cookie=0x0, duration=134.854s, table=0, n_packets=66722, n_bytes=4411236, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.5,nw_dst=10.0.0.7,tp_src=5001,tp_dst=49390 actions=set_field:00:00:00:00:00:07->eth_dst,output:2
 cookie=0x0, duration=134.854s, table=0, n_packets=136247, n_bytes=5706682886, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.45,nw_dst=10.0.1.43,tp_src=48204,tp_dst=5001 actions=set_field:00:00:00:00:01:29->eth_dst,output:14
