PING 10.0.0.253 (10.0.0.253) 56(84) bytes of data.
64 bytes from 10.0.0.253: icmp_seq=1 ttl=64 time=11.9 ms
64 bytes from 10.0.0.253: icmp_seq=2 ttl=64 time=0.471 ms
64 bytes from 10.0.0.253: icmp_seq=3 ttl=64 time=0.145 ms
64 bytes from 10.0.0.253: icmp_seq=4 ttl=64 time=0.058 ms
64 bytes from 10.0.0.253: icmp_seq=5 ttl=64 time=0.596 ms
64 bytes from 10.0.0.253: icmp_seq=6 ttl=64 time=0.149 ms
64 bytes from 10.0.0.253: icmp_seq=7 ttl=64 time=0.115 ms
64 bytes from 10.0.0.253: icmp_seq=8 ttl=64 time=0.062 ms
64 bytes from 10.0.0.253: icmp_seq=9 ttl=64 time=0.276 ms
64 bytes from 10.0.0.253: icmp_seq=10 ttl=64 time=0.077 ms
64 bytes from 10.0.0.253: icmp_seq=11 ttl=64 time=0.037 ms
64 bytes from 10.0.0.253: icmp_seq=12 ttl=64 time=0.129 ms
64 bytes from 10.0.0.253: icmp_seq=13 ttl=64 time=0.098 ms
64 bytes from 10.0.0.253: icmp_seq=14 ttl=64 time=0.110 ms
64 bytes from 10.0.0.253: icmp_seq=15 ttl=64 time=0.117 ms
64 bytes from 10.0.0.253: icmp_seq=16 ttl=64 time=0.080 ms
64 bytes from 10.0.0.253: icmp_seq=17 ttl=64 time=0.105 ms
64 bytes from 10.0.0.253: icmp_seq=18 ttl=64 time=0.070 ms
64 bytes from 10.0.0.253: icmp_seq=19 ttl=64 time=0.149 ms
64 bytes from 10.0.0.253: icmp_seq=20 ttl=64 time=0.181 ms
64 bytes from 10.0.0.253: icmp_seq=21 ttl=64 time=0.032 ms
64 bytes from 10.0.0.253: icmp_seq=22 ttl=64 time=0.111 ms
64 bytes from 10.0.0.253: icmp_seq=23 ttl=64 time=0.173 ms
64 bytes from 10.0.0.253: icmp_seq=24 ttl=64 time=0.131 ms
64 bytes from 10.0.0.253: icmp_seq=25 ttl=64 time=0.114 ms
64 bytes from 10.0.0.253: icmp_seq=26 ttl=64 time=0.062 ms
64 bytes from 10.0.0.253: icmp_seq=27 ttl=64 time=0.125 ms
64 bytes from 10.0.0.253: icmp_seq=28 ttl=64 time=0.093 ms
64 bytes from 10.0.0.253: icmp_seq=29 ttl=64 time=0.038 ms
64 bytes from 10.0.0.253: icmp_seq=30 ttl=64 time=0.107 ms
64 bytes from 10.0.0.253: icmp_seq=31 ttl=64 time=0.138 ms
64 bytes from 10.0.0.253: icmp_seq=32 ttl=64 time=0.136 ms
64 bytes from 10.0.0.253: icmp_seq=33 ttl=64 time=0.090 ms
64 bytes from 10.0.0.253: icmp_seq=34 ttl=64 time=0.038 ms
64 bytes from 10.0.0.253: icmp_seq=35 ttl=64 time=0.071 ms
64 bytes from 10.0.0.253: icmp_seq=36 ttl=64 time=0.123 ms
64 bytes from 10.0.0.253: icmp_seq=37 ttl=64 time=0.109 ms
64 bytes from 10.0.0.253: icmp_seq=38 ttl=64 time=0.053 ms
64 bytes from 10.0.0.253: icmp_seq=39 ttl=64 time=0.092 ms
64 bytes from 10.0.0.253: icmp_seq=40 ttl=64 time=0.052 ms

--- 10.0.0.253 ping statistics ---
40 packets transmitted, 40 received, 0% packet loss, time 8018ms
rtt min/avg/max/mdev = 0.032/0.419/11.885/1.838 ms
