=== OVS Snapshot: post_churn @ 2026-04-19T23:59:07,776077235-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=9186.873s, table=0, n_packets=6730, n_bytes=403800, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=16.108s, table=0, n_packets=79561, n_bytes=3667666306, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.245,nw_dst=10.0.1.243,tp_src=39096,tp_dst=5001 actions=set_field:00:00:00:00:01:f1->eth_dst,output:22
 cookie=0x0, duration=16.108s, table=0, n_packets=56867, n_bytes=3753398, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.243,nw_dst=10.0.0.245,tp_src=5001,tp_dst=39096 actions=set_field:00:00:00:00:00:f5->eth_dst,output:12
 cookie=0x0, duration=16.083s, table=0, n_packets=67328, n_bytes=3130120464, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.247,nw_dst=10.0.1.245,tp_src=35656,tp_dst=5001 actions=set_field:00:00:00:00:01:f3->eth_dst,output:22
 cookie=0x0, duration=16.083s, table=0, n_packets=38736, n_bytes=2556608, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.245,nw_dst=10.0.0.247,tp_src=5001,tp_dst=35656 actions=set_field:00:00:00:00:00:f7->eth_dst,output:12
 cookie=0x0, duration=15.028s, table=0, n_packets=209, n_bytes=2321914, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.246,nw_dst=10.0.1.244,tp_src=43588,tp_dst=5001 actions=set_field:00:00:00:00:01:f2->eth_dst,output:22
 cookie=0x0, duration=15.028s, table=0, n_packets=148, n_bytes=9808, idle_timeout=15, priority=100,tcp,in_port=22,nw_src=10.0.1.244,nw_dst=10.0.0.246,tp_src=5001,tp_dst=43588 actions=set_field:00:00:00:00:00:f6->eth_dst,output:12
 cookie=0x0, duration=15.018s, table=0, n_packets=5, n_bytes=310, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.62,nw_dst=10.0.1.60,tp_src=44038,tp_dst=5001 actions=set_field:00:00:00:00:01:3a->eth_dst,output:15
 cookie=0x0, duration=15.018s, table=0, n_packets=4, n_bytes=256, idle_timeout=15, priority=100,tcp,in_port=10,nw_src=10.0.0.199,nw_dst=10.0.1.197,tp_src=60668,tp_dst=5001 actions=set_field:00:00:00:00:01:c3->eth_dst,output:20
 cookie=0x0, duration=15.018s, table=0, n_packets=2, n_bytes=148, idle_timeout=15, priority=100,tcp,in_port=20,nw_src=10.0.1.197,nw_dst=10.0.0.199,tp_src=5001,tp_dst=60668 actions=set_field:00:00:00:00:00:c7->eth_dst,output:10
 cookie=0x0, duration=15.018s, table=0, n_packets=4, n_bytes=256, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.108,nw_dst=10.0.1.106,tp_src=38250,tp_dst=5001 actions=set_field:00:00:00:00:01:68->eth_dst,output:16
 cookie=0x0, duration=15.018s, table=0, n_packets=2, n_bytes=148, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.106,nw_dst=10.0.0.108,tp_src=5001,tp_dst=38250 actions=set_field:00:00:00:00:00:6c->eth_dst,output:6
 cookie=0x0, duration=15.018s, table=0, n_packets=4, n_bytes=256, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.93,nw_dst=10.0.1.91,tp_src=39326,tp_dst=5001 actions=set_field:00:00:00:00:01:59->eth_dst,output:16
 cookie=0x0, duration=15s, table=0, n_packets=3, n_bytes=182, idle_timeout=15, priority=100,tcp,in_port=9,nw_src=10.0.0.171,nw_dst=10.0.1.169,tp_src=33586,tp_dst=5001 actions=set_field:00:00:00:00:01:a7->eth_dst,output:19
 cookie=0x0, duration=15s, table=0, n_packets=2, n_bytes=148, idle_timeout=15, priority=100,tcp,in_port=19,nw_src=10.0.1.169,nw_dst=10.0.0.171,tp_src=5001,tp_dst=33586 actions=set_field:00:00:00:00:00:ab->eth_dst,output:9
 cookie=0x0, duration=15s, table=0, n_packets=4, n_bytes=256, idle_timeout=15, priority=100,tcp,in_port=9,nw_src=10.0.0.187,nw_dst=10.0.1.185,tp_src=51268,tp_dst=5001 actions=set_field:00:00:00:00:01:b7->eth_dst,output:20
