=== OVS Snapshot: during_ping @ 2026-04-20T00:09:18,989422461-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=9798.092s, table=0, n_packets=7187, n_bytes=431220, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=14.829s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.0.253,nw_dst=10.0.0.1,tp_src=5001,tp_dst=42123 actions=set_field:00:00:00:00:00:01->eth_dst,output:2
 cookie=0x0, duration=14.829s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.0.254,nw_dst=10.0.0.2,tp_src=5001,tp_dst=41679 actions=set_field:00:00:00:00:00:02->eth_dst,output:2
 cookie=0x0, duration=14.805s, table=0, n_packets=2, n_bytes=3024, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.1,nw_dst=10.0.0.3,tp_src=5001,tp_dst=46626 actions=set_field:00:00:00:00:00:03->eth_dst,output:2
 cookie=0x0, duration=14.805s, table=0, n_packets=1047, n_bytes=1583064, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.3,nw_dst=10.0.1.1,tp_src=46626,tp_dst=5001 actions=set_field:00:00:00:00:00:ff->eth_dst,output:12
 cookie=0x0, duration=14.805s, table=0, n_packets=2, n_bytes=3024, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.2,nw_dst=10.0.0.4,tp_src=5001,tp_dst=41384 actions=set_field:00:00:00:00:00:04->eth_dst,output:2
 cookie=0x0, duration=14.805s, table=0, n_packets=1047, n_bytes=1583064, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.4,nw_dst=10.0.1.2,tp_src=41384,tp_dst=5001 actions=set_field:00:00:00:00:01:00->eth_dst,output:12
 cookie=0x0, duration=14.779s, table=0, n_packets=2, n_bytes=3024, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.4,nw_dst=10.0.0.6,tp_src=5001,tp_dst=35565 actions=set_field:00:00:00:00:00:06->eth_dst,output:2
 cookie=0x0, duration=14.779s, table=0, n_packets=1047, n_bytes=1583064, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.6,nw_dst=10.0.1.4,tp_src=35565,tp_dst=5001 actions=set_field:00:00:00:00:01:02->eth_dst,output:12
 cookie=0x0, duration=14.779s, table=0, n_packets=2, n_bytes=3024, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.3,nw_dst=10.0.0.5,tp_src=5001,tp_dst=35031 actions=set_field:00:00:00:00:00:05->eth_dst,output:2
 cookie=0x0, duration=14.779s, table=0, n_packets=1047, n_bytes=1583064, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.5,nw_dst=10.0.1.3,tp_src=35031,tp_dst=5001 actions=set_field:00:00:00:00:01:01->eth_dst,output:12
 cookie=0x0, duration=14.730s, table=0, n_packets=2, n_bytes=3024, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.6,nw_dst=10.0.0.8,tp_src=5001,tp_dst=59637 actions=set_field:00:00:00:00:00:08->eth_dst,output:2
 cookie=0x0, duration=14.730s, table=0, n_packets=1047, n_bytes=1583064, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.8,nw_dst=10.0.1.6,tp_src=59637,tp_dst=5001 actions=set_field:00:00:00:00:01:04->eth_dst,output:12
 cookie=0x0, duration=14.730s, table=0, n_packets=2, n_bytes=3024, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.5,nw_dst=10.0.0.7,tp_src=5001,tp_dst=59750 actions=set_field:00:00:00:00:00:07->eth_dst,output:2
 cookie=0x0, duration=14.730s, table=0, n_packets=1047, n_bytes=1583064, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.7,nw_dst=10.0.1.5,tp_src=59750,tp_dst=5001 actions=set_field:00:00:00:00:01:03->eth_dst,output:12
 cookie=0x0, duration=14.702s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.7,nw_dst=10.0.0.9,tp_src=5001,tp_dst=58585 actions=set_field:00:00:00:00:00:09->eth_dst,output:2
 cookie=0x0, duration=14.702s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.9,nw_dst=10.0.1.7,tp_src=58585,tp_dst=5001 actions=set_field:00:00:00:00:01:05->eth_dst,output:12
 cookie=0x0, duration=14.615s, table=0, n_packets=1, n_bytes=1512, idle_timeout=15, priority=100,udp,in_port=13,nw_src=10.0.1.14,nw_dst=10.0.0.16,tp_src=5001,tp_dst=52762 actions=set_field:00:00:00:00:00:10->eth_dst,output:2
 cookie=0x0, duration=14.615s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.16,nw_dst=10.0.1.14,tp_src=52762,tp_dst=5001 actions=set_field:00:00:00:00:01:0c->eth_dst,output:13
 cookie=0x0, duration=14.379s, table=0, n_packets=3, n_bytes=4536, idle_timeout=15, priority=100,udp,in_port=12,nw_src=10.0.1.10,nw_dst=10.0.0.12,tp_src=5001,tp_dst=58999 actions=set_field:00:00:00:00:00:0c->eth_dst,output:2
 cookie=0x0, duration=14.379s, table=0, n_packets=1048, n_bytes=1584576, idle_timeout=15, priority=100,udp,in_port=2,nw_src=10.0.0.12,nw_dst=10.0.1.10,tp_src=58999,tp_dst=5001 actions=set_field:00:00:00:00:01:08->eth_dst,output:12
